Year,Month,Day,Inflow volume [m3 d-1],Inflow temperature [°C],*Suspended sediment concentration [mg m-3],"*Orthophosphate, water, filtered, as phosphorus [mg m-3]","*Phosphorus, water, unfiltered, as phosphorus [mg m-3]","*Phosphorus, water, filtered, as phosphorus [mg m-3]","*Orthophosphate, water, filtered, as PO4 [mg m-3]",Inflow concentration of chlorophyll-a (Chla-P) [mg m-3],Inflow concentration of dissolved organic carbon (DOC) [mg m-3],Inflow concentration of dissolved inorganic carbon (DIC) [mg m-3],Inflow concentration of O2 [mg m-3],Inflow concentration of NO3 [mg m-3],Inflow concentration of NH4 [mg m-3],Inflow concentration of SO4 [mg m-3],Inflow concentration of aqueous iron (Fe2+) [mg m-3],Inflow concentration of Ca2+ [mg m-3],Inflow pH [-],Inflow concentration of CH4 [mg m-3],Inflow concentration of total solid iron (Fe3+) [mg m-3],Inflow concentration of aluminum (Al3+) [mg m-3],Inflow concentration of dissolved silica [mg m-3],"*Iron, suspended sediment, recoverable [mg m-3]","*Iron, water, unfiltered, recoverable [mg m-3]","*Iron, water, filtered [mg m-3]","*Suspended solids, water, unfiltered [mg m-3]"
1987,7,28,,23,4000,,10,,,,,,,,,,,35000,8.4,,,,,,130,,
1987,8,18,,24,,10,10,10,31,,,,8900,443,13,23000,,34000,8.3,,,10,220,,,7,
1987,9,28,,22,,,20,,,,,,,,,,,,8.1,,,,,,2100,,
1987,11,5,,11,11000,10,10,10,31,,,,11400,531,26,24000,,37000,8.2,,,10,180,,,7,
1987,12,7,,5,63000,,70,,,,,,11400,,,,,,8.2,,,,,,2200,,
1988,3,21,,0,,,50,,,,,,,,,26000,,36000,8.4,,,10,,,20000,25,
1988,4,6,,2,,#DIV/0!,10,,,,,,,,,27000,,,,,,,,,720,,
1988,4,18,,1,,#DIV/0!,20,,,,,,,,,24000,,33000,,,,10,,,880,8,
1988,5,3,,7,4000,10,10,10,31,,,,13400,930,39,27000,,36000,8.1,,,10,20,,540,3,
1988,5,16,,12,4000,#DIV/0!,10,,,,,,12900,,,26000,,36000,8.1,,,10,,,160,3,
1988,6,29,,18.5,4000,10,10,10,31,,,,9900,1240,39,25000,,37000,8,,,10,190,,,3,
1988,8,25,,22.5,3000,10,10,10,31,,,,8800,398,26,27000,,37000,8.3,,,10,440,,,3,
1988,9,7,,20,8000,10,10,,31,,,,,,,26000,,35000,8.3,,,,,,140,,
1988,10,3,,18,5000,#DIV/0!,10,,,,,,9000,,,30000,,36000,8.1,,,10,,,420,9,
1988,11,9,,8.5,11000,10,20,10,31,,,,12000,575,26,27000,,37000,8.3,,,10,110,,,6,
1988,11,14,,8,30000,10,40,,31,,,,11400,,,27000,,36000,8.3,,,,,,950,,
1989,4,12,,3,23000,#DIV/0!,,,,,,,12400,,,24000,,34000,8,,,,,,760,,
1989,5,3,,5.7,3000,10,10,10,31,,,,12200,885,64,25000,,38000,8.3,,,10,140,,,4,
1989,5,24,,12,4000,,,,,,,,11000,,,25000,,36000,8.3,,,,,,140,,
1989,6,14,,17.5,4000,#DIV/0!,,,,,,,9800,,,25000,,34000,8.1,,,,,,140,,
1989,7,6,,21,5000,10,10,10,31,,,,10000,974,26,24000,,37000,8.4,,,10,190,,,4,
1989,8,16,,24,4000,#DIV/0!,,,,,,,7200,,,23000,,33000,8.4,,,,,,60,,
1989,8,23,,22.5,6000,10,20,10,31,,,,10300,487,26,24000,,36000,8.4,,,10,140,,,3,
1989,10,18,,11.5,2000,#DIV/0!,,,,,,,10000,,,24000,,35000,7.3,,,,,,130,,
1989,10,25,,11.6,4000,10,20,10,31,,,,11300,398,26,24000,,37000,7.9,,,10,340,,,3,
1990,4,11,,6,16000,,30,,,,,,12000,,,26500,,31000,8.2,,,,,,750,,
1990,5,1,,9.5,6000,10,20,20,31,,,,13100,2210,39,25000,,36000,8.2,,,10,110,,,14,
1990,5,23,,12,6000,#DIV/0!,20,,,,,,11200,,,25100,,35300,8.2,,,,,,220,,
1990,6,26,,20,6000,,10,,,,,,8600,,,,,,8.3,,,,,,220,,
1990,6,27,,19,,10,10,10,31,,,,9700,1770,52,23000,,36000,7.8,,,10,250,,,5,
1990,8,20,,22,3000,10,10,10,31,,,,9500,885,39,25000,,35000,8.2,,,10,250,,,3,
1990,8,29,,24,2000,,10,,,,,,7600,,,,,,8.4,,,,,,70,,
1990,10,29,,11.5,23000,10,20,10,31,,,,11600,885,39,27000,,34000,8.1,,,20,740,,,10,
1990,10,30,,12,9000,,10,,,,,,10400,,,24700,,,8.3,,,,,,340,,
1991,4,16,,5.5,,10,50,10,31,,,,13700,1770,26,29000,,36000,7.9,,,10,470,,,10,
1991,4,24,,7,15000,,30,,,,,,12200,,,24400,,,7.8,,,,,,560,,8000
1991,5,21,,12,4000,,,,,,,,10400,,,26500,,,7.9,,,,,,50,,1000
1991,6,18,,20.9,4000,10,10,10,31,,,,9600,1550,39,25000,,35000,7.9,,,10,140,,,8,
