Year,Month,Lake Level
1860,1,174.339
1860,2,174.229
1860,3,174.351
1860,4,174.564
1860,5,174.628
1860,6,174.619
1860,7,174.54
1860,8,174.491
1860,9,174.387
1860,10,174.296
1860,11,174.269
1860,12,174.22
1861,1,174.141
1861,2,174.055
1861,3,174.189
1861,4,174.506
1861,5,174.637
1861,6,174.659
1861,7,174.582
1861,8,174.595
1861,9,174.54
1861,10,174.47
1861,11,174.464
1861,12,174.393
1862,1,174.39
1862,2,174.302
1862,3,174.345
1862,4,174.619
1862,5,174.692
1862,6,174.692
1862,7,174.683
1862,8,174.567
1862,9,174.473
1862,10,174.357
1862,11,174.253
1862,12,174.262
1863,1,174.4
1863,2,174.488
1863,3,174.47
1863,4,174.506
1863,5,174.561
1863,6,174.518
1863,7,174.482
1863,8,174.457
1863,9,174.339
1863,10,174.205
1863,11,174.08
1863,12,174.07
1864,1,173.982
1864,2,174.028
1864,3,174.092
1864,4,174.244
1864,5,174.457
1864,6,174.442
1864,7,174.363
1864,8,174.281
1864,9,174.214
1864,10,174.119
1864,11,174.067
1864,12,174.089
1865,1,173.958
1865,2,173.781
1865,3,173.878
1865,4,174.098
1865,5,174.275
1865,6,174.269
1865,7,174.256
1865,8,174.232
1865,9,174.22
1865,10,174.128
1865,11,174.012
1865,12,173.97
1866,1,173.888
1866,2,173.839
1866,3,173.958
1866,4,174.134
1866,5,174.201
1866,6,174.281
1866,7,174.314
1866,8,174.238
1866,9,174.22
1866,10,174.217
1866,11,174.144
1866,12,174.147
1867,1,174.058
1867,2,173.961
1867,3,174.083
1867,4,174.18
1867,5,174.339
1867,6,174.433
1867,7,174.375
1867,8,174.281
1867,9,174.162
1867,10,174.058
1867,11,173.906
1867,12,173.839
1868,1,173.781
1868,2,173.662
1868,3,173.842
1868,4,174.095
1868,5,174.232
1868,6,174.351
1868,7,174.342
1868,8,174.183
1868,9,174.101
1868,10,173.964
1868,11,173.915
1868,12,173.851
1869,1,173.848
1869,2,173.827
1869,3,173.973
1869,4,174.064
1869,5,174.232
1869,6,174.351
1869,7,174.436
1869,8,174.406
1869,9,174.323
1869,10,174.186
1869,11,174.046
1869,12,174.153
1870,1,174.226
1870,2,174.296
1870,3,174.226
1870,4,174.424
1870,5,174.488
1870,6,174.479
1870,7,174.491
1870,8,174.476
1870,9,174.4
1870,10,174.284
1870,11,174.192
1870,12,174.156
1871,1,174.092
1871,2,173.991
1871,3,174.128
1871,4,174.275
1871,5,174.357
1871,6,174.366
1871,7,174.36
1871,8,174.314
1871,9,174.247
1871,10,174.043
1871,11,173.988
1871,12,173.854
1872,1,173.83
1872,2,173.756
1872,3,173.729
1872,4,173.79
1872,5,173.924
1872,6,174.037
1872,7,174.034
1872,8,174.025
1872,9,173.955
1872,10,173.903
1872,11,173.802
1872,12,173.732
1873,1,173.702
1873,2,173.705
1873,3,173.726
1873,4,174.116
1873,5,174.32
1873,6,174.345
1873,7,174.339
1873,8,174.32
1873,9,174.198
1873,10,174.107
1873,11,174.046
1873,12,174.159
1874,1,174.269
1874,2,174.284
1874,3,174.296
1874,4,174.345
1874,5,174.372
1874,6,174.393
1874,7,174.403
1874,8,174.354
1874,9,174.214
1874,10,174.08
1874,11,173.952
1874,12,173.888
1875,1,173.817
1875,2,173.766
1875,3,173.808
1875,4,173.93
1875,5,174.073
1875,6,174.192
1875,7,174.232
1875,8,174.229
1875,9,174.186
1875,10,174.037
1875,11,173.991
1875,12,174.058
1876,1,174.043
1876,2,174.214
1876,3,174.412
1876,4,174.57
1876,5,174.668
1876,6,174.701
1876,7,174.668
1876,8,174.576
1876,9,174.525
1876,10,174.363
1876,11,174.387
1876,12,174.284
1877,1,174.131
1877,2,174.11
1877,3,174.04
1877,4,174.171
1877,5,174.247
1877,6,174.272
1877,7,174.345
1877,8,174.302
1877,9,174.278
1877,10,174.156
1877,11,174.128
1877,12,174.153
1878,1,174.177
1878,2,174.22
1878,3,174.259
1878,4,174.384
1878,5,174.464
1878,6,174.467
1878,7,174.467
1878,8,174.393
1878,9,174.354
1878,10,174.247
1878,11,174.183
1878,12,174.208
1879,1,174.08
1879,2,174.037
1879,3,174.046
1879,4,174.153
1879,5,174.198
1879,6,174.226
1879,7,174.235
1879,8,174.168
1879,9,174.067
1879,10,173.997
1879,11,173.854
1879,12,173.93
1880,1,174.083
1880,2,174.095
1880,3,174.137
1880,4,174.186
1880,5,174.265
1880,6,174.302
1880,7,174.329
1880,8,174.256
1880,9,174.186
1880,10,174.076
1880,11,174.052
1880,12,173.948
1881,1,173.814
1881,2,173.848
1881,3,173.945
1881,4,174.141
1881,5,174.262
1881,6,174.345
