,DATE,"PHOSPHORUS,UNFILTERED TOTAL","UNITS PHOSPHORUS,UNFILTERED TOTAL","PHOSPHATE,FILTERED REACTIVE","UNITS PHOSPHATE,FILTERED REACTIVE",NITROGEN; TOTAL,UNITS NITROGEN; TOTAL,"NITRATE,  UNFILTERED REACTIVE","UNITS NITRATE,  UNFILTERED REACTIVE","NITRITE,  UNFILTERED REACTIVE","UNITS NITRITE,  UNFILTERED REACTIVE","NITROGEN,TOT,KJELDAHL/UNF.REA","UNITS NITROGEN,TOT,KJELDAHL/UNF.REA","NITRATES TOTAL,   UNFIL.REAC","UNITS NITRATES TOTAL,   UNFIL.REAC","SILICATES,UNFILTERED REACTIVE","UNITS SILICATES,UNFILTERED REACTIVE","CHLORIDE,         UNFIL.REAC","UNITS CHLORIDE,         UNFIL.REAC"
20,2015-08-10,0.024,MILLIGRAM PER LITER,0.0077,MILLIGRAM PER LITER,3.54,MILLIGRAM PER LITER,,,0.01,MILLIGRAM PER LITER,,,3.36,MILLIGRAM PER LITER,3.86,MILLIGRAM PER LITER,26.8,MILLIGRAM PER LITER
21,2015-09-02,0.022,MILLIGRAM PER LITER,0.012,MILLIGRAM PER LITER,3.24,MILLIGRAM PER LITER,,,0.011,MILLIGRAM PER LITER,,,3.27,MILLIGRAM PER LITER,4.0,MILLIGRAM PER LITER,28.6,MILLIGRAM PER LITER
22,2015-10-20,0.012,MILLIGRAM PER LITER,0.0058,MILLIGRAM PER LITER,3.95,MILLIGRAM PER LITER,,,0.011,MILLIGRAM PER LITER,,,3.61,MILLIGRAM PER LITER,4.58,MILLIGRAM PER LITER,28.8,MILLIGRAM PER LITER
23,2015-11-24,0.017,MILLIGRAM PER LITER,0.0097,MILLIGRAM PER LITER,3.37,MILLIGRAM PER LITER,,,0.009,MILLIGRAM PER LITER,,,3.31,MILLIGRAM PER LITER,4.04,MILLIGRAM PER LITER,26.3,MILLIGRAM PER LITER
24,2014-04-15,0.08,MILLIGRAM PER LITER,0.0356,MILLIGRAM PER LITER,3.21,MILLIGRAM PER LITER,,,0.025,MILLIGRAM PER LITER,0.52,MILLIGRAM PER LITER,2.67,MILLIGRAM PER LITER,2.4,MILLIGRAM PER LITER,20.4,MILLIGRAM PER LITER
25,2014-05-20,0.025,MILLIGRAM PER LITER,0.0084,MILLIGRAM PER LITER,4.14,MILLIGRAM PER LITER,,,0.026,MILLIGRAM PER LITER,0.73,MILLIGRAM PER LITER,3.56,MILLIGRAM PER LITER,2.92,MILLIGRAM PER LITER,24.1,MILLIGRAM PER LITER
26,2014-06-16,0.009,MILLIGRAM PER LITER,0.0068,MILLIGRAM PER LITER,3.44,MILLIGRAM PER LITER,,,0.029,MILLIGRAM PER LITER,0.14,MILLIGRAM PER LITER,3.26,MILLIGRAM PER LITER,3.8,MILLIGRAM PER LITER,23.8,MILLIGRAM PER LITER
27,2014-08-20,0.023,MILLIGRAM PER LITER,0.0135,MILLIGRAM PER LITER,3.64,MILLIGRAM PER LITER,,,0.014,MILLIGRAM PER LITER,0.34,MILLIGRAM PER LITER,3.36,MILLIGRAM PER LITER,3.86,MILLIGRAM PER LITER,24.8,MILLIGRAM PER LITER
28,2014-09-08,0.042,MILLIGRAM PER LITER,0.0225,MILLIGRAM PER LITER,3.2,MILLIGRAM PER LITER,,,0.016,MILLIGRAM PER LITER,0.71,MILLIGRAM PER LITER,2.85,MILLIGRAM PER LITER,4.14,MILLIGRAM PER LITER,22.4,MILLIGRAM PER LITER
29,2014-10-06,0.021,MILLIGRAM PER LITER,0.0134,MILLIGRAM PER LITER,3.5,MILLIGRAM PER LITER,,,0.014,MILLIGRAM PER LITER,0.45,MILLIGRAM PER LITER,2.86,MILLIGRAM PER LITER,4.34,MILLIGRAM PER LITER,24.0,MILLIGRAM PER LITER
