#YY,MM,DD,hh,mm,WDIR,WSP,D GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,hr,mn,degT,m/s,m/s,m,sec,sec,deg,T   hPa,degC,degC,degC,mi,ft
2012,7,6,16,55,NAN,3.1,NAN,NAN,NAN,NAN,NAN,NAN,25.2,24.4,NAN,NAN,NAN
2012,7,6,17,55,NAN,2.8,NAN,NAN,NAN,NAN,NAN,NAN,25.5,24.8,NAN,NAN,NAN
2012,7,6,18,55,NAN,2.3,NAN,NAN,NAN,NAN,NAN,NAN,25.9,25,NAN,NAN,NAN
2012,7,6,20,55,NAN,1.6,NAN,NAN,NAN,NAN,NAN,NAN,27.1,25.6,NAN,NAN,NAN
2012,7,7,0,55,NAN,4.5,NAN,NAN,NAN,NAN,NAN,NAN,27,NAN,NAN,NAN,NAN
2012,7,7,1,55,NAN,3.7,NAN,NAN,NAN,NAN,NAN,NAN,26.9,NAN,NAN,NAN,NAN
2012,7,7,2,55,NAN,1.7,NAN,NAN,NAN,NAN,NAN,NAN,27.2,NAN,NAN,NAN,NAN
2012,7,7,3,55,NAN,5.2,NAN,NAN,NAN,NAN,NAN,NAN,25.5,NAN,NAN,NAN,NAN
2012,7,7,4,55,NAN,4.5,NAN,NAN,NAN,NAN,NAN,NAN,24.4,25.7,NAN,NAN,NAN
2012,7,7,5,55,NAN,3.4,NAN,NAN,NAN,NAN,NAN,NAN,26.6,25.4,NAN,NAN,NAN
2012,7,7,6,55,NAN,3.8,NAN,NAN,NAN,NAN,NAN,NAN,26.4,25,NAN,NAN,NAN
2012,7,7,7,55,NAN,4.2,NAN,NAN,NAN,NAN,NAN,NAN,26,24.7,NAN,NAN,NAN
2012,7,7,8,55,NAN,4.1,NAN,NAN,NAN,NAN,NAN,NAN,26,24.5,NAN,NAN,NAN
2012,7,7,9,55,NAN,5.1,NAN,NAN,NAN,NAN,NAN,NAN,26.2,24.4,NAN,NAN,NAN
2012,7,7,10,55,NAN,4.7,NAN,NAN,NAN,NAN,NAN,NAN,26.2,24.3,NAN,NAN,NAN
2012,7,7,11,55,NAN,6.1,NAN,NAN,NAN,NAN,NAN,NAN,26.4,24.3,NAN,NAN,NAN
2012,7,7,12,55,NAN,5.4,NAN,NAN,NAN,NAN,NAN,NAN,26.1,24.3,NAN,NAN,NAN
2012,7,7,13,55,NAN,5.3,NAN,NAN,NAN,NAN,NAN,NAN,26.2,24.4,NAN,NAN,NAN
2012,7,7,14,55,NAN,3.5,NAN,NAN,NAN,NAN,NAN,NAN,26.3,24.5,NAN,NAN,NAN
2012,7,7,15,55,NAN,3.5,NAN,NAN,NAN,NAN,NAN,NAN,26.7,24.7,NAN,NAN,NAN
2012,7,7,16,55,NAN,3.3,NAN,NAN,NAN,NAN,NAN,NAN,26.8,25,NAN,NAN,NAN
2012,7,7,17,55,NAN,4.2,NAN,NAN,NAN,NAN,NAN,NAN,27.2,25.3,NAN,NAN,NAN
2012,7,7,18,55,NAN,2.8,NAN,NAN,NAN,NAN,NAN,NAN,27.2,25.5,NAN,NAN,NAN
2012,7,7,19,55,NAN,2.6,NAN,NAN,NAN,NAN,NAN,NAN,27.7,25.9,NAN,NAN,NAN
2012,7,7,20,55,NAN,3.3,NAN,NAN,NAN,NAN,NAN,NAN,29.3,26.1,NAN,NAN,NAN
2012,7,7,21,55,NAN,3.5,NAN,NAN,NAN,NAN,NAN,NAN,29.1,26,NAN,NAN,NAN
2012,7,7,22,55,NAN,3.7,NAN,NAN,NAN,NAN,NAN,NAN,29.1,25.8,NAN,NAN,NAN
2012,7,8,0,55,NAN,8.1,NAN,NAN,NAN,NAN,NAN,NAN,25.6,25.1,NAN,NAN,NAN
2012,7,8,1,55,NAN,8.1,NAN,NAN,NAN,NAN,NAN,NAN,25.1,24.9,NAN,NAN,NAN
2012,7,8,2,55,NAN,6.8,NAN,NAN,NAN,NAN,NAN,NAN,24.7,24.8,NAN,NAN,NAN
2012,7,8,3,55,NAN,5.7,NAN,NAN,NAN,NAN,NAN,NAN,24,24.7,NAN,NAN,NAN
2012,7,8,4,55,NAN,7.1,NAN,NAN,NAN,NAN,NAN,NAN,23.6,24.7,NAN,NAN,NAN
2012,7,8,5,55,NAN,5.7,NAN,NAN,NAN,NAN,NAN,NAN,23.1,24.6,NAN,NAN,NAN
2012,7,8,6,55,NAN,6.2,NAN,NAN,NAN,NAN,NAN,NAN,22.9,24.6,NAN,NAN,NAN
2012,7,8,7,55,NAN,5.8,NAN,NAN,NAN,NAN,NAN,NAN,22.9,24.5,NAN,NAN,NAN
2012,7,8,8,55,NAN,5.7,NAN,NAN,NAN,NAN,NAN,NAN,23.1,24.5,NAN,NAN,NAN
2012,7,8,9,55,NAN,7.8,NAN,NAN,NAN,NAN,NAN,NAN,23.2,24.4,NAN,NAN,NAN
2012,7,8,10,55,NAN,6.3,NAN,NAN,NAN,NAN,NAN,NAN,23.7,24.4,NAN,NAN,NAN
2012,7,8,11,55,NAN,6.1,NAN,NAN,NAN,NAN,NAN,NAN,23.7,24.3,NAN,NAN,NAN
2012,7,8,12,55,NAN,5.9,NAN,NAN,NAN,NAN,NAN,NAN,23.2,24.3,NAN,NAN,NAN
2012,7,8,13,55,NAN,4.5,NAN,NAN,NAN,NAN,NAN,NAN,23.6,24.4,NAN,NAN,NAN
2012,7,8,14,55,NAN,2.7,NAN,NAN,NAN,NAN,NAN,NAN,23.8,24.5,NAN,NAN,NAN
2012,7,8,15,55,NAN,3,NAN,NAN,NAN,NAN,NAN,NAN,23.8,24.6,NAN,NAN,NAN
2012,7,8,16,55,NAN,3.6,NAN,NAN,NAN,NAN,NAN,NAN,23.9,24.8,NAN,NAN,NAN
2012,7,8,17,55,NAN,2.5,NAN,NAN,NAN,NAN,NAN,NAN,24.5,24.9,NAN,NAN,NAN
2012,7,8,18,55,NAN,3.4,NAN,NAN,NAN,NAN,NAN,NAN,25.1,25,NAN,NAN,NAN
2012,7,8,19,55,NAN,3.8,NAN,NAN,NAN,NAN,NAN,NAN,25.3,25.2,NAN,NAN,NAN
2012,7,8,20,55,NAN,4.4,NAN,NAN,NAN,NAN,NAN,NAN,25.2,25.2,NAN,NAN,NAN
2012,7,8,21,55,NAN,4.5,NAN,NAN,NAN,NAN,NAN,NAN,25.6,25.2,NAN,NAN,NAN
2012,7,8,22,55,NAN,2.9,NAN,NAN,NAN,NAN,NAN,NAN,26,25.2,NAN,NAN,NAN
2012,7,9,0,55,NAN,8.7,NAN,NAN,NAN,NAN,NAN,NAN,24.1,24.8,NAN,NAN,NAN
2012,7,9,1,55,NAN,8,NAN,NAN,NAN,NAN,NAN,NAN,24,24.7,NAN,NAN,NAN
2012,7,9,2,55,NAN,7.8,NAN,NAN,NAN,NAN,NAN,NAN,23.7,24.4,NAN,NAN,NAN
2012,7,9,3,55,NAN,8.4,NAN,NAN,NAN,NAN,NAN,NAN,23.1,24.3,NAN,NAN,NAN
2012,7,9,4,55,NAN,7.9,NAN,NAN,NAN,NAN,NAN,NAN,23,24.2,NAN,NAN,NAN
2012,7,9,5,55,NAN,7.8,NAN,NAN,NAN,NAN,NAN,NAN,22,24,NAN,NAN,NAN
2012,7,9,6,55,NAN,7.4,NAN,NAN,NAN,NAN,NAN,NAN,21.3,24,NAN,NAN,NAN
2012,7,9,7,55,NAN,7.2,NAN,NAN,NAN,NAN,NAN,NAN,21.4,23.9,NAN,NAN,NAN
2012,7,9,8,55,NAN,7,NAN,NAN,NAN,NAN,NAN,NAN,21.4,23.8,NAN,NAN,NAN
2012,7,9,9,55,NAN,5.7,NAN,NAN,NAN,NAN,NAN,NAN,21.4,23.8,NAN,NAN,NAN
2012,7,9,10,55,NAN,4.6,NAN,NAN,NAN,NAN,NAN,NAN,21.7,23.7,NAN,NAN,NAN
2012,7,9,11,55,NAN,4.2,NAN,NAN,NAN,NAN,NAN,NAN,22,23.7,NAN,NAN,NAN
2012,7,9,12,55,NAN,4.1,NAN,NAN,NAN,NAN,NAN,NAN,22,23.7,NAN,NAN,NAN
2012,7,9,13,55,NAN,2.7,NAN,NAN,NAN,NAN,NAN,NAN,22.2,23.8,NAN,NAN,NAN
2012,7,9,14,55,NAN,2,NAN,NAN,NAN,NAN,NAN,NAN,22.5,23.9,NAN,NAN,NAN
2012,7,9,15,55,NAN,0.7,NAN,NAN,NAN,NAN,NAN,NAN,22.7,24.1,NAN,NAN,NAN
2012,7,9,16,55,NAN,1.9,NAN,NAN,NAN,NAN,NAN,NAN,22.9,24.3,NAN,NAN,NAN
2012,7,9,17,55,NAN,2.5,NAN,NAN,NAN,NAN,NAN,NAN,23.3,24.6,NAN,NAN,NAN
2012,7,9,18,55,NAN,2.6,NAN,NAN,NAN,NAN,NAN,NAN,23.7,24.8,NAN,NAN,NAN
2012,7,9,19,55,NAN,2.3,NAN,NAN,NAN,NAN,NAN,NAN,24.2,24.9,NAN,NAN,NAN
2012,7,9,20,55,NAN,2.6,NAN,NAN,NAN,NAN,NAN,NAN,25.2,25,NAN,NAN,NAN
2012,7,9,21,55,NAN,3.3,NAN,NAN,NAN,NAN,NAN,NAN,24.5,24.9,NAN,NAN,NAN
2012,7,9,22,55,NAN,1.5,NAN,NAN,NAN,NAN,NAN,NAN,26.8,24.8,NAN,NAN,NAN
2012,7,10,0,55,NAN,0.8,NAN,NAN,NAN,NAN,NAN,NAN,23.9,24.7,NAN,NAN,NAN
2012,7,10,1,55,NAN,2.1,NAN,NAN,NAN,NAN,NAN,NAN,23.4,24.6,NAN,NAN,NAN
2012,7,10,2,55,NAN,2.6,NAN,NAN,NAN,NAN,NAN,NAN,23.6,24.5,NAN,NAN,NAN
2012,7,10,3,55,NAN,2.4,NAN,NAN,NAN,NAN,NAN,NAN,23.8,24.4,NAN,NAN,NAN
2012,7,10,4,55,NAN,1.8,NAN,NAN,NAN,NAN,NAN,NAN,24,24.4,NAN,NAN,NAN
2012,7,10,5,55,NAN,2.1,NAN,NAN,NAN,NAN,NAN,NAN,23.5,24.3,NAN,NAN,NAN
2012,7,10,6,55,NAN,2.2,NAN,NAN,NAN,NAN,NAN,NAN,23.3,24.3,NAN,NAN,NAN
