Year,Month,Day,Inflow temperature [°C],Inflow concentration of O2 [mg m-3],Inflow pH [-],"*Orthophosphate, water, filtered, as PO4 [mg m-3]","*Phosphorus, water, unfiltered, as phosphorus [mg m-3]","*Orthophosphate, water, filtered, as phosphorus [mg m-3]",Inflow concentration as NH4 [mg m-3],*Suspended sediment concentration [mg m-3]
2013,10,23,11.7,9700,8,202,145,66,82,25000
2013,11,20,,,,324,214,106,17,51000
2013,12,17,,,,304,147,99,82,10000
2014,3,18,3.5,,,399,317,130,152,78000
2014,3,18,,,,385,310,126,146,70000
2014,4,5,,,,424,865,138,146,405000
2014,4,5,,,,459,864,150,161,458000
2014,4,6,,,,477,794,155,160,335000
2014,4,7,,,,489,681,160,151,252000
2014,4,28,,,,12,186,4,25,88000
2014,4,30,,,,12,100,4,18,34000
2014,5,8,,,,82,328,27,30,159000
2014,5,8,,,,93,162,30,16,27000
2014,5,13,,,,12,298,4,54,131000
2014,5,15,,,,376,471,122,176,222000
2014,5,16,,,,358,638,117,206,357000
2014,5,18,,,,469,403,153,466,154000
2014,5,22,,,,297,208,97,103,215000
2014,5,23,,,,260,220,85,67,87000
2014,6,3,,,,203,326,66,218,124000
2014,6,6,,,,204,277,66,121,94000
2014,6,6,,,,158,262,52,76,73000
2014,6,9,,,,267,354,87,174,123000
2014,6,12,,,,501,374,163,822,133000
2014,6,19,,,,47,208,15,61,58000
2014,6,24,,,,405,308,132,189,96000
2014,7,1,,,,517,332,169,15,56000
2014,7,2,,,,437,343,143,15,74000
2014,7,9,,,,126,188,41,78,45000
2014,7,11,,,,184,280,60,40,60000
2014,7,12,,,,188,278,61,50,65000
2014,7,14,,,,314,243,103,39,38000
2014,7,22,,,,12,258,4,213,25000
2014,7,23,,,,14,155,5,260,17000
2014,7,29,,,,69,157,23,50,19000
2014,7,29,,,,76,145,25,84,17000
2014,8,4,,,,12,142,4,71,11000
2014,8,6,,,,12,129,4,111,19000
2014,8,12,,,,143,212,47,332,21000
2014,8,13,,,,180,163,59,270,18000
2014,8,13,,,,179,167,58,236,20000
2014,8,13,,,,179,217,58,159,49000
2014,8,15,,,,235,190,77,226,26000
