Year,Month,Day,Inflow temperature [°C],Inflow concentration of O2 [mg m-3],Inflow pH [-]
2012,4,17,16.3,10800,8.2
2016,5,2,13,11000,7.9
2016,6,13,23.7,8200,7.7
