Year,Month,Day,Inflow temperature [°C],Inflow concentration of O2 [mg m-3],Inflow pH [-]
2012,9,18,21.2,4700,7.4
2012,9,19,19.7,4600,7.6
2012,9,20,20.2,7700,8.1
2012,9,21,19.8,16300,7.6
2012,9,22,18.2,5400,7.4
2016,5,4,12.8,8800,7.3
2016,6,15,22.7,6200,7.5
