Year,Month,Day,Inflow volume [m3 d-1],*Suspended sediment concentration[mg m-3]
1980,1,1,19841727.68,
1980,1,2,15560220.47,
1980,1,3,11743562.62,
1980,1,4,9027863.765,
1980,1,5,7290795.127,
1980,1,6,6581288.219,
1980,1,7,6067507.354,
1980,1,8,4893151.092,
1980,1,9,3205013.965,
1980,1,10,3009287.922,
1980,1,11,5162274.402,
1980,1,12,14459261.48,
1980,1,13,15927206.8,
1980,1,14,16807974,
1980,1,15,12966850.39,
1980,1,16,10202220.03,
1980,1,17,10716000.89,
1980,1,18,12355206.51,
1980,1,19,12502001.04,
1980,1,20,12086083.2,
1980,1,21,10300083.05,
1980,1,22,8734274.699,
1980,1,23,7486521.171,
1980,1,24,4770822.315,
1980,1,25,4134712.673,
1980,1,26,3963452.385,
1980,1,27,3963452.385,
1980,1,28,3890055.118,
1980,1,29,3498603.031,
1980,1,30,2886959.144,
1980,1,31,2691233.101,
1980,2,1,2152986.48,
1980,2,2,1957260.437,
1980,2,3,1859397.415,
1980,2,4,1761534.393,
1980,2,5,1712602.882,
1980,2,6,1614739.86,
1980,2,7,1565808.349,
1980,2,8,1614739.86,
1980,2,9,1614739.86,
1980,2,10,1614739.86,
1980,2,11,1656331.645,
1980,2,12,1663671.371,
1980,2,13,1556022.047,
1980,2,14,1507090.536,
1980,2,15,1507090.536,
1980,2,16,1546235.745,
1980,2,17,1467945.328,
1980,2,18,1636759.04,
1980,2,19,1705263.156,
1980,2,20,1516876.839,
1980,2,21,1609846.709,
1980,2,22,10324548.8,
1980,2,23,28869591.44,
1980,2,24,37921920.96,
1980,2,25,30092879.22,
1980,2,26,20967152.43,
1980,2,27,14997508.1,
1980,2,28,12306275,
1980,2,29,12232877.73,
1980,3,1,9272521.319,
1980,3,2,6556822.463,
1980,3,3,5309068.935,
1980,3,4,5088877.136,
1980,3,5,5578192.245,
1980,3,6,6214301.887,
1980,3,7,8318356.856,
1980,3,8,19450275.59,
1980,3,9,41347126.73,
1980,3,10,63121649.09,
1980,3,11,68993430.4,
1980,3,12,49176168.47,
1980,3,13,34496715.2,
1980,3,14,24710413.01,
1980,3,15,18593974.15,
1980,3,16,15315562.92,
1980,3,17,32784112.32,
1980,3,18,63610964.2,
1980,3,19,67280827.52,
1980,3,20,55047949.79,
1980,3,21,54558634.68,
1980,3,22,72418636.16,
1980,3,23,79758362.8,
1980,3,24,69972060.62,
1980,3,25,62143018.87,
1980,3,26,58962470.66,
1980,3,27,48197538.26,
1980,3,28,37187948.3,
1980,3,29,32294797.21,
1980,3,30,37677263.41,
1980,3,31,47463565.59,
1980,4,1,50644113.8,
1980,4,2,42325756.95,
1980,4,3,32294797.21,
1980,4,4,39634523.85,
1980,4,5,51378086.47,
1980,4,6,45995620.26,
1980,4,7,36209318.08,
1980,4,8,29114249,
1980,4,9,27646303.67,
1980,4,10,29114249,
1980,4,11,27890961.22,
1980,4,12,24147700.64,
1980,4,13,21921316.89,
1980,4,14,26667673.45,
1980,4,15,46484935.37,
1980,4,16,50888771.36,
1980,4,17,42081099.39,
1980,4,18,30092879.22,
1980,4,19,21578796.32,
1980,4,20,18618439.91,
1980,4,21,15413425.94,
1980,4,22,12599864.06,
1980,4,23,9835233.695,
1980,4,24,8832137.721,
1980,4,25,7119534.839,
1980,4,26,6507890.952,
1980,4,27,5627123.756,
1980,4,28,8514082.9,
1980,4,29,10446877.58,
1980,4,30,8024767.791,
1980,5,1,8244959.59,
1980,5,2,7413123.904,
1980,5,3,6483425.197,
1980,5,4,5578192.245,
1980,5,5,5260137.424,
1980,5,6,4672959.293,
1980,5,7,3596466.053,
1980,5,8,3376274.253,
1980,5,9,3523068.786,
1980,5,10,3376274.253,
1980,5,11,3229479.721,
1980,5,12,3180548.21,
1980,5,13,3596466.053,
1980,5,14,3987918.14,
1980,5,15,4134712.673,
1980,5,16,4012383.895,
1980,5,17,3890055.118,
1980,5,18,13358302.48,
1980,5,19,27401646.12,
1980,5,20,20746960.63,
1980,5,21,17174960.33,
1980,5,22,14288001.19,
1980,5,23,11596768.09,
1980,5,24,10104357,
1980,5,25,9663973.407,
1980,5,26,11792494.13,
1980,5,27,9370384.341,
1980,5,28,6752548.507,
1980,5,29,5333534.69,
1980,5,30,4428301.738,
1980,5,31,3963452.385,
1980,6,1,5676055.267,
1980,6,2,25199728.12,
1980,6,3,70950690.83,
1980,6,4,103979460.7,
1980,6,5,105447406,
1980,6,6,72418636.16,
1980,6,7,50644113.8,
1980,6,8,44283017.38,
1980,6,9,33518084.98,
1980,6,10,24000906.11,
1980,6,11,17982330.26,
1980,6,12,14532658.74,
1980,6,13,12379672.26,
1980,6,14,10030959.74,
1980,6,15,8538548.656,
1980,6,16,11572302.33,
1980,6,17,13358302.48,
1980,6,18,10324548.8,
1980,6,19,6581288.219,
1980,6,20,6018575.843,
1980,6,21,5945178.577,
1980,6,22,4648493.537,
1980,6,23,3767726.341,
1980,6,24,3278411.232,
1980,6,25,3278411.232,
1980,6,26,3253945.476,
1980,6,27,2593370.079,
1980,6,28,2495507.057,
1980,6,29,2395197.46,
1980,6,30,2094268.667,
1980,7,1,2309567.315,
1980,7,2,2206811.142,
1980,7,3,2030657.703,
1980,7,4,1766427.544,
1980,7,5,2617835.834,
1980,7,6,4721890.804,
1980,7,7,6458959.441,
1980,7,8,6728082.752,
1980,7,9,4526164.76,
1980,7,10,5994110.088,
1980,7,11,6189836.131,
1980,7,12,6336630.664,
1980,7,13,14630521.77,
1980,7,14,13847617.59,
1980,7,15,10104357,
1980,7,16,6605753.974,
1980,7,17,4844219.581,
1980,7,18,3718794.83,
1980,7,19,2960356.411,
1980,7,20,2329139.92,
1980,7,21,2096715.243,
1980,7,22,4648493.537,
1980,7,23,5137808.647,
1980,7,24,4159178.428,
1980,7,25,3425205.764,
1980,7,26,2446575.546,
1980,7,27,2152986.48,
1980,7,28,2397644.035,
1980,7,29,2935890.655,
1980,7,30,3669863.319,
1980,7,31,3449671.52,
1980,8,1,2935890.655,
1980,8,2,2201917.991,
1980,8,3,1688137.127,
1980,8,4,1492411.083,
1980,8,5,1321150.795,
1980,8,6,1174356.262,
1980,8,7,1052027.485,
1980,8,8,978630.2184,
1980,8,9,929698.7075,
1980,8,10,905232.952,
1980,8,11,1149890.507,
1980,8,12,1419013.817,
1980,8,13,2544438.568,
1980,8,14,4354904.472,
1980,8,15,6679151.241,
1980,8,16,10422411.83,
1980,8,17,12599864.06,
1980,8,18,11401042.04,
1980,8,19,10716000.89,
1980,8,20,14508192.99,
1980,8,21,21994714.16,
1980,8,22,20795892.14,
1980,8,23,15853809.54,
1980,8,24,12502001.04,
1980,8,25,10985124.2,
1980,8,26,8930000.743,
1980,8,27,5896247.066,
1980,8,28,4183644.184,
1980,8,29,3082685.188,
1980,8,30,2519972.812,
1980,8,31,2343819.373,
1980,9,1,3449671.52,
1980,9,2,3547534.542,
1980,9,3,4036849.651,
1980,9,4,4819753.826,
1980,9,5,6336630.664,
1980,9,6,5504794.979,
1980,9,7,5309068.935,
1980,9,8,4012383.895,
1980,9,9,3449671.52,
1980,9,10,2960356.411,
1980,9,11,2285101.56,
1980,9,12,2047783.732,
1980,9,13,1658778.22,
1980,9,14,1661224.796,
1980,9,15,1499750.81,
1980,9,16,1480178.205,
1980,9,17,1727282.335,
1980,9,18,3278411.232,
1980,9,19,5358000.446,
1980,9,20,4501699.005,
1980,9,21,3498603.031,
1980,9,22,2886959.144,
