Year,Month,Day,Inflow temperature [°C],Inflow concentration of O2 [mg m-3],Inflow pH [-],"*Suspended solids, water, unfiltered [mg m-3]","*Orthophosphate, water, filtered, as PO4 [mg m-3]","*Phosphorus, water, unfiltered, as phosphorus [mg m-3]","*Orthophosphate, water, filtered, as phosphorus [mg m-3]",Inflow concentration of dissolved organic carbon (DOC) [mg m-3],Inflow concentration of Ca2+ [mg m-3],Inflow concentration of SO4 [mg m-3],Inflow concentration of NH4 [mg m-3],Inflow concentration of NO3 [mg m-3],*Suspended sediment concentration [mg m-3]
1980,2,23,,,8.1,101000,,417,,15900,,110000,,,
1980,2,23,,,8.1,118000,,407,,9400,,111000,,,
1980,2,23,,,8.2,145000,,456,,9400,,107000,,,
1980,2,23,,,8.2,147000,,463,,9500,,106000,,,
1980,2,24,,,8,119000,,424,,8900,,110000,,,
1980,2,24,,,8,142000,,466,,9100,,113000,,,
1980,2,24,,,7.9,183000,,573,,8900,,121000,,,
1980,2,24,,,8,217000,,596,,9300,,101000,,,
1980,2,25,,,7.9,227000,,607,,9900,,84000,,,
1980,2,25,,,7.7,248000,,700,,10300,,76000,,,
1980,2,25,,,7.7,248000,,670,,10300,,68000,,,
1980,2,25,,,7.4,233000,,614,,10700,,66000,,,
1980,3,5,,,7.6,35000,,285,,10700,,76000,,,
1980,3,18,,,7.9,462000,,703,,15900,,,,,
1980,3,19,,,7.8,514000,,741,,11900,,,,,
1980,3,19,,,7.7,441000,,700,,11700,,,,,
1980,3,19,,,7.8,440000,,695,,11900,,,,,
1980,3,19,,,7.9,383000,,648,,12200,,,,,
1980,3,20,,,7.8,347000,,631,,11500,,,,,
1980,3,20,,,7.9,327000,,618,,10700,,,,,
1980,3,20,,,7.5,302000,,579,,11200,,,,,
1980,3,21,,,7.9,270000,,545,,10800,,,,,
1980,3,21,,,7.8,501000,,752,,11700,,,,,
1980,3,21,,,7.4,438000,,708,,12500,,,,,
1980,3,21,,,7.5,415000,,706,,11600,,,,,
1980,3,22,,,7.5,420000,,716,,15500,,,,,
1980,3,22,,,7.8,413000,,690,,12100,,,,,
1980,3,22,,,7.6,373000,,654,,13200,,,,,
1980,3,22,,,7.5,370000,,665,,11800,,,,,
1980,3,23,,,7.6,358000,,675,,12000,,,,,
1980,3,23,,,7.7,445000,,739,,12100,,,,,
1980,3,23,,,7.7,477000,,762,,11900,,,,,
1980,3,23,,,7.6,515000,,819,,11700,,,,,
1980,3,24,,,7.6,523000,,846,,11700,,,,,
1980,3,28,,,7.5,220000,,467,,10800,,,,,
1980,5,18,,,7.8,139000,,208,,,,,,,
1980,5,18,,,8,85000,,237,,,,,,,
1980,5,18,,,7.8,100000,,266,,,,,,,
1980,5,19,,,8,103000,,303,,,,,,,
1980,5,19,,,8,126000,,351,,,,,,,
1980,5,19,,,7.9,102000,,339,,,,,,,
1980,5,19,,,7.9,90000,,292,,,,,,,
1980,5,19,,,8.1,87000,,288,,,,,,,
1980,5,19,,,7.9,71000,,279,,,,,,,
1980,5,20,,,8.1,82000,,258,,,,,,,
1980,5,20,,,7.7,87000,,278,,,,,,,
1980,5,20,,,8,93000,,293,,,,,,,
1980,5,20,,,7.7,78000,,282,,,,,,,
1987,12,11,,,7.9,,,120,,,,,,,
1988,12,20,,,8.4,,,120,,,,,,,
1989,3,24,6.5,,8.2,,,130,,,,,,,
1989,6,7,,,,,,190,,,,,,,
1989,8,15,24.5,,8.8,,,180,,,,,,,
2011,2,28,,,,,,,,,,,,,
2011,2,28,1.6,12800,7.9,,,,,,,,,,403000
2011,2,28,1.6,12800,8,,,,,,,,,,454000
2011,3,1,1.2,12600,8,,,,,,,,,,506000
