Year,Month,Day,Inflow temperature [°C],Inflow concentration of O2 [mg m-3],Inflow pH [-]
2012,9,20,14.4,11200,7.8
2012,9,20,19,12200,8.7
2016,5,2,9.4,12000,7.8
2016,6,13,25.5,13000,8.3
