Year,Month,Day,Inflow temperature [°C],Inflow concentration of O2 [mg m-3],Inflow pH [-]
2004,5,12,20.8,9800,8.1
2004,6,15,21.5,6200,7.5
2004,7,13,26.5,7400,8.3
2004,8,16,21.3,4700,8.1
2004,8,17,22.1,5900,8.6
2016,5,3,14.9,12,8.1
2016,6,14,23.3,4.5,7.1
