,DATE,"PHOSPHORUS,UNFILTERED TOTAL","UNITS PHOSPHORUS,UNFILTERED TOTAL","PHOSPHATE,FILTERED REACTIVE","UNITS PHOSPHATE,FILTERED REACTIVE",NITROGEN; TOTAL,UNITS NITROGEN; TOTAL,"NITRATE,  UNFILTERED REACTIVE","UNITS NITRATE,  UNFILTERED REACTIVE","NITRITE,  UNFILTERED REACTIVE","UNITS NITRITE,  UNFILTERED REACTIVE","NITROGEN,TOT,KJELDAHL/UNF.REA","UNITS NITROGEN,TOT,KJELDAHL/UNF.REA","NITRATES TOTAL,   UNFIL.REAC","UNITS NITRATES TOTAL,   UNFIL.REAC","SILICATES,UNFILTERED REACTIVE","UNITS SILICATES,UNFILTERED REACTIVE","CHLORIDE,         UNFIL.REAC","UNITS CHLORIDE,         UNFIL.REAC"
19,2015-07-08,0.035,MILLIGRAM PER LITER,0.0132,MILLIGRAM PER LITER,3.33,MILLIGRAM PER LITER,,,0.016,MILLIGRAM PER LITER,,,3.08,MILLIGRAM PER LITER,4.3,MILLIGRAM PER LITER,54.7,MILLIGRAM PER LITER
20,2015-08-10,0.049,MILLIGRAM PER LITER,0.0286,MILLIGRAM PER LITER,3.88,MILLIGRAM PER LITER,,,0.019,MILLIGRAM PER LITER,,,3.69,MILLIGRAM PER LITER,4.36,MILLIGRAM PER LITER,62.2,MILLIGRAM PER LITER
21,2015-09-02,0.04,MILLIGRAM PER LITER,0.0207,MILLIGRAM PER LITER,3.81,MILLIGRAM PER LITER,,,0.057,MILLIGRAM PER LITER,,,3.89,MILLIGRAM PER LITER,4.48,MILLIGRAM PER LITER,68.6,MILLIGRAM PER LITER
22,2015-10-20,0.03,MILLIGRAM PER LITER,0.0177,MILLIGRAM PER LITER,3.96,MILLIGRAM PER LITER,,,0.013,MILLIGRAM PER LITER,,,3.5,MILLIGRAM PER LITER,4.82,MILLIGRAM PER LITER,69.6,MILLIGRAM PER LITER
23,2015-11-24,0.018,MILLIGRAM PER LITER,0.0116,MILLIGRAM PER LITER,3.88,MILLIGRAM PER LITER,,,0.014,MILLIGRAM PER LITER,,,3.81,MILLIGRAM PER LITER,4.4,MILLIGRAM PER LITER,54.0,MILLIGRAM PER LITER
24,2014-04-15,0.044,MILLIGRAM PER LITER,0.0188,MILLIGRAM PER LITER,2.98,MILLIGRAM PER LITER,,,0.021,MILLIGRAM PER LITER,0.63,MILLIGRAM PER LITER,2.36,MILLIGRAM PER LITER,2.82,MILLIGRAM PER LITER,40.8,MILLIGRAM PER LITER
25,2014-05-20,0.019,MILLIGRAM PER LITER,0.0131,MILLIGRAM PER LITER,3.34,MILLIGRAM PER LITER,,,0.02,MILLIGRAM PER LITER,0.6,MILLIGRAM PER LITER,2.9,MILLIGRAM PER LITER,3.4,MILLIGRAM PER LITER,45.0,MILLIGRAM PER LITER
26,2014-06-16,0.075,MILLIGRAM PER LITER,0.0628,MILLIGRAM PER LITER,3.85,MILLIGRAM PER LITER,,,0.032,MILLIGRAM PER LITER,0.17,MILLIGRAM PER LITER,3.56,MILLIGRAM PER LITER,4.16,MILLIGRAM PER LITER,50.9,MILLIGRAM PER LITER
27,2014-08-20,0.028,MILLIGRAM PER LITER,0.0217,MILLIGRAM PER LITER,3.73,MILLIGRAM PER LITER,,,0.017,MILLIGRAM PER LITER,0.47,MILLIGRAM PER LITER,3.34,MILLIGRAM PER LITER,4.34,MILLIGRAM PER LITER,52.7,MILLIGRAM PER LITER
28,2014-09-08,0.026,MILLIGRAM PER LITER,0.0156,MILLIGRAM PER LITER,3.58,MILLIGRAM PER LITER,,,0.014,MILLIGRAM PER LITER,0.82,MILLIGRAM PER LITER,3.24,MILLIGRAM PER LITER,4.74,MILLIGRAM PER LITER,51.4,MILLIGRAM PER LITER
29,2014-10-06,0.028,MILLIGRAM PER LITER,0.0184,MILLIGRAM PER LITER,3.54,MILLIGRAM PER LITER,,,0.015,MILLIGRAM PER LITER,0.31,MILLIGRAM PER LITER,3.04,MILLIGRAM PER LITER,4.8,MILLIGRAM PER LITER,52.2,MILLIGRAM PER LITER
30,2014-11-10,0.024,MILLIGRAM PER LITER,0.0172,MILLIGRAM PER LITER,4.01,MILLIGRAM PER LITER,,,0.015,MILLIGRAM PER LITER,0.43,MILLIGRAM PER LITER,3.79,MILLIGRAM PER LITER,4.52,MILLIGRAM PER LITER,52.3,MILLIGRAM PER LITER
31,2014-12-15,0.025,MILLIGRAM PER LITER,0.0191,MILLIGRAM PER LITER,4.25,MILLIGRAM PER LITER,,,0.043,MILLIGRAM PER LITER,0.79,MILLIGRAM PER LITER,3.47,MILLIGRAM PER LITER,4.36,MILLIGRAM PER LITER,50.7,MILLIGRAM PER LITER
32,2013-04-03,0.017,MILLIGRAM PER LITER,0.0099,MILLIGRAM PER LITER,,,,,0.096,MILLIGRAM PER LITER,0.62,MILLIGRAM PER LITER,2.65,MILLIGRAM PER LITER,3.18,MILLIGRAM PER LITER,48.4,MILLIGRAM PER LITER
33,2013-05-27,0.033,MILLIGRAM PER LITER,0.0133,MILLIGRAM PER LITER,,,,,0.024,MILLIGRAM PER LITER,0.16,MILLIGRAM PER LITER,3.61,MILLIGRAM PER LITER,4.02,MILLIGRAM PER LITER,50.7,MILLIGRAM PER LITER
34,2013-06-26,0.026,MILLIGRAM PER LITER,0.0192,MILLIGRAM PER LITER,,,,,0.045,MILLIGRAM PER LITER,0.75,MILLIGRAM PER LITER,2.6,MILLIGRAM PER LITER,4.66,MILLIGRAM PER LITER,50.8,MILLIGRAM PER LITER
