,DATE,"PHOSPHORUS,UNFILTERED TOTAL","UNITS PHOSPHORUS,UNFILTERED TOTAL","PHOSPHATE,FILTERED REACTIVE","UNITS PHOSPHATE,FILTERED REACTIVE",NITROGEN; TOTAL,UNITS NITROGEN; TOTAL,"NITRATE,  UNFILTERED REACTIVE","UNITS NITRATE,  UNFILTERED REACTIVE","NITRITE,  UNFILTERED REACTIVE","UNITS NITRITE,  UNFILTERED REACTIVE","NITROGEN,TOT,KJELDAHL/UNF.REA","UNITS NITROGEN,TOT,KJELDAHL/UNF.REA","NITRATES TOTAL,   UNFIL.REAC","UNITS NITRATES TOTAL,   UNFIL.REAC","SILICATES,UNFILTERED REACTIVE","UNITS SILICATES,UNFILTERED REACTIVE","CHLORIDE,         UNFIL.REAC","UNITS CHLORIDE,         UNFIL.REAC"
0,2016-04-12,0.19,MILLIGRAM PER LITER,0.129,MILLIGRAM PER LITER,4.63,MILLIGRAM PER LITER,,,0.06,MILLIGRAM PER LITER,,,4.25,MILLIGRAM PER LITER,,,36.2,MILLIGRAM PER LITER
1,2016-04-12,0.208,MILLIGRAM PER LITER,0.129,MILLIGRAM PER LITER,4.63,MILLIGRAM PER LITER,,,0.06,MILLIGRAM PER LITER,,,4.25,MILLIGRAM PER LITER,,,36.2,MILLIGRAM PER LITER
2,2016-05-11,0.266,MILLIGRAM PER LITER,0.0238,MILLIGRAM PER LITER,1.35,MILLIGRAM PER LITER,,,0.33,MILLIGRAM PER LITER,,,0.437,MILLIGRAM PER LITER,,,28.3,MILLIGRAM PER LITER
3,2016-06-22,0.193,MILLIGRAM PER LITER,0.116,MILLIGRAM PER LITER,0.83,MILLIGRAM PER LITER,,,0.035,MILLIGRAM PER LITER,,,0.401,MILLIGRAM PER LITER,,,18.0,MILLIGRAM PER LITER
4,2016-06-22,0.203,MILLIGRAM PER LITER,0.116,MILLIGRAM PER LITER,0.83,MILLIGRAM PER LITER,,,0.035,MILLIGRAM PER LITER,,,0.401,MILLIGRAM PER LITER,,,18.0,MILLIGRAM PER LITER
5,2016-07-19,0.115,MILLIGRAM PER LITER,0.0529,MILLIGRAM PER LITER,0.65,MILLIGRAM PER LITER,,,0.011,MILLIGRAM PER LITER,,,0.191,MILLIGRAM PER LITER,,,14.2,MILLIGRAM PER LITER
6,2016-07-19,0.13,MILLIGRAM PER LITER,0.0529,MILLIGRAM PER LITER,0.65,MILLIGRAM PER LITER,,,0.011,MILLIGRAM PER LITER,,,0.191,MILLIGRAM PER LITER,,,14.2,MILLIGRAM PER LITER
7,2016-08-16,0.445,MILLIGRAM PER LITER,0.184,MILLIGRAM PER LITER,0.77,MILLIGRAM PER LITER,,,0.033,MILLIGRAM PER LITER,,,0.235,MILLIGRAM PER LITER,,,40.0,MILLIGRAM PER LITER
8,2016-08-16,0.518,MILLIGRAM PER LITER,0.184,MILLIGRAM PER LITER,0.77,MILLIGRAM PER LITER,,,0.033,MILLIGRAM PER LITER,,,0.235,MILLIGRAM PER LITER,,,40.0,MILLIGRAM PER LITER
9,2016-09-14,0.296,MILLIGRAM PER LITER,0.137,MILLIGRAM PER LITER,1.75,MILLIGRAM PER LITER,,,0.043,MILLIGRAM PER LITER,,,0.162,MILLIGRAM PER LITER,,,27.7,MILLIGRAM PER LITER
10,2016-09-14,0.354,MILLIGRAM PER LITER,0.137,MILLIGRAM PER LITER,1.75,MILLIGRAM PER LITER,,,0.043,MILLIGRAM PER LITER,,,0.162,MILLIGRAM PER LITER,,,27.7,MILLIGRAM PER LITER
11,2016-10-12,0.157,MILLIGRAM PER LITER,0.0603,MILLIGRAM PER LITER,1.44,MILLIGRAM PER LITER,,,0.088,MILLIGRAM PER LITER,,,1.1,MILLIGRAM PER LITER,,,26.3,MILLIGRAM PER LITER
12,2016-10-12,0.202,MILLIGRAM PER LITER,0.0603,MILLIGRAM PER LITER,1.44,MILLIGRAM PER LITER,,,0.088,MILLIGRAM PER LITER,,,1.1,MILLIGRAM PER LITER,,,26.3,MILLIGRAM PER LITER
13,2016-11-22,0.133,MILLIGRAM PER LITER,0.0817,MILLIGRAM PER LITER,2.05,MILLIGRAM PER LITER,,,0.057,MILLIGRAM PER LITER,,,1.11,MILLIGRAM PER LITER,,,29.6,MILLIGRAM PER LITER
14,2016-11-22,0.168,MILLIGRAM PER LITER,0.0817,MILLIGRAM PER LITER,2.05,MILLIGRAM PER LITER,,,0.057,MILLIGRAM PER LITER,,,1.11,MILLIGRAM PER LITER,,,29.6,MILLIGRAM PER LITER
15,2015-04-14,0.324,MILLIGRAM PER LITER,0.174,MILLIGRAM PER LITER,5.79,MILLIGRAM PER LITER,,,0.09,MILLIGRAM PER LITER,0.4,MILLIGRAM PER LITER,4.86,MILLIGRAM PER LITER,,,57.7,MILLIGRAM PER LITER
16,2015-05-12,0.135,MILLIGRAM PER LITER,0.111,MILLIGRAM PER LITER,2.88,MILLIGRAM PER LITER,,,0.19,MILLIGRAM PER LITER,0.81,MILLIGRAM PER LITER,2.06,MILLIGRAM PER LITER,,,33.4,MILLIGRAM PER LITER
17,2015-06-09,0.168,MILLIGRAM PER LITER,0.0731,MILLIGRAM PER LITER,2.33,MILLIGRAM PER LITER,,,0.08,MILLIGRAM PER LITER,,,1.87,MILLIGRAM PER LITER,,,22.1,MILLIGRAM PER LITER
18,2015-07-21,0.244,MILLIGRAM PER LITER,0.153,MILLIGRAM PER LITER,0.54,MILLIGRAM PER LITER,,,0.014,MILLIGRAM PER LITER,,,0.021,MILLIGRAM PER LITER,,,18.9,MILLIGRAM PER LITER
19,2015-08-18,0.176,MILLIGRAM PER LITER,0.105,MILLIGRAM PER LITER,0.54,MILLIGRAM PER LITER,,,0.016,MILLIGRAM PER LITER,,,0.061,MILLIGRAM PER LITER,,,21.9,MILLIGRAM PER LITER
20,2015-08-18,0.225,MILLIGRAM PER LITER,0.105,MILLIGRAM PER LITER,0.54,MILLIGRAM PER LITER,,,0.016,MILLIGRAM PER LITER,,,0.061,MILLIGRAM PER LITER,,,21.9,MILLIGRAM PER LITER
21,2015-08-18,0.236,MILLIGRAM PER LITER,0.105,MILLIGRAM PER LITER,0.54,MILLIGRAM PER LITER,,,0.016,MILLIGRAM PER LITER,,,0.061,MILLIGRAM PER LITER,,,21.9,MILLIGRAM PER LITER
22,2015-09-15,0.188,MILLIGRAM PER LITER,0.138,MILLIGRAM PER LITER,0.46,MILLIGRAM PER LITER,,,0.017,MILLIGRAM PER LITER,,,0.066,MILLIGRAM PER LITER,,,27.1,MILLIGRAM PER LITER
23,2015-09-15,0.212,MILLIGRAM PER LITER,0.138,MILLIGRAM PER LITER,0.46,MILLIGRAM PER LITER,,,0.017,MILLIGRAM PER LITER,,,0.066,MILLIGRAM PER LITER,,,27.1,MILLIGRAM PER LITER
24,2015-09-15,0.22,MILLIGRAM PER LITER,0.138,MILLIGRAM PER LITER,0.46,MILLIGRAM PER LITER,,,0.017,MILLIGRAM PER LITER,,,0.066,MILLIGRAM PER LITER,,,27.1,MILLIGRAM PER LITER
25,2015-10-14,0.264,MILLIGRAM PER LITER,0.14,MILLIGRAM PER LITER,0.78,MILLIGRAM PER LITER,,,0.029,MILLIGRAM PER LITER,,,0.108,MILLIGRAM PER LITER,,,33.7,MILLIGRAM PER LITER
26,2015-10-14,0.258,MILLIGRAM PER LITER,0.14,MILLIGRAM PER LITER,0.78,MILLIGRAM PER LITER,,,0.029,MILLIGRAM PER LITER,,,0.108,MILLIGRAM PER LITER,,,33.7,MILLIGRAM PER LITER
27,2015-10-14,0.274,MILLIGRAM PER LITER,0.14,MILLIGRAM PER LITER,0.78,MILLIGRAM PER LITER,,,0.029,MILLIGRAM PER LITER,,,0.108,MILLIGRAM PER LITER,,,33.7,MILLIGRAM PER LITER
28,2015-11-24,0.175,MILLIGRAM PER LITER,0.11,MILLIGRAM PER LITER,1.1,MILLIGRAM PER LITER,,,0.025,MILLIGRAM PER LITER,,,0.46,MILLIGRAM PER LITER,,,29.5,MILLIGRAM PER LITER
29,2015-11-24,0.0858,MILLIGRAM PER LITER,0.11,MILLIGRAM PER LITER,1.1,MILLIGRAM PER LITER,,,0.025,MILLIGRAM PER LITER,,,0.46,MILLIGRAM PER LITER,,,29.5,MILLIGRAM PER LITER
30,2015-11-24,0.0864,MILLIGRAM PER LITER,0.11,MILLIGRAM PER LITER,1.1,MILLIGRAM PER LITER,,,0.025,MILLIGRAM PER LITER,,,0.46,MILLIGRAM PER LITER,,,29.5,MILLIGRAM PER LITER
31,2014-01-20,0.22,MILLIGRAM PER LITER,0.17,MILLIGRAM PER LITER,2.05,MILLIGRAM PER LITER,,,0.016,MILLIGRAM PER LITER,,,1.49,MILLIGRAM PER LITER,,,29.9,MILLIGRAM PER LITER
32,2014-02-03,0.395,MILLIGRAM PER LITER,0.298,MILLIGRAM PER LITER,1.4,MILLIGRAM PER LITER,,,0.014,MILLIGRAM PER LITER,0.44,MILLIGRAM PER LITER,0.965,MILLIGRAM PER LITER,,,40.0,MILLIGRAM PER LITER
33,2014-03-18,0.189,MILLIGRAM PER LITER,0.129,MILLIGRAM PER LITER,3.03,MILLIGRAM PER LITER,,,0.039,MILLIGRAM PER LITER,1.17,MILLIGRAM PER LITER,1.99,MILLIGRAM PER LITER,,,40.5,MILLIGRAM PER LITER
