,DATE,"PHOSPHORUS,UNFILTERED TOTAL","UNITS PHOSPHORUS,UNFILTERED TOTAL","PHOSPHATE,FILTERED REACTIVE","UNITS PHOSPHATE,FILTERED REACTIVE",NITROGEN; TOTAL,UNITS NITROGEN; TOTAL,"NITRATE,  UNFILTERED REACTIVE","UNITS NITRATE,  UNFILTERED REACTIVE","NITRITE,  UNFILTERED REACTIVE","UNITS NITRITE,  UNFILTERED REACTIVE","NITROGEN,TOT,KJELDAHL/UNF.REA","UNITS NITROGEN,TOT,KJELDAHL/UNF.REA","NITRATES TOTAL,   UNFIL.REAC","UNITS NITRATES TOTAL,   UNFIL.REAC","SILICATES,UNFILTERED REACTIVE","UNITS SILICATES,UNFILTERED REACTIVE","CHLORIDE,         UNFIL.REAC","UNITS CHLORIDE,         UNFIL.REAC"
0,2016-04-25,0.044,MILLIGRAM PER LITER,0.0133,MILLIGRAM PER LITER,8.09,MILLIGRAM PER LITER,,,0.084,MILLIGRAM PER LITER,,,7.98,MILLIGRAM PER LITER,0.3,MILLIGRAM PER LITER,62.1,MILLIGRAM PER LITER
1,2016-04-25,0.0404,MILLIGRAM PER LITER,0.0133,MILLIGRAM PER LITER,8.09,MILLIGRAM PER LITER,,,0.084,MILLIGRAM PER LITER,,,7.98,MILLIGRAM PER LITER,0.3,MILLIGRAM PER LITER,62.1,MILLIGRAM PER LITER
2,2016-05-18,0.131,MILLIGRAM PER LITER,0.0121,MILLIGRAM PER LITER,8.73,MILLIGRAM PER LITER,,,0.121,MILLIGRAM PER LITER,,,6.95,MILLIGRAM PER LITER,0.52,MILLIGRAM PER LITER,63.5,MILLIGRAM PER LITER
3,2016-05-18,0.2,MILLIGRAM PER LITER,0.0121,MILLIGRAM PER LITER,8.73,MILLIGRAM PER LITER,,,0.121,MILLIGRAM PER LITER,,,6.95,MILLIGRAM PER LITER,0.52,MILLIGRAM PER LITER,63.5,MILLIGRAM PER LITER
4,2016-06-21,0.095,MILLIGRAM PER LITER,0.0564,MILLIGRAM PER LITER,9.31,MILLIGRAM PER LITER,,,0.107,MILLIGRAM PER LITER,,,8.24,MILLIGRAM PER LITER,1.46,MILLIGRAM PER LITER,58.7,MILLIGRAM PER LITER
5,2016-06-21,0.106,MILLIGRAM PER LITER,0.0564,MILLIGRAM PER LITER,9.31,MILLIGRAM PER LITER,,,0.107,MILLIGRAM PER LITER,,,8.24,MILLIGRAM PER LITER,1.46,MILLIGRAM PER LITER,58.7,MILLIGRAM PER LITER
6,2016-07-25,0.208,MILLIGRAM PER LITER,0.169,MILLIGRAM PER LITER,8.83,MILLIGRAM PER LITER,,,0.082,MILLIGRAM PER LITER,,,8.67,MILLIGRAM PER LITER,2.54,MILLIGRAM PER LITER,110.0,MILLIGRAM PER LITER
7,2016-07-25,0.226,MILLIGRAM PER LITER,0.169,MILLIGRAM PER LITER,8.83,MILLIGRAM PER LITER,,,0.082,MILLIGRAM PER LITER,,,8.67,MILLIGRAM PER LITER,2.54,MILLIGRAM PER LITER,110.0,MILLIGRAM PER LITER
8,2016-08-17,0.306,MILLIGRAM PER LITER,0.24,MILLIGRAM PER LITER,6.19,MILLIGRAM PER LITER,,,0.143,MILLIGRAM PER LITER,,,5.71,MILLIGRAM PER LITER,3.4,MILLIGRAM PER LITER,96.5,MILLIGRAM PER LITER
9,2016-08-17,0.322,MILLIGRAM PER LITER,0.24,MILLIGRAM PER LITER,6.19,MILLIGRAM PER LITER,,,0.143,MILLIGRAM PER LITER,,,5.71,MILLIGRAM PER LITER,3.4,MILLIGRAM PER LITER,96.5,MILLIGRAM PER LITER
10,2016-09-20,0.15,MILLIGRAM PER LITER,0.127,MILLIGRAM PER LITER,9.48,MILLIGRAM PER LITER,,,0.041,MILLIGRAM PER LITER,,,8.4,MILLIGRAM PER LITER,3.56,MILLIGRAM PER LITER,167.0,MILLIGRAM PER LITER
11,2016-09-20,0.178,MILLIGRAM PER LITER,0.127,MILLIGRAM PER LITER,9.48,MILLIGRAM PER LITER,,,0.041,MILLIGRAM PER LITER,,,8.4,MILLIGRAM PER LITER,3.56,MILLIGRAM PER LITER,167.0,MILLIGRAM PER LITER
12,2016-10-17,0.077,MILLIGRAM PER LITER,0.0464,MILLIGRAM PER LITER,22.0,MILLIGRAM PER LITER,,,0.083,MILLIGRAM PER LITER,,,18.5,MILLIGRAM PER LITER,1.16,MILLIGRAM PER LITER,142.0,MILLIGRAM PER LITER
13,2016-10-17,0.09,MILLIGRAM PER LITER,0.0464,MILLIGRAM PER LITER,22.0,MILLIGRAM PER LITER,,,0.083,MILLIGRAM PER LITER,,,18.5,MILLIGRAM PER LITER,1.16,MILLIGRAM PER LITER,142.0,MILLIGRAM PER LITER
14,2016-11-28,0.043,MILLIGRAM PER LITER,0.0271,MILLIGRAM PER LITER,13.0,MILLIGRAM PER LITER,,,0.022,MILLIGRAM PER LITER,,,10.9,MILLIGRAM PER LITER,1.78,MILLIGRAM PER LITER,126.0,MILLIGRAM PER LITER
15,2016-11-28,0.059,MILLIGRAM PER LITER,0.0271,MILLIGRAM PER LITER,13.0,MILLIGRAM PER LITER,,,0.022,MILLIGRAM PER LITER,,,10.9,MILLIGRAM PER LITER,1.78,MILLIGRAM PER LITER,126.0,MILLIGRAM PER LITER
16,2015-04-13,0.04,MILLIGRAM PER LITER,0.0181,MILLIGRAM PER LITER,5.71,MILLIGRAM PER LITER,,,0.022,MILLIGRAM PER LITER,1.0,MILLIGRAM PER LITER,5.17,MILLIGRAM PER LITER,1.64,MILLIGRAM PER LITER,58.0,MILLIGRAM PER LITER
17,2015-05-11,0.07,MILLIGRAM PER LITER,0.0465,MILLIGRAM PER LITER,6.47,MILLIGRAM PER LITER,,,0.21,MILLIGRAM PER LITER,0.88,MILLIGRAM PER LITER,5.77,MILLIGRAM PER LITER,0.68,MILLIGRAM PER LITER,76.3,MILLIGRAM PER LITER
