Row,YEAR,MONTH,LAKE,CRUISE_ID,VISIT_ID,STATION_ID,STN_DEPTH_M,LATITUDE,LONGITUDE,SAMPLING_DATE,TIME_ZONE,SAMPLE_DEPTH_M,DEPTH_CODE,MEDIUM,SAMPLE_TYPE,QC_TYPE,SAMPLE_ID,ANL_CODE_1,ANALYTE_1,VALUE_1,UNITS_1,FRACTION_1,METHOD_1,RESULT_REMARK_1,
"23","2010","April    ","Michigan","MI1011","M018M10","MI18M","161.5","42.7334","-86.9998","2010/04/02 09:17","EDT","100.1","One Hundred Meter","surface water","Individual","routine field sample","10GA10S48","O2diss","Oxygen, Dissolved","-3.69889","mg/l","Total/Bulk","LG301","",
"24","2010","April    ","Michigan","MI1011","M018M10","MI18M","161.5","42.7334","-86.9998","2010/04/02 09:17","EDT","147.7","Bottom Minus 10","surface water","Individual","routine field sample","10GA10S50","O2diss","Oxygen, Dissolved","-3.72032","mg/l","Total/Bulk","LG301","",
"25","2010","April    ","Michigan","MI1011","M018M10","MI18M","161.5","42.7334","-86.9998","2010/04/02 09:17","EDT","155.8","Bottom Minus","surface water","Individual","routine field sample","10GA10S51","O2diss","Oxygen, Dissolved","-3.72461","mg/l","Total/Bulk","LG301","",
"26","2010","April    ","Michigan","MI1011","M019M10","MI19","91.6","42.583417","-86.416583","2010/04/02 06:55","EDT","2.1","Surface","surface water","Individual","routine field sample","10GA10S61","O2diss","Oxygen, Dissolved","-3.67497","mg/l","Total/Bulk","LG301","",
"27","2010","April    ","Michigan","MI1011","M019M10","MI19","91.6","42.583417","-86.416583","2010/04/02 06:55","EDT","44.4","Middle Depth","surface water","Individual","routine field sample","10GA10S63","O2diss","Oxygen, Dissolved","-3.68321","mg/l","Total/Bulk","LG301","",
"28","2010","April    ","Michigan","MI1011","M019M10","MI19","91.6","42.583417","-86.416583","2010/04/02 06:55","EDT","4.9","Five Meter","surface water","Individual","routine field sample","10GA10S6A","O2diss","Oxygen, Dissolved","-3.67794","mg/l","Total/Bulk","LG301","",
"29","2010","April    ","Michigan","MI1011","M019M10","MI19","91.6","42.583417","-86.416583","2010/04/02 06:55","EDT","10.2","Ten Meter","surface water","Individual","routine field sample","10GA10S6B","O2diss","Oxygen, Dissolved","-3.66156","mg/l","Total/Bulk","LG301","",
"30","2010","April    ","Michigan","MI1011","M019M10","MI19","91.6","42.583417","-86.416583","2010/04/02 06:55","EDT","20.1","Twenty Meter","surface water","Individual","routine field sample","10GA10S6C","O2diss","Oxygen, Dissolved","-3.66555","mg/l","Total/Bulk","LG301","",
"31","2010","April    ","Michigan","MI1011","M019M10","MI19","91.6","42.583417","-86.416583","2010/04/02 06:55","EDT","78.8","Bottom Minus 10","surface water","Individual","routine field sample","10GA10S70","O2diss","Oxygen, Dissolved","-3.7011","mg/l","Total/Bulk","LG301","",
"32","2010","April    ","Michigan","MI1011","M019M10","MI19","91.6","42.583417","-86.416583","2010/04/02 06:55","EDT","87.2","Bottom Minus","surface water","Individual","routine field sample","10GA10S71","O2diss","Oxygen, Dissolved","-3.70497","mg/l","Total/Bulk","LG301","",
