Row,YEAR,MONTH,SEASON,LAKE,CRUISE_ID,VISIT_ID,STATION_ID,STN_DEPTH_M,LATITUDE,LONGITUDE,SAMPLING_DATE,TIME_ZONE,SAMPLE_DEPTH_M,DEPTH_CODE,MEDIUM,SAMPLE_TYPE,QC_TYPE,SAMPLE_ID,ANL_CODE_1,ANALYTE_1,VALUE_1,UNITS_1,FRACTION_1,METHOD_1,RESULT_REMARK_1,ANL_CODE_2,ANALYTE_2,VALUE_2,UNITS_2,FRACTION_2,METHOD_2,RESULT_REMARK_2,
"1","2000","April    ","Spring","Erie","SP2000","E015A00","ER15M","65.6","42.516317","-79.892917","2000/04/16 19:32","EDT","60","","surface water","Individual QC","lab duplicate","00GC13C51","P-tot","Phosphorus, Total as P","4.284","ug/l","Filtrate","LG204","","P-tot","Phosphorus, Total as P","5.539","ug/l","Total/Bulk","LG204","",
"2","2000","April    ","Spring","Erie","SP2000","E010A00","ER10","34.3","42.679933","-79.691617","2000/04/16 23:45","EDT","31","","surface water","Individual QC","field duplicate","00GC13D71","P-tot","Phosphorus, Total as P","2.369","ug/l","Filtrate","LG204","","P-tot","Phosphorus, Total as P","3.779","ug/l","Total/Bulk","LG204","",
"3","2000","April    ","Spring","Erie","SP2000","E063A00","ER63","47.2","42.4162","-79.800083","2000/04/16 18:03","EDT","2","","surface water","Composite","routine field sample","00GC13I32","P-tot","Phosphorus, Total as P","2.537","ug/l","Filtrate","LG204","","P-tot","Phosphorus, Total as P","3.933","ug/l","Total/Bulk","LG204","",
"4","2000","April    ","Spring","Erie","SP2000","E015A00","ER15M","65.6","42.516317","-79.892917","2000/04/16 19:32","EDT","2","","surface water","Composite","routine field sample","00GC13I52","P-tot","Phosphorus, Total as P","3.288","ug/l","Filtrate","LG204","","P-tot","Phosphorus, Total as P","6.314","ug/l","Total/Bulk","LG204","",
"5","2000","April    ","Spring","Erie","SP2000","E010A00","ER10","34.3","42.679933","-79.691617","2000/04/16 23:45","EDT","2","","surface water","Composite","routine field sample","00GC13I72","P-tot","Phosphorus, Total as P","2.966","ug/l","Filtrate","LG204","","P-tot","Phosphorus, Total as P","3.906","ug/l","Total/Bulk","LG204","",
"6","2000","April    ","Spring","Erie","SP2000","E009A00","ER09","51.2","42.538533","-79.627483","2000/04/16 21:46","EDT","2","","surface water","Composite","routine field sample","00GC13I92","P-tot","Phosphorus, Total as P","2.092","ug/l","Filtrate","LG204","","P-tot","Phosphorus, Total as P","4.649","ug/l","Total/Bulk","LG204","",
"7","2000","April    ","Spring","Erie","SP2000","E009A00","ER09","51.2","42.538533","-79.627483","2000/04/16 21:46","EDT","0","","surface water","Individual QC","field blank","00GC13R80","P-tot","Phosphorus, Total as P","-0.327","ug/l","Filtrate","LG204","","P-tot","Phosphorus, Total as P","-0.225","ug/l","Total/Bulk","LG204","",
"8","2000","April    ","Spring","Erie","SP2000","E063A00","ER63","47.2","42.4162","-79.800083","2000/04/16 18:03","EDT","2","Surface","surface water","Individual","routine field sample","00GC13S21","P-tot","Phosphorus, Total as P","2.274","ug/l","Filtrate","LG204","","P-tot","Phosphorus, Total as P","4.351","ug/l","Total/Bulk","LG204","",
"9","2000","April    ","Spring","Erie","SP2000","E063A00","ER63","47.2","42.4162","-79.800083","2000/04/16 18:03","EDT","20","Middle Depth","surface water","Individual","routine field sample","00GC13S23","P-tot","Phosphorus, Total as P","2.534","ug/l","Filtrate","LG204","","P-tot","Phosphorus, Total as P","4.018","ug/l","Total/Bulk","LG204","",
"10","2000","April    ","Spring","Erie","SP2000","E063A00","ER63","47.2","42.4162","-79.800083","2000/04/16 18:03","EDT","35","Bottom Minus 10","surface water","Individual","routine field sample","00GC13S30","P-tot","Phosphorus, Total as P","2.475","ug/l","Filtrate","LG204","","P-tot","Phosphorus, Total as P","3.837","ug/l","Total/Bulk","LG204","",
