,DATE,"PHOSPHORUS,UNFILTERED TOTAL","UNITS PHOSPHORUS,UNFILTERED TOTAL","PHOSPHATE,FILTERED REACTIVE","UNITS PHOSPHATE,FILTERED REACTIVE",NITROGEN; TOTAL,UNITS NITROGEN; TOTAL,"NITRATE,  UNFILTERED REACTIVE","UNITS NITRATE,  UNFILTERED REACTIVE","NITRITE,  UNFILTERED REACTIVE","UNITS NITRITE,  UNFILTERED REACTIVE","NITROGEN,TOT,KJELDAHL/UNF.REA","UNITS NITROGEN,TOT,KJELDAHL/UNF.REA","NITRATES TOTAL,   UNFIL.REAC","UNITS NITRATES TOTAL,   UNFIL.REAC","SILICATES,UNFILTERED REACTIVE","UNITS SILICATES,UNFILTERED REACTIVE","CHLORIDE,         UNFIL.REAC","UNITS CHLORIDE,         UNFIL.REAC"
22,2015-09-14,0.097,MILLIGRAM PER LITER,0.0665,MILLIGRAM PER LITER,0.93,MILLIGRAM PER LITER,,,0.014,MILLIGRAM PER LITER,,,0.351,MILLIGRAM PER LITER,,,180.0,MILLIGRAM PER LITER
23,2015-09-14,0.12,MILLIGRAM PER LITER,0.0665,MILLIGRAM PER LITER,0.93,MILLIGRAM PER LITER,,,0.014,MILLIGRAM PER LITER,,,0.351,MILLIGRAM PER LITER,,,180.0,MILLIGRAM PER LITER
24,2015-09-14,0.124,MILLIGRAM PER LITER,0.0665,MILLIGRAM PER LITER,0.93,MILLIGRAM PER LITER,,,0.014,MILLIGRAM PER LITER,,,0.351,MILLIGRAM PER LITER,,,180.0,MILLIGRAM PER LITER
25,2015-10-13,0.06,MILLIGRAM PER LITER,0.0144,MILLIGRAM PER LITER,0.44,MILLIGRAM PER LITER,,,0.005,MILLIGRAM PER LITER,,,0.02,MILLIGRAM PER LITER,,,254.0,MILLIGRAM PER LITER
26,2015-10-13,0.08,MILLIGRAM PER LITER,0.0144,MILLIGRAM PER LITER,0.44,MILLIGRAM PER LITER,,,0.005,MILLIGRAM PER LITER,,,0.02,MILLIGRAM PER LITER,,,254.0,MILLIGRAM PER LITER
27,2015-10-13,0.082,MILLIGRAM PER LITER,0.0144,MILLIGRAM PER LITER,0.44,MILLIGRAM PER LITER,,,0.005,MILLIGRAM PER LITER,,,0.02,MILLIGRAM PER LITER,,,254.0,MILLIGRAM PER LITER
28,2015-11-23,0.127,MILLIGRAM PER LITER,0.116,MILLIGRAM PER LITER,2.15,MILLIGRAM PER LITER,,,0.019,MILLIGRAM PER LITER,,,1.53,MILLIGRAM PER LITER,,,170.0,MILLIGRAM PER LITER
29,2015-11-23,0.0112,MILLIGRAM PER LITER,0.116,MILLIGRAM PER LITER,2.15,MILLIGRAM PER LITER,,,0.019,MILLIGRAM PER LITER,,,1.53,MILLIGRAM PER LITER,,,170.0,MILLIGRAM PER LITER
30,2015-11-23,0.011800000000000001,MILLIGRAM PER LITER,0.116,MILLIGRAM PER LITER,2.15,MILLIGRAM PER LITER,,,0.019,MILLIGRAM PER LITER,,,1.53,MILLIGRAM PER LITER,,,170.0,MILLIGRAM PER LITER
31,2014-04-14,0.182,MILLIGRAM PER LITER,,,3.0,MILLIGRAM PER LITER,,,,,0.94,MILLIGRAM PER LITER,,,,,144.0,MILLIGRAM PER LITER
32,2014-05-20,0.135,MILLIGRAM PER LITER,0.0851,MILLIGRAM PER LITER,5.53,MILLIGRAM PER LITER,,,0.091,MILLIGRAM PER LITER,1.36,MILLIGRAM PER LITER,4.01,MILLIGRAM PER LITER,,,95.1,MILLIGRAM PER LITER
33,2014-06-02,0.199,MILLIGRAM PER LITER,0.122,MILLIGRAM PER LITER,4.01,MILLIGRAM PER LITER,,,0.142,MILLIGRAM PER LITER,1.23,MILLIGRAM PER LITER,2.78,MILLIGRAM PER LITER,,,143.0,MILLIGRAM PER LITER
34,2014-06-30,0.196,MILLIGRAM PER LITER,0.0642,MILLIGRAM PER LITER,1.87,MILLIGRAM PER LITER,,,0.021,MILLIGRAM PER LITER,1.09,MILLIGRAM PER LITER,0.708,MILLIGRAM PER LITER,,,208.0,MILLIGRAM PER LITER
35,2014-08-11,0.069,MILLIGRAM PER LITER,0.0483,MILLIGRAM PER LITER,0.7,MILLIGRAM PER LITER,,,0.017,MILLIGRAM PER LITER,0.6,MILLIGRAM PER LITER,0.202,MILLIGRAM PER LITER,,,292.0,MILLIGRAM PER LITER
36,2014-09-09,0.17,MILLIGRAM PER LITER,0.111,MILLIGRAM PER LITER,1.43,MILLIGRAM PER LITER,,,0.023,MILLIGRAM PER LITER,0.95,MILLIGRAM PER LITER,0.591,MILLIGRAM PER LITER,,,242.0,MILLIGRAM PER LITER
37,2013-04-17,0.22,MILLIGRAM PER LITER,0.15,MILLIGRAM PER LITER,,,,,0.151,MILLIGRAM PER LITER,0.86,MILLIGRAM PER LITER,4.32,MILLIGRAM PER LITER,,,79.5,MILLIGRAM PER LITER
38,2013-05-14,0.105,MILLIGRAM PER LITER,0.0174,MILLIGRAM PER LITER,,,,,0.01,MILLIGRAM PER LITER,0.82,MILLIGRAM PER LITER,0.315,MILLIGRAM PER LITER,,,173.0,MILLIGRAM PER LITER
39,2013-06-11,0.4,MILLIGRAM PER LITER,0.184,MILLIGRAM PER LITER,,,,,0.124,MILLIGRAM PER LITER,1.06,MILLIGRAM PER LITER,6.99,MILLIGRAM PER LITER,,,99.1,MILLIGRAM PER LITER
40,2013-07-10,0.292,MILLIGRAM PER LITER,0.214,MILLIGRAM PER LITER,,,,,0.049,MILLIGRAM PER LITER,0.77,MILLIGRAM PER LITER,0.588,MILLIGRAM PER LITER,,,12.6,MILLIGRAM PER LITER
41,2013-08-19,0.14,MILLIGRAM PER LITER,0.0803,MILLIGRAM PER LITER,1.46,MILLIGRAM PER LITER,,,0.015,MILLIGRAM PER LITER,0.9,MILLIGRAM PER LITER,0.541,MILLIGRAM PER LITER,,,97.3,MILLIGRAM PER LITER
42,2013-09-24,0.22,MILLIGRAM PER LITER,0.169,MILLIGRAM PER LITER,3.6,MILLIGRAM PER LITER,,,0.042,MILLIGRAM PER LITER,2.6,MILLIGRAM PER LITER,1.79,MILLIGRAM PER LITER,,,67.3,MILLIGRAM PER LITER
43,2013-10-08,0.168,MILLIGRAM PER LITER,0.0679,MILLIGRAM PER LITER,1.2,MILLIGRAM PER LITER,,,0.012,MILLIGRAM PER LITER,1.16,MILLIGRAM PER LITER,0.103,MILLIGRAM PER LITER,,,121.0,MILLIGRAM PER LITER
44,2012-03-26,0.165,MILLIGRAM PER LITER,0.0901,MILLIGRAM PER LITER,,,,,0.032,MILLIGRAM PER LITER,1.1,MILLIGRAM PER LITER,0.588,MILLIGRAM PER LITER,,,118.0,MILLIGRAM PER LITER
