Year,1994,1994,1994,1995,1995,1995,1998,1998,2000,2000,2002,2002,2004,2004,2006,2006,2007,2009,2009,2010,2012,2012,2013,2013,2013,2014,2014,2015,2015,2015
Month,4,7,10,4,8,10,4,7,4,8,4,7,4,8,4,8,4,4,7,7,5,7,4,7,8,4,7,4,5,7
DEPTH_FROM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-61.0,,,,,,,,8.28,,,,,,,,,,,,,,,,,,,,,,
-60.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.02
-60.0,,,8.13,,8.58,7.62,,,,7.98,,7.88,,7.66,,,,,7.7,8.13,7.65,,,7.76,,7.72,7.7,8.46,,
-59.5,,,,,,,,,,,,,,,,7.4,,,,,,,7.76,,,,,,,
-59.0,,7.92,,,,,,,,,,,,,,,,,,,8.12,7.58,,,,,,,,
-53.0,,,,,,,,8.29,,,,,,,,,,,,,,,,,,,,,,
-52.0,,,8.17,,,7.66,,,,7.96,,,,7.69,,,,,7.63,8.16,,,,7.85,,7.67,,8.43,,
-51.5,,,,,,,,,,,,,,,,7.42,,,,,,,7.76,,,,,,,
-51.0,,,,,,,,,,,,,,,,,,,,,,7.41,,,,,,,,
-50.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.07
-50.0,,7.94,,,,,,,,,,,,,,,,,,,7.49,,,,,,,,,
-48.0,,8.13,,,,,,,,,,7.92,,,,,,,,,,,,,,,,,,
-47.5,,,7.76,,,,,,,,,,,,,,,,,,,,,,,,7.57,,,
-47.0,,,,,8.63,,,8.22,,,,7.83,,,,,,,,,,,,,,,,,,
-46.0,,8.27,,,7.37,,,,,7.800000000000001,,7.86,,,,,,,,,,,,,,,7.71,,,
-45.5,,,8.24,,,7.7,,,,,,,,7.18,,,,,,,,,,,,,,,,
-45.0,,,8.24,,,7.74,,,,,,,,,,,,,,,,,,,,,,,,
-43.0,,,,,,7.74,,,,7.97,,,,,,,,,,,,,,,,,,,,
-42.0,,,,,7.29,7.89,,,,,,,,6.94,,,,,,,,,,,,,7.76,,,8.12
-40.0,,,,,,,,8.25,,,,,,,,,,,,,,,,,,,,,,
-39.5,,,,,,,,,,,,,,,,,,,,,,,,,,,7.77,,,
-39.0,,8.23,,,,7.95,,8.23,,,,,,,,7.41,,,7.71,,,,,,,,,,,
-38.0,,,,,7.52,,,8.26,,7.93,,7.83,,,,,,,,,,,,,,,7.73,,,
-37.5,,,,,,,,,,,,,,7.24,,,,,,,,,,,,,,,,
-37.0,,,,,,,,,,,,7.92,,,,,,,,,,,,,,,,,,
-36.5,,,7.79,,,,,,,,,,,,,,,,,,,,,,,,,,,
-36.0,,7.98,8.26,,,,,,,,,,,,,,,,,,,,,,,,,,,
