YEAR,1983,1983,1983,1983,1983,1983,1983,1984,1984,1984,1984,1984,1984,1984,1985,1985,1985,1985,1985,1985,1985,1986,1986,1986,1986,1986,1986,1986,1987,1987,1987,1987,1987,1987,1987,1988,1988,1988,1988,1988,1988,1988,1989,1989,1989,1989,1989,1989,1989,1990,1990,1990,1990,1990,1990,1990,1991,1991,1991,1991,1991,1991,1991,1992,1992,1992,1992,1992,1992,1992,1993,1993,1993,1993,1993,1993,1993,1996,1996,1996,1996,1996,1996,1996,1997,1997,1997,1997,1997,1997,1997,1998,1998,1998,1998,1998,1998,1998,1999,1999,1999,1999,1999,1999,1999,2000,2000,2000,2000,2000,2000,2000,2001,2001,2001,2001,2001,2001,2001,2002,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017
MONTH,April    ,August   ,December ,March    ,May      ,November ,October  ,April    ,August   ,December ,March    ,May      ,November ,October  ,April    ,August   ,December ,March    ,May      ,November ,October  ,April    ,August   ,December ,March    ,May      ,November ,October  ,April    ,August   ,December ,March    ,May      ,November ,October  ,April    ,August   ,December ,March    ,May      ,November ,October  ,April    ,August   ,December ,March    ,May      ,November ,October  ,April    ,August   ,December ,March    ,May      ,November ,October  ,April    ,August   ,December ,March    ,May      ,November ,October  ,April    ,August   ,December ,March    ,May      ,November ,October  ,April    ,August   ,December ,March    ,May      ,November ,October  ,April    ,August   ,December ,March    ,May      ,November ,October  ,April    ,August   ,December ,March    ,May      ,November ,October  ,April    ,August   ,December ,March    ,May      ,November ,October  ,April    ,August   ,December ,March    ,May      ,November ,October  ,April    ,August   ,December ,March    ,May      ,November ,October  ,April    ,August   ,December ,March    ,May      ,November ,October  ,April    ,August   ,December ,March    ,May      ,November ,October  ,April    ,August   ,December ,March    ,May      ,November ,October  ,April    ,August   ,December ,March    ,May      ,November ,October  ,April    ,August   ,December ,March    ,May      ,November ,October  ,April    ,August   ,December ,March    ,May      ,November ,October  ,April    ,August   ,December ,March    ,May      ,November ,October  ,April    ,August   ,December ,March    ,May      ,November ,October  ,April    ,August   ,December ,March    ,May      ,November ,October  ,April    ,August   ,December ,March    ,May      ,November ,October  ,April    ,August   ,December ,March    ,May      ,November ,October  ,April    ,August   ,December ,March    ,May      ,November ,October  ,April    ,August   ,December ,March    ,May      ,November ,October  ,April    ,August   ,December ,March    ,May      ,November ,October  ,April    ,August   ,December ,March    ,May      ,November ,October  ,April    ,August   ,December ,March    ,May      ,November ,October  ,April    ,August   ,December ,March    ,May      ,November ,October  
SAMPLE_DEPTH_M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.913,,,,,,,,,,,,,
-61.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.891,,,,,,,,,,,,,,,,,,,,,4.311,,,,,,9.525500000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-61.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5495,,,,,,,,,,,,,,8.557,,,,,,,,,,,,,,,,,,,,,,,,,,,
-61.559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-61.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.347999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7669999999999995,,,,,,,,,,,,,,,,,,,
-61.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.356,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.178,,,,,,,,,,,,,,,,,,,,,,,,,,,4.132,,,,,,,,,,,,,,,,,,,,
-61.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.827999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.844,,,,,,,,,,,,,,,,,,,,,,,,,,
