1983,April    ,0.91,3.6
1983,April    ,4.27,3.6
1983,April    ,10.06,3.6
1983,April    ,18.9,3.5
1983,April    ,19.2,3.7
1983,April    ,29.57,3.5
1983,April    ,29.87,3.7
1983,April    ,39.93,3.7
1983,April    ,40.23,3.5
1983,April    ,48.77,3.5
1983,April    ,49.68,3.7
1983,April    ,56.39,3.5
1983,April    ,57.61,3.7
1983,August   ,0.91,22.583333333333332
1983,August   ,4.57,22.225
1983,August   ,4.88,23.25
1983,August   ,10.06,22.21666666666667
1983,August   ,17.37,15.3
1983,August   ,20.12,13.75
1983,August   ,22.25,11.7
1983,August   ,29.26,7.0
1983,August   ,29.87,5.3
1983,August   ,39.62,3.4
1983,August   ,39.93,5.75
1983,August   ,40.23,5.5
1983,August   ,49.68,3.15
1983,August   ,50.29,5.1
1983,August   ,51.21,5.2
1983,August   ,57.0,5.1
1983,August   ,58.22,4.15
1983,May      ,0.91,5.8
1983,May      ,4.88,5.8
1983,May      ,9.75,5.8
1983,May      ,20.12,5.8
1983,May      ,29.87,5.7
1983,May      ,39.62,5.7
1983,May      ,48.46,5.6
1983,May      ,55.78,5.4
1983,October  ,0.91,14.4
1983,October  ,4.88,14.25
1983,October  ,10.06,14.25
1983,October  ,20.12,13.75
1983,October  ,29.26,12.6
1983,October  ,29.87,13.4
1983,October  ,40.23,12.65
1983,October  ,49.68,12.2
1983,October  ,49.99,10.3
1983,October  ,52.12,12.0
1983,October  ,53.95,9.6
1983,October  ,55.47,10.1
1983,October  ,56.69,9.1
1984,April    ,0.91,0.8
1984,April    ,4.88,0.8
1984,April    ,9.75,1.0
1984,April    ,10.06,0.65
1984,April    ,18.9,1.0
1984,April    ,19.2,0.75
1984,April    ,29.87,0.925
1984,April    ,39.62,1.2
1984,April    ,39.93,1.0
1984,April    ,49.38,2.25
1984,April    ,56.39,3.35
1984,April    ,57.91,1.4
1984,August   ,0.91,22.8
1984,August   ,4.88,22.8
1984,August   ,7.01,22.5
1984,August   ,10.06,22.7
1984,August   ,15.85,22.5
1984,August   ,16.15,14.0
1984,August   ,16.46,16.0
1984,August   ,19.2,17.9
1984,August   ,20.73,9.1
1984,August   ,26.52,6.5
1984,August   ,28.04,7.4
1984,August   ,29.87,6.5
1984,August   ,36.88,5.5
1984,August   ,40.23,5.199999999999999
1984,August   ,49.99,5.2
1984,August   ,50.29,5.1
1984,August   ,50.9,5.1
1984,August   ,57.61,5.1
1984,August   ,58.22,4.95
1984,December ,0.91,7.6
1984,December ,4.88,7.6
1984,December ,10.06,7.6
1984,December ,20.42,7.55
1984,December ,29.87,7.6
1984,December ,30.18,7.4
1984,December ,39.93,7.45
1984,December ,49.38,7.45
1984,December ,57.61,7.5
1984,December ,57.91,7.4
1984,May      ,0.91,2.0
1984,May      ,4.88,2.0
1984,May      ,11.28,2.0
1984,May      ,20.42,2.0
1984,May      ,29.57,2.0
1984,May      ,39.62,2.0
1984,May      ,50.29,2.0
1984,May      ,57.0,2.0
1985,April    ,0.91,1.75
1985,April    ,4.88,1.75
1985,April    ,9.75,1.8
1985,April    ,10.06,1.7
1985,April    ,19.81,1.8
1985,April    ,29.87,1.8
1985,April    ,30.18,1.9
1985,April    ,40.23,1.9500000000000002
1985,April    ,49.38,1.9
1985,April    ,50.6,2.2
1985,April    ,57.91,1.9
1985,April    ,59.44,2.5
1985,August   ,0.91,21.75
1985,August   ,4.88,21.6
1985,August   ,9.45,22.0
1985,August   ,14.63,21.4
1985,August   ,17.37,21.3
1985,August   ,20.42,14.0
1985,August   ,21.34,13.3
1985,August   ,32.61,5.9
1985,August   ,33.22,6.0
1985,August   ,39.62,4.9
1985,August   ,39.93,4.7
1985,August   ,49.38,4.7
1985,August   ,49.68,4.8
1985,August   ,58.22,4.7
1985,August   ,59.13,4.8
1985,November ,0.91,10.399999999999999
1985,November ,5.18,10.2
1985,November ,9.75,10.3
1985,November ,20.12,10.3
1985,November ,30.18,10.3
1985,November ,40.54,10.45
1985,November ,49.68,10.3
1985,November ,51.21,10.5
1985,November ,59.13,10.3
1985,November ,59.74,10.2
1986,April    ,0.91,2.05
1986,April    ,4.88,1.85
1986,April    ,5.18,2.3
1986,April    ,10.06,2.3
1986,April    ,19.81,2.0
1986,April    ,20.12,2.4
1986,April    ,29.87,2.2249999999999996
1986,April    ,40.23,2.25
1986,April    ,50.9,2.25
1986,April    ,59.13,3.2
1986,April    ,60.05,2.6
1986,August   ,0.91,22.2
1986,August   ,6.4,23.0
1986,August   ,7.32,21.4
1986,August   ,11.58,22.8
1986,August   ,14.63,21.4
1986,August   ,19.51,16.0
1986,August   ,19.81,13.0
1986,August   ,29.57,8.3
1986,August   ,30.48,4.9
1986,August   ,39.93,5.0
1986,August   ,40.54,4.0
1986,August   ,50.29,4.45
1986,August   ,59.44,4.4
1987,April    ,0.91,1.8666666666666665
1987,April    ,4.88,1.8666666666666665
1987,April    ,9.75,2.9
1987,April    ,10.06,1.3
1987,April    ,19.81,1.3
1987,April    ,20.12,2.9
1987,April    ,29.57,2.9
1987,April    ,29.87,1.3
1987,April    ,30.18,1.3
1987,April    ,40.23,2.1
1987,April    ,40.54,1.3
1987,April    ,50.29,3.8
1987,April    ,50.6,1.3
1987,April    ,51.82,1.3
1987,April    ,58.83,3.9
1987,April    ,59.44,1.3
1987,April    ,60.66,1.3
1987,August   ,0.91,23.7
1987,August   ,4.88,23.8
1987,August   ,7.92,23.5
