YEAR,count,mean,std,min,25%,50%,75%,max
1983,100.0,10.065,3.779219496139382,3.0,7.5,10.0,12.0,20.0
1984,103.0,13.254368932038838,5.2175002785502915,5.5,9.95,13.2,15.350000000000001,39.0
1985,131.0,10.61374045801527,5.482037287763325,2.1,6.45,10.9,12.8,42.9
1986,89.0,10.419101123595507,3.8940186184739094,3.7,7.7,10.0,12.3,27.0
1987,113.0,7.197345132743364,2.473410751551646,2.1,4.7,8.2,9.2,12.9
1988,97.0,6.843298969072169,2.00452130697159,3.3,5.3,7.2,8.0,14.0
1989,57.0,7.071929824561404,2.0629170042481206,4.5,6.0,6.7,7.6,14.9
1990,94.0,7.027659574468083,3.625726601419455,3.7,5.324999999999999,6.35,6.975,34.4
1991,94.0,7.7436170212766,4.127238617337061,2.3,4.324999999999999,6.1,11.2,22.6
1992,38.0,10.944736842105263,0.919958097876864,9.7,10.3,10.9,11.3,15.2
1993,38.0,12.739473684210532,6.225602737505398,9.1,10.6,10.9,12.9,47.6
1996,87.0,9.63822988505747,4.824292604370601,0.318,5.9085,9.852,12.114999999999998,27.128
1997,83.0,9.09934939759036,4.078551289408409,0.094,5.4725,10.332,11.977,20.0
1998,59.0,6.720474576271185,2.5199735791987443,0.5870000000000001,4.75,6.2,9.3215,10.63
1999,61.0,7.838154098360653,4.025530460016989,0.5996,4.1243,6.6708,11.6,17.5
2000,57.0,4.978491228070174,1.203794968345746,3.016,3.906,4.902,6.082000000000001,7.278
2001,60.0,6.4342968833333325,2.776018593191098,0.5093,4.2319214999999994,5.4485475,9.49487,12.115103999999999
2002,83.0,9.38759721686747,3.916972773705339,2.011082,5.335568500000001,11.367892999999999,12.5536385,13.952895000000002
2003,79.0,7.629496936708861,1.9542625238583842,3.531792,6.3044455,7.642728999999999,9.2258165,11.036864
2004,52.0,7.5760701730769195,3.4977748839325558,0.315425,4.239944250000001,7.3584685,10.893714500000002,12.153934
2005,68.0,6.487220588235293,2.146031734235521,2.498,4.64625,7.08,8.272499999999999,10.01
2006,51.0,8.01729411764706,3.27127792334505,0.243,4.6635,9.585,10.3515,12.782
2007,54.0,9.42996296296296,5.374195430657901,2.5180000000000002,4.669,5.623,13.9635,20.869
2008,55.0,6.948836363636363,2.4381650793596306,0.331,5.0745000000000005,6.914,9.072,10.321
2009,54.0,6.454351851851852,2.468361385710813,0.8220000000000001,4.2985,5.8125,8.34025,10.423
2010,57.0,6.871964912280704,3.2996002191007503,0.032,3.992,5.5520000000000005,9.976,13.728
2011,52.0,7.073673076923076,6.665382905968905,3.138,4.765,5.631,6.305750000000001,36.336
2012,53.0,6.845169811320753,3.132376633557295,0.595,4.223,6.325,9.955,10.935
2013,56.0,9.194803571428567,3.7510805590808483,0.40700000000000003,6.651749999999999,8.296,11.88425,17.94
2014,53.0,7.410283018867924,2.7737090925146437,0.41700000000000004,5.382000000000001,7.462999999999999,9.435,14.684000000000001
2015,55.0,6.239527272727275,1.480304221167185,0.978,5.4505,6.056,7.181,9.52
2016,56.0,8.354178571428571,3.7114511697871344,0.504,5.65975,8.7595,10.476750000000003,16.048
2017,26.0,8.151769230769231,0.9104155669887156,6.233,7.966000000000001,8.26,8.87675,9.238999999999999
