SAMPLING_DATE,SAMPLE_DEPTH_M,VALUE_1
2001/08/05 07:30,0.0,25.0
2003/08/09 04:07,0.0,0.0
2006/08/12 08:59,0.0,0.0
2004/04/10 21:17,0.0,0.8
2004/08/07 03:30,0.0,20.5
2004/08/07 03:30,0.0,0.0
2005/04/08 07:50,0.0,0.0
2014/04/14 16:38,0.0,0.0
2012/08/11 04:45,0.0,0.0
2003/04/18 23:46,0.0,1.11
2005/04/12 01:30,0.0,0.0
2009/08/19 17:23,0.0,0.0
2009/04/16 09:31,0.0,0.0
2005/08/11 04:45,0.0,0.0
2008/08/11 03:05,0.0,0.0
2008/04/23 04:40,0.0,0.0
2007/04/09 19:17,0.0,0.0
2007/04/09 19:17,0.0,0.0
2006/04/09 17:30,0.0,0.0
2010/04/10 11:22,0.0,1.8
2003/04/15 07:43,0.0,0.65
2006/08/12 08:59,0.0,0.0
2002/04/08 12:26,0.0,1.8
1988/08/18 13:45,0.91,25.1
1984/08/06 19:04,0.91,22.8
1984/05/01 23:32,0.91,2.0
1984/04/20 04:35,0.91,0.95
1983/10/21 15:00,0.91,14.4
1990/04/18 15:05,0.91,2.3
1983/08/23 01:35,0.91,20.2
1990/08/10 04:25,0.91,22.5
1983/08/09 04:17,0.91,23.25
1983/08/07 21:55,0.91,24.3
1983/05/09 23:18,0.91,5.8
1983/04/27 08:15,0.91,3.7
1983/04/26 02:10,0.91,3.5
1989/08/14 16:30,0.91,22.3
1990/08/16 01:34,0.91,22.2
1993/04/16 16:05,0.91,1.1
1993/04/11 07:25,0.91,0.54
1992/04/09 11:15,0.91,1.0
1992/04/03 20:00,0.91,0.65
1991/08/15 07:00,0.91,22.6
1991/04/07 01:40,0.91,1.8
1991/04/14 10:42,0.91,2.65
1991/08/09 13:00,0.91,21.6
1984/08/08 01:20,0.91,22.6
1984/08/20 14:45,0.91,23.0
1984/04/18 22:00,0.91,0.65
1984/12/05 23:35,0.91,7.6
1988/08/12 19:10,0.91,26.0
1988/04/16 02:05,0.91,1.2
1988/04/09 21:20,0.91,1.2
1987/08/16 11:35,0.91,23.5
1987/08/01 13:45,0.91,23.9
1987/04/19 16:55,0.91,2.9
1987/04/06 02:55,0.91,1.4
1987/04/03 21:25,0.91,1.3
