DEPTH_FROM,1994-04-27 02:58:00,1995-04-25 15:53:00,1998-04-21 09:39:00,2000-04-20 10:26:00,2002-04-16 08:06:00,2004-04-21 06:19:00,2006-04-26 09:09:00,2007-04-17 06:35:00,2009-04-23 18:45:00,2012-05-03 16:49:00,2013-04-22 23:12:00,2014-04-29 06:10:00,2015-04-28 06:58:00
-999.0,,,,,,0.6,,0.9,,,,,
-998.0,,,,,,0.2,,0.5,,,,,
-60.0,,,,,,,,,,6.8999999999999995,,4.0,1.6
-59.5,,,,,,,,,,,7.9,,
-52.0,,,,,,,,,,,,4.1000000000000005,1.3
-51.5,,,,,,,,,,,8.1,,
-50.0,,,,,,,,,,4.2,,,
-25.0,,,,,,,,,,1.6,7.7,4.5,1.1
-10.0,,,,,,,,,,1.1,8.8,4.8,1.3
-1.0,1.3,6.5,2.3,1.7,6.2,6.1000000000000005,8.7,8.05,4.0,1.0,9.0,4.7,1.4
