YEAR,1983,1983,1984,1984,1985,1985,1986,1986,1987,1987,1988,1988,1989,1989,1990,1990,1991,1991,1992,1992,1996,1996,2016,2016,2017,2017
MONTH,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   
SAMPLE_DEPTH_M,,,,,,,,,,,,,,,,,,,,,,,,,,
-39.0,,,,,,,,,,,,,,,,,,,,,6.7,,,,,
-38.9,,,,,,,,,,,,,,,,,,,,,,,,,3.39,
-38.71,,,,,,,,,,,1.2,,,1.5,,,,,,,,,,,,
-38.1,,,,,,2.9,,,,,,,,,,,,,,,,,,,,
-37.8,,,,,,,,,,,,,,,,,3.7,,7.1,,,,,,,
-37.49,,,,,,,,,,,,,,,,,2.0,0.8,,,,,,,,
-36.88,,,,2.6,,,,,,,,,,,,,,,,,,,,,,
-36.58,,,,,,,,,,,,,,,,,,,6.4,,,,,,,
-36.27,,,,1.9,,,,,,,,,,,,,,,,,,,,,,
-36.0,,,,,,,,,,,,,,,,,,,,,,,,0.675,,
-35.9,,,,,,,,,,,,,,,,,,,,,,,5.03,,,
-35.66,,,,,,1.9,,,,1.1,,,,,,,,,,,,,,,,
-35.36,,,,,,,,2.5,,,,,,0.8,,6.4,,,,,,,,,,
-35.05,,,,,,,,,2.3,,,,,,,,,,,,,,,,,
-35.0,,,,,,,,,,,,,,,,,,,,,7.8,,,,,
-34.8,,,,,,,,,,,,,,,,,,,,,,,,,4.53,
-34.44,,,,,2.3,3.4,,,,,,,,,,1.8,,,,,,,,,,
-34.3,,,,,,,,,,,,,,,,,,,,,,,,0.631,,
-34.14,,4.0,,,,,2.3499999999999996,1.0999999999999999,,,,,,0.8,,6.1,3.2,0.5,5.7,,,,,,,
-34.0,,,,,,,,,,,,,,,,,,,,,7.9,,,,,
-33.83,,,,,,,,,,,,,,,,,,,6.5,,,,,,,
-33.53,2.0,0.5,3.9,,2.3,2.4,,,1.1,,0.7,1.75,,1.5,,3.8,4.6,,,,,,,,,
-33.22,,,,0.2,,1.5,,,1.6,,,,,,,,,0.6,,,,,,,,
-32.92,,,5.1,3.5,,,,,,1.1,,,,,,1.7,,,,,,,,,,
-32.61,,,,,,1.6,,,,,,1.45,,,0.8,,,0.8,,,,,,,,
-32.31,,,,,,,,,,,0.9,,,,,,,,,,,,,,,
-32.2,,,,,,,,,,,,,,,,,,,,,,,1.47,,,
-32.0,2.0,,,,2.8,,,,,,,2.0,,1.2,,,,,,,7.1,,,,,
-31.9,,,,,,,,,,,,,,,,,,,,,,,,0.6920000000000001,,
-31.7,,,,,2.9,,3.1666666666666665,,1.2,,,,,,,3.25,,,,,,,,,,
-31.5,,,,,,,,,,,,,,,,,,,,,,,,,1.23,
-31.39,,,,,2.4,2.3,4.2,0.95,1.4,,,1.4,,1.5,0.4,2.8,,,,,,,,,,
-31.09,,,,,,,,,0.75,0.5,0.35,1.55,,1.0,2.8,1.6,,0.6,7.05,,,,,,,
-31.0,,,,,,,,,,,,,,,,,,,,,6.0,,,,,
-30.78,,,,,1.6,,,2.1,1.1,,,,,,,,,,,,,,,,,
-30.48,,0.5,,1.6,,2.7,,0.4,,1.35,1.2,-0.1,,,1.5,3.6,2.25,0.5,,,,,,,,
-30.18,,,,,4.2,1.7,,,0.6,1.2,0.8,,,,,,3.0,,7.0,,,,,,,
-30.1,,,,,,,,,,,,,,,,,,,,,,,,,5.51,
-30.0,,,,,,,,,,,,,,,,,,,,,6.4,,5.92,,,
-29.87,3.0,0.0,2.15,1.3,4.3,,4.7,,2.2,,0.9,,,,0.6,,,,,,,,,,,
-29.57,3.0,,,,,,,0.6,0.2,,,2.6,,0.9500000000000001,2.4,,2.3,,,,,,,,,
-29.26,,0.0,,,,,,,,,,,,1.5,,,,,,,,,,,,
-28.65,,,,,,,,1.6,,,,,,,,,,,,,,,,,,
-28.35,,,,,,,,,,,,,,0.0,,,,0.6,,,,,,,,
-28.1,,,,,,,,,,,,,,,,,,,,,,,,0.8009999999999999,,
-28.04,,,,0.55,,,,,,,,,,,,,,,,,,,,,,
-27.43,,,,,3.0,2.5,,0.8,,,,0.0,,0.0,,,,,,,,,,,,
-27.0,,,,,,,,,,,,,,,,,,,,,,,,1.01,,
-26.82,,,,,,,,,,,,0.3,,,,,,0.4,,,,,,,,
-26.52,,,,0.3,,,,,,,,,,,,,,,,,,,,,,
-26.21,,,,,,,,,,,,,,,,-0.8,,0.5,,,,,,,,
-25.91,,,,,,3.45,,,,1.1,,,,0.8,,,,,,,,,,,,
-25.5,,,,,,,,,,,,,,,,,,,,,,,,1.3,,
-25.3,,,,,,,,,,,,,,,,,2.3,,,,,,,,,
-25.0,,,,,,,,,,,,,,,,,,,,,7.45,,,,,
-24.99,,,,0.8,,,,,,,,,,,,0.1,,,,,,,,,,
-24.69,,,,,,,,,,,,1.6,,,,,,,,,,,,,,
-24.6,,,,,,,,,,,,,,,,,,,,,,,4.115,,,
