Year,1995,1995,1995,1998,1998,2000,2002,2002,2004,2004,2006,2006,2009,2010
Month,4,8,10,4,7,8,4,7,4,8,4,8,4,7
DEPTH_FROM,,,,,,,,,,,,,,
-34.5,,-26.756666666666664,8.713333333333333,,,8.05,,10.067499999999999,14.41,0.0,14.34,9.223333333333334,14.173333333333332,9.4625
-34.0,,-26.773333333333337,8.85,,,8.06,,10.06,14.41,0.0,14.332500000000001,9.153333333333332,14.173333333333332,9.4575
-33.5,,9.28,8.896666666666667,,,8.0,,9.911999999999999,14.39,0.0,14.335,9.2575,14.2075,9.442499999999999
-33.0,,9.216666666666667,8.2225,,,7.94,,9.889999999999999,14.37,0.0,14.404000000000002,9.129999999999999,14.2975,11.48
-32.5,,9.206666666666665,9.032499999999999,,,7.89,,9.794,14.615,0.0,14.398,9.102500000000001,14.2875,9.528000000000002
-32.0,,9.243333333333332,9.0275,,,7.85,,9.772,14.625,0.0,14.404,9.015,14.285,9.56
-31.5,,9.28,9.025,,,7.73,,9.736,14.67,0.0,14.407999999999998,9.045000000000002,14.280000000000001,9.492
-31.0,,9.316666666666665,9.025,,,7.61,,9.712,14.58,0.0,14.410000000000002,9.069999999999999,14.270000000000001,9.548000000000002
-30.5,,9.333333333333334,9.025,,,7.48,,9.684000000000001,14.615,0.0,14.406,9.055,14.2625,9.494
-30.0,,9.286666666666667,9.0175,,,7.33,,9.654,14.585,0.0,14.406,9.0225,14.275,9.434
-29.5,,9.256666666666668,9.0125,,,7.17,,9.624,14.59,0.0,14.420000000000002,8.9825,14.28,9.47
-29.0,,9.23,9.0025,,,7.06,,9.572,14.585,0.0,14.424000000000001,8.834999999999999,14.2775,9.4
-28.5,,9.183333333333334,9.0075,,,6.98,,9.526,14.535,0.0,14.422,8.67,14.2775,9.372
-28.0,,9.106666666666667,9.0175,,,6.87,,9.482,14.545,0.0,14.434000000000001,8.59,14.27,9.338
-27.5,,9.043333333333335,9.0275,,,6.78,,9.468,14.58,0.0,14.442000000000002,8.3125,14.2675,9.244
-27.0,,9.003333333333332,9.05,,,6.67,,9.437999999999999,14.58,0.0,14.441999999999998,7.2525,14.265,9.158000000000001
-26.5,,8.976666666666667,9.0275,,,6.55,,9.414000000000001,14.61,0.0,14.437999999999999,7.162499999999999,14.2725,9.264
-26.0,,8.96,9.057500000000001,,,6.45,,9.402000000000001,14.555,0.0,14.441999999999998,7.135,14.2675,9.113999999999999
-25.5,,8.853333333333333,9.084999999999999,,,6.38,,9.364,14.54,0.0,14.451999999999998,7.0825,14.265,8.987999999999998
-25.0,,8.733333333333334,9.5075,,,6.31,,9.31,14.58,0.0,14.448000000000002,7.390000000000001,14.262500000000001,8.914
-24.5,,8.676666666666668,9.5275,,,6.28,,9.242,14.594999999999999,0.0,14.442000000000002,7.4575,14.265,8.81
-24.0,,8.5,9.46,,,6.17,,9.132000000000001,14.565,0.0,14.439999999999998,7.15,14.2575,8.703999999999999
-23.5,,8.103333333333333,9.43,,,6.08,,9.116,14.515,0.0,14.442000000000002,7.035,14.2575,8.472000000000001
-23.0,,7.603333333333334,9.43,,,6.08,,9.155999999999999,14.605,0.0,14.441999999999998,7.5625,14.2525,8.334
-22.5,,7.3999999999999995,9.4325,,,6.0,,9.032,14.595,0.0,14.448000000000002,7.7250000000000005,14.2525,8.225999999999999
-22.0,,7.073333333333333,9.4125,,,5.98,,9.168,14.49,0.0,14.448000000000002,7.8925,14.25,8.2
-21.5,,6.833333333333333,9.4225,,,5.97,,9.145999999999999,14.455,0.0,14.435999999999998,8.0975,14.247499999999999,7.989999999999999
