YEAR,1983,1983,1983,1983,1984,1984,1984,1984,1985,1985,1985,1986,1986,1987,1987,1988,1988,1989,1990,1990,1991,1991,1992,1993,1996,1996,1997,1997,1998,1998,1999,1999,2000,2000,2001,2001,2002,2002,2003,2003,2004,2004,2005,2005,2006,2006,2007,2007,2008,2008,2009,2009,2010,2010,2011,2011,2012,2012,2013,2013,2014,2014,2015,2015
MONTH,April    ,August   ,May      ,October  ,April    ,August   ,December ,May      ,April    ,August   ,November ,April    ,August   ,April    ,August   ,April    ,August   ,August   ,April    ,August   ,April    ,August   ,April    ,April    ,April    ,August   ,April    ,August   ,April    ,August   ,August   ,March    ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   
SAMPLE_DEPTH_M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.053,,,,,,,,,,,,,
-61.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11900000000000001,,,,,,0.083,1.8690000000000002,,,,,,,,,,,
-61.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.57,,,,,,,,,,0.808,,,,0.52,,,
-61.559,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-61.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.566666667,,,,,,,,,0.042,,,,,,,,,,0.10400000000000001
-61.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,0.0672,,,,,,,2.89333333333333,
-61.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.787,,,,,,,,,,,,,0.122,,
