Year,1994,1994,1994,1995,1995,1995,1998,1998,2000,2000,2002,2002,2004,2004,2006,2006,2007,2009,2009,2010,2012,2012
Month,4,7,10,4,8,10,4,7,4,8,4,7,4,8,4,8,4,4,7,7,5,7
DEPTH_FROM,,,,,,,,,,,,,,,,,,,,,,
-999.0,0.0007,0.0008,0.0009,0.00115,0.0002,0.0002,,0.0003,0.0016,0.0008,,,0.005,,0.0005,,0.0007,,,,0.00075,
-998.0,0.0007,,0.0002,0.00030000000000000003,,0.0009,,0.0005,0.0002,0.0002,,,0.0005,,0.0005,,0.0009,,0.0005,0.0008,0.0005,0.0508
-61.0,,,,,,,,0.0051,,,,,,,,,,,,,,
-60.0,,,0.0073,,0.0049,0.0039,,,,0.0081,,0.0081,,0.0009,,,,,0.0049,0.0081,0.0105,
-59.5,,,,,,,,,,,,,,,,0.0101,,,,,,
-59.0,,0.0096,,,,,,,,,,,,,,,,,,,0.0105,0.0053
-53.0,,,,,,,,0.0059,,,,,,,,,,,,,,
-52.0,,,0.004,,,0.0037,,,,0.0065,,,,0.0102,,,,,0.0046,0.0081,,
-51.5,,,,,,,,,,,,,,,,0.0068,,,,,,
-51.0,,,,,,,,,,,,,,,,,,,,,,0.0486
-50.0,,0.0051,,,,,,,,,,,,,,,,,,,0.0092,
-48.0,,0.0041,,,,,,,,,,0.0082,,,,,,,,,,
-47.5,,,0.0047,,,,,,,,,,,,,,,,,,,
-47.0,,,,,0.0047,,,0.0042,,,,0.0092,,,,,,,,,,
-46.0,,0.0055,,,0.0045,,,,,0.04865,,0.0066,,,,,,,,,,
-45.5,,,0.0041,,,0.0049,,,,,,,,0.0118,,,,,,,,
-45.0,,,0.0041,,,0.0041,,,,,,,,,,,,,,,,
-43.0,,,,,,0.0047,,,,0.0058,,,,,,,,,,,,
-42.0,,,,,0.0045,0.0058,,,,,,,,0.0047,,,,,,,,
-40.0,,,,,,,,0.0037,,,,,,,,,,,,,,
-39.0,,0.0056,,,,0.0058,,0.0037,,,,,,,,0.0077,,,0.0055,,,
-38.0,,,,,0.0049,,,0.0034,,0.0046,,0.0067,,,,,,,,,,
-37.5,,,,,,,,,,,,,,0.0078,,,,,,,,
-37.0,,,,,,,,,,,,0.0068,,,,,,,,,,
-36.5,,,0.0039,,,,,,,,,,,,,,,,,,,
-36.0,,0.0047,0.0043,,,,,,,,,,,,,,,,,,,
-35.5,,,,,,0.006,,,,,,,,,,,,,,,,
-35.0,,0.0066,,,,,,,,,,,,0.005,,,,,,,,
-34.5,,,,,,,,0.0044,,,,,,,,,,,,,,
-34.0,,,0.0052,,0.0057,,,,,0.0053,,0.005,,,,,,,,,,
-33.0,,,,,0.0039,0.0069,,,,,,,,0.0062,,,,,,,,
-32.5,,,,,,,,,,0.0051,,,,,,,,,,,,
-32.0,,0.004,0.0058,,0.0069,,,0.0055,,0.0053,,,,,,,,,,,,
-31.5,,,,,,0.0117,,,,,,,,,,,,,,,,
-31.0,,,,,,0.0069,,0.0035,,,,0.0058,,0.0005,,0.0093,,,0.0098,0.0051,0.0069,
-30.0,,0.0044,,,,,,0.0081,,,,,,0.0076,,,,,,,,
-29.6,,,,,,,,,,,,,,,,,,,,,,0.0296
-29.2,,,,,,,,,,0.0049,,,,,,,,,,,,
-29.0,,,,,,0.0106,,,,0.0054,,0.0059,,,,,,,,,,
-28.0,,,0.0056,,0.0054,,,,,,,0.005866666666666666,,,,,,,,0.0094,,
-27.0,,,,,0.0061,,,0.00445,,,,,,,,,,,0.0087,,,
-26.5,,,,,0.0077,0.0089,,,,,,,,,,,,,,,,
-26.2,,,,,,,,,,0.0054,,,,,,,,,,,,
-26.0,,0.005,,,,,,0.0051,,,,0.006,,,,0.008,,,,,,
-25.0,,,,,0.00685,0.0114,,,,,,,,0.0082,,,,,,,0.0087,
-24.0,,,,,,0.0387,,,,0.0054,,,,0.00685,,,,,,,,
-23.5,,,,,0.0068,,,,,,,,,,,,,,,,,
-23.0,,,,,,,,,,,,0.0055,,0.00685,,,,,0.0067,,,
-22.5,,0.011300000000000001,,,,,,0.0053,,,,,,,,,,,,,,0.0312
-22.0,,0.0059,,,,,,0.0061,,0.0067,,,,0.006500000000000001,,,,,,,,
-21.5,,,,,0.0054,,,,,0.0079,,,,,,,,,,,,
-21.0,,0.0053,0.006,,0.0065,,,0.0057,,,,,,0.0072,,0.007,,,0.0051,,,
-20.5,,,,,,,,0.0063,,0.006,,,,,,,,,,,,
-20.0,,0.0058,0.0062,,,,,,,,,0.0094,,0.0073,,0.0146,,,,0.012,,
-19.0,,,,,,,,,,0.0462,,0.009,,0.0059,,,,,0.0129,0.0146,,
-18.0,,,,,0.0062,,,,,,,,,,,,,,,,,
-17.5,,,,,0.0051,,,0.0057,,,,,,,,,,,,,,
-17.0,,,,,,,,,,0.00955,,0.0079,,,,,,,,,,
-16.5,,,,,,,,,,,,,,,,,,,,,,0.0512
-16.0,,,,,0.0047,,,,,0.00975,,,,0.0057,,,,,,,,
-15.0,,0.005350000000000001,,,,,,0.0071,,,,0.0172,,,,0.002,,,,0.060950000000000004,,
-14.5,,,,,0.0059,,,,,,,,,,,,,,,,,
-14.0,,,,,,,,0.0044,,,,,,,,,,,,,,
-13.0,,,,,0.0052,,,,,,,,,,,,,,,,,
-12.0,,,,,,,,0.0062,,,,0.0072,,,,,,,,,,
-11.0,,,,,,,,0.0067,,,,,,,,,,,,,,
-10.0,,0.0075,,,,0.0118,,,,,,0.0085,,0.0077,,,,,,,0.010100000000000001,
-9.5,,,,,,,,,,,,,,,,,,,0.0062,,,
-9.0,,,,,,,,,,,,0.0068,,,,,,,,,,
-8.5,,0.0057,,,,,,,,,,,,,,,,,,,,
-3.4,,,0.0106,,,,,,,,,,,,,,,,,,,
-1.0,0.010133333333333333,0.009714285714285715,0.022157142857142854,0.009942857142857142,0.005183333333333332,0.00814,0.00964,0.006083333333333333,0.00545,0.00882,0.013059999999999999,0.007679999999999999,0.013366666666666667,0.0059,0.013133333333333335,0.00608,0.01785,0.010225,0.006216666666666666,0.00675,0.009999999999999998,0.010849999999999999
