YEAR,1983,1983,1984,1984,1985,1985,1986,1986,1987,1987,1988,1988,1989,1989,1990,1990,1991,1991,1992,1992,1993,1993,1998,1998,2001,2001,2002,2002,2003,2003,2004,2004,2005,2005,2006,2006,2007,2007,2008,2008,2009,2009,2010,2010,2011,2011,2012,2012,2013,2013,2014,2014,2015,2015,2016,2016,2017,2017,2018,2018
MONTH,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   
SAMPLE_DEPTH_M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,,,,,,,,,,,,,,3.2,,,,,
-61.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,,,,,,5.1,1.7,,,,,,,,,,,,,,,,,
-61.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,3.7,,,,1.3,,,,,,,,,
-61.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,,,,,,,,,5.8,,,,,,,,,,5.7,,,,,,
-61.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,,,,,,,,4.7,,,,,,,1.4,,,,,,,
-61.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,,,,,,,,,,,,,4.6,,,,,,,,
-61.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7,,,,,,,,,,
-61.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,,,,,,,,,,,5.5,,,,
-61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.11,5.2,,,,,,,,,,,,,,,,,,5.6,,,,,,,,,,,,
-60.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,
-60.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-60.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,0.9,
-60.66,,,,,,,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-60.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,,,,,,,,,,,,,,,,,2.4,,,
-60.35,,,,,,,,,,,,5.0,,,2.4,,,,,,0.8400000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-60.3,,,,,,,,,,,,,,,,,,,,,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-60.05,,,,,,,2.6,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-59.44,,,,,2.5,,,4.4,1.3,,,,,,,6.1,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-59.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-59.13,,,,,,4.8,3.2,,,4.9,2.0,,,,,6.2,,5.3,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-58.83,,,,,,,,,3.9,,2.4,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-58.22,,4.15,,4.95,,4.7,,,,,,,,4.3,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-58.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
-58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-57.91,,,1.4,,1.9,,,,,5.1,,4.9,,,,,3.45,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-57.61,3.7,,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
