1983,April    ,12.846913580246916
1984,April    ,15.635064935064934
1985,April    ,14.479432624113478
1986,April    ,12.922794117647053
1987,April    ,14.38017241379309
1988,April    ,9.897122302158271
1990,April    ,8.742537313432836
1991,April    ,16.154411764705884
1992,April    ,11.10882352941176
1993,April    ,15.797794117647058
1996,April    ,15.427187499999999
1997,April    ,20.56597536945812
1998,April    ,13.611076923076922
2000,April    ,9.682932038834947
2001,April    ,14.652083898148142
2002,April    ,18.668217955000003
2003,April    ,26.979619490196075
2004,April    ,12.063537239583338
2005,April    ,13.804671532846713
2006,April    ,23.5717238095238
2007,April    ,21.661317757009346
2008,April    ,18.483897196261676
2009,April    ,30.959333333333355
2010,April    ,13.273518867924533
2011,April    ,18.395425742574265
2012,April    ,11.599137254901963
2013,April    ,22.205752475247518
2014,April    ,12.463235294117649
2015,April    ,11.129198019801978
2016,April    ,17.703880000000005
2017,April    ,21.74769587628866
