YEAR,2000,2000,2001,2001,2002,2002,2003,2003,2004,2004,2005,2005,2006,2006,2007,2007,2008,2008,2009,2009,2010,2010,2011,2011,2012,2012,2013,2013,2014,2014,2015,2015,2016,2016,2017
MONTH,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    
SAMPLE_DEPTH_M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-62.0,,,,,,,,,,,,,,,,,,,0.237,,,,,,,,,,,,,,0.218,,
-61.8,,,,,,,,,,,,,,0.32299999999999995,,,,,,0.275,0.1895,,,,,,,,,,,,,,
-61.7,,,,,,,,,,,,,,,0.268,,,,,,,,,,0.2375,,,,0.165,,,,,,
-61.5,,,,,,,,,,,,,0.295,,,,,,,,,0.10400000000000001,,,,,,,,,,0.23199999999999998,,,
-61.4,,,,,,,,,,,,,,,,0.276,,,,,,,,0.185,,,,,,,0.155,,,,
-61.3,,,,,,,,,,,,,,,,,0.244,,,,,,,,,,,,,0.203,,,,,
-61.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24100000000000002,,,,,,,
-61.1,,,,,,,,,,,,,,,,,,,,,,,0.184,,,,,,,,,,,0.24,
-61.0,,,,,,,0.243094,0.260402,,,,,,,,,,,,,,,,,,0.326,,,,,,,,,
-60.9,,,,,,,,,,,0.2795,,,,,,,,,,,,,,,,0.20600000000000002,,,,,,,,
-60.8,,,,,,,0.25385,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-60.7,,,,,,,,,,,,0.266,,,,,,,,,,,,,,,,,,,,,,,
-60.4,,,,,,,,,,,,,,,,,,0.252,,,,,,,,,,,,,,,,,0.23199999999999998
-60.3,,,0.21719899999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-60.095,,0.228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-60.0,0.21400000000000002,,,,,,,,0.29920399999999997,0.27737399999999995,,,,,,,,,,,,,,,,,,,,,,,,,
-59.4,,,,,,0.32108600000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-58.1,,,,,,,,,,,0.2975,,,,,,,,,,,,,,,,,,,,,,,,
-58.0,,,,,0.276346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-57.6,,,,0.23111199999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-53.3,,,,,,,,,,,0.278,,,,,,,,,,,,,,,,,,,,,,,,
-53.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16699999999999998,0.19899999999999998,,,,,
-53.0,,,,,,,,,,,,0.262,,,,,,,0.239,,,,,,,,,,,,,,0.209,,
-52.9,,,,,,,,,,,,,,0.326,,,,,,,0.19,,,,,,0.20600000000000002,,,,,,,,
-52.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.165,,,,
-52.7,,,,,,,,,,,,,,,,,,,,,,,,0.182,0.237,,,,,,,,,,
-52.6,,,,,,,,,,,,,0.295,,0.267,,,,,,,,,,,,,,,,,0.231,,,
-52.5,,,,,,,,,,,,,,,,,0.24,0.254,,,,,,,,,,,,,,,,,
-52.4,,,,,,,,,,,0.3,,,,,,,,,0.27699999999999997,,,,,,,,,,,,,,,
-52.3,,,,,,,,,,,,,,,,,,,,,,0.2535,,,,,,0.24100000000000002,,,,,,,
-52.2,,,,,,,,,,,,,,,,,,,,,,,0.177,,,0.324,,,,,,,,,
-52.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23
-52.0,0.214,,,,,,0.24114499999999997,0.258662,0.291126,,,,,,,0.276,,,,,,,,,,,,,,,,,,0.24100000000000002,
-51.8,,,,,,,0.263361,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-51.3,,,0.215252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-50.97,,0.22399999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-50.0,,,,,0.276518,0.316684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-49.0,,,,,,,,,,0.277754,,,,,,,,,,,,,,,,,,,,,,,,,
-48.6,,,,,,,,,,,,,,,,,,,0.20800000000000002,,,,,,,0.178,,,,,,,,,
-48.5,,,,,,,,,,,,,,,,,,,,,,,,,0.23049999999999998,,,,,,,,,,
-48.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.138,0.19399999999999998,,,,,
-48.3,,,,,,,,,,,,,,,,,,,,0.278,,,,,,,,,,,,,,,
-48.2,,,,,,,,,,,,0.255,,0.364,,,,,,,,,,,,,,,,,,,0.16399999999999998,,
-48.1,,,,,,,,,,,,,,,,0.268,,,,,,,,0.183,,,0.207,,,,0.13,,,,
-48.0,0.17300000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-47.9,,,,,,,,,,,,,,,,,,,,,,,0.149,,,,,,,,,0.22899999999999998,,,
-47.8,,,,,,,,0.254309,,,,,,,0.278,,0.245,,,,,0.26,,,,,,,,,,,,,0.217
-47.602,,0.214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-47.6,,,,,,,,,,,,,,,,,,,,,0.18899999999999997,,,,,,,,,,,,,,
-47.5,,,,,,,,,,,0.273,,,,,,,,,,,,,,,,,,,,,,,,
-47.3,,,,,,,0.26233,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-47.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.244,,,,,,,
-47.1,,,,,,,,,,,,,0.295,,,,,,,,,,,,,,,,,,,,,,
-46.9,,,,,,,0.26750999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-46.6,,,0.241204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-46.5,,,,,,,,,0.306689,,,,,,,,,0.271,,,,,,,,,,,,,,,,,
-46.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,
-46.0,,,,,,0.311001,,,,0.277592,,,,,,,,,,,,,,,,,,,,,,,,,
-45.4,,,,,,,,,,,,,,,,,,,,0.27699999999999997,,,,,,,,,,,,,,,
-45.2,,,,,,,,,,,,,,,,,,,0.193,,,,,0.18100000000000002,,,,,,,,,,,
-45.0,,,,,0.274754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-44.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16399999999999998,,
-44.7,,,,,,,,,,,,0.257,,,,,,,,,,,,,,,0.201,,,,,,,,
-44.6,,,,,,,,,,,,,,,0.272,,,,,,0.183,,,,,,,,,,0.172,0.22399999999999998,,,
-44.5,,,,,0.26602800000000004,,,,,,,,,,,,,,,,,,,,0.23,,,,,,,,,,
-44.3,,,,,,,,,,,0.2845,,0.302,0.312,,,,,,,,,0.162,0.18,,,,,,,,,,,
-44.2,,,,,,,,,,,,,,,,,,0.285,,,,,,,,,,,0.16799999999999998,,,,,,
-44.1,,,,,,,,,,,,,,,,,0.231,,,,,,,,,,,,,,,,,,
-44.0,,,,0.22795100000000001,,,,,,,,,,,,,,,,,,0.141,,,,0.33,,0.237,,,,,,,
-43.9,,,,,,,,,,,,,,,,0.261,,,,,,,,,,,,,,0.28800000000000003,,,,,
-43.8,,,,,,0.165007,,0.245821,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21899999999999997
-43.7,,,0.224176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-43.5,,,,,,,0.240598,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-43.456,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-43.1,,,,,,0.30417,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.215,
-43.0,0.16399999999999998,,,,,,,,,0.268529,,,,,,,,,,,,,,,,,,,,,,,,,
-42.1,,,,,,,,,,,,,,,,,,,,,,0.261,,,,,,,,,,,,,
-42.0,,,,,0.254438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-41.2,,,,0.229618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-41.0,,,,,0.266383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-40.3,,,,,,,,,,,,,,0.318,,,,0.2525,,,,,,,,,,,,,,,,,
-40.2,,,,,,,,,,,,,,0.361,,,,,,,,,,0.184,,,,,,,,,,,0.23
-40.1,,,,,,,,,,,0.297,,,,,,,,,,,,0.17,,0.24100000000000002,,,,,,,,0.207,,
-40.0,0.192,,0.21483200000000002,,0.2769975,,0.247587,0.251732,0.289078,0.277984,,0.259,0.297,,0.264,0.276,,,0.24100000000000002,,0.19,,,,,0.32,0.20600000000000002,,0.174,0.193,0.16,0.226,,0.16,
-39.9,,,,,,,,,,,,,,,,,0.23800000000000002,,,,,0.16399999999999998,,,,,,0.2415,,,,,,,
-39.8,,,,,,,,,,,0.28,,,,,,,,,0.27899999999999997,,,,,,,,,,,,,,,
-39.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.138,,,,0.163,,
-39.6,,,,,,,,,,,,,,,,,,,,,,,,,0.22699999999999998,,,,,,0.132,,,,
-39.5,,,,,,,,,,,,,,,,,,,0.20600000000000002,,,,,,,,,,,,,,,,
-39.4,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20600000000000002,,,,,,,,
-39.3,,,,,,,,,,,,,,,,,0.24100000000000002,,,,,0.141,,,,,,,,,,,,,
-39.2,,,,,,,,,,,,,0.295,,,,,,,,,,,,,,,,,,,,,,
-38.9,,,,,,,,,,,,,,,,,,,,,,,0.149,,,,,,,,,,,,0.21899999999999997
-38.7,,,,,,,,,,,,,,,0.278,,,,,,,,,,,,,,,,,,,,
-38.6,,,,,,,,,,,,,,,,0.268,,,,,,,,,,,,,,0.19399999999999998,,,,,
-38.5,,,,,,,,,,,0.273,,,,,,,0.275,,,0.191,,,,,,,,,,,,,,
-38.463,,0.21100000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-38.3,,,,,,,0.256548,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-38.0,,,,,,,0.266855,0.250542,0.30795,0.27705799999999997,,,,,,,,,,,,,,,,,,,,,,,,,
-37.9,,,,,,,,,,,,,,,,,,,,0.285,,,,,,,,,,,,,,,
-37.7,,,,,,,,,,,,0.26,,,,,,,,,,,,,,,,,,,,,,,
-37.6,,,0.242431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-37.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.226,,,
-37.0,,,,0.21440599999999999,0.275887,0.310568,,,,,,,,,,,,,,,,,,,,0.326,,,,,,,,,
-36.9,,,,,,,,,,,,,,0.34299999999999997,,,,,,,,,,,,,,,,,,,,,
-36.6,,,,,,,,,,,,,,,,,,,,,,,,0.188,,,0.19899999999999998,,,,,,,,
-36.5,,,,,0.268403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-36.2,,,,,,,,,,,,,,,,,,,0.19399999999999998,,,,,,,,,,,,,,,,
-36.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17300000000000001,,,,
-36.0,,,,,,,,0.24819699999999997,,,,,,,,,,,,,,,,,,,,,,,,,,0.215,
-35.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,
-35.7,,,,,,,,,,,,,,,,,,,,,0.183,,,,,,,,,,,0.226,,,
-35.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,,,,,
-35.5,,,,,,,,,,,0.285,,0.302,,,,,,,,,,,,0.23,,,,,,,,,,
-35.3,,,,,,,,,,,,,,,0.272,,,,,,,,,,,,,,,,,,,,
-35.2,,,,,,,,,,,,,,,,,,,,,,0.196,0.162,,,,,,,,,,,,
-35.0,0.163,,,,,,,0.250787,,,,,,,,0.2605,,0.29,,,,,,,,,,0.239,,,,,,,
-34.9,,,,,,,,,,,,,,,,,,,,0.276,,,,,,,,,,,,,,,
-34.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22399999999999998
-34.7,,,0.22368000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-34.6,,,,,,,,,,,,,,,,0.261,,,,,,,,,,,,,,,,,,,
-34.5,,,,,,,0.24392999999999998,,,,,0.258,,,,,,,,,,,,,,,,,,,,,,,
-34.486,,0.23399999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-34.4,,,,,,,,,,,,,,,,,0.233,,,,,,,,,,,,,,,,,,
-34.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.191,
-34.0,,,,0.2313595,,,,,0.299775,0.269782,,,,,,,,0.273,,,,,,,,,,,,,,,,,
-33.7,,,,,,0.304612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-33.5,,,,,,,,,,,,,,,,0.258,,,,,,,,,,,,,,,,,,,
-33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.214,,,,,
-33.1,,,,,,,,,,,,,,,,,,,,,,,,0.081,,,,,,,,,,,
-33.0,,,,,0.25994100000000003,,,,,,,,,,,,,,,,,,,,,0.326,,,,,,,,,
-32.5,,,,,,,,,,,,,,,,,,,0.21,,,,,,,,0.26,,,,,,,,
-32.4,,,,,,,,,,,0.2695,,,,,,,,,,,0.10800000000000001,,,,,,,,,,,,,
-32.2,,,,,,,,,,,,,,0.376,,,,,,0.289,,,,,,,,,,,,0.19699999999999998,0.141,,
-32.1,,,,,,,,,,,,,,,,0.249,,,,,,,,,,,,,,,,,,,
-32.0,,,,,,,,,,,,0.214,,,,,,,,,,,,,,,,0.23600000000000002,,0.182,0.122,,,,
-31.9,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,0.1315,,,,,0.196,
-31.8,,,,,,,,,,,,,,,,,0.233,,,,0.209,,0.133,,,,,,,,,,,,
-31.7,,,,,,,,,,,,,,,,,,,,,,,,,,0.306,,,,,,,,,
-31.5,,,,,,,,0.24604950000000003,,,,,0.34299999999999997,,0.455,,,,,,,,,,,,,0.2455,,,,,,,0.214
-31.3,,,,,,,,,,,,,,,,,,,,,,,,,0.228,,,,,,,,,,
-31.2,,,,,,,,,,,,,,,,,,0.32,,,,,,,,,,,,,,,,,
-31.1,,,,,,,0.239957,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-31.0,0.1725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-30.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,,,,,
-30.5,,,0.220004,,,,,,,0.2742335,,,,,,,,,,,,,,,,,,,,,,,,,
-30.4,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20600000000000002,,,,,,,,
-30.3,,,,,,0.303733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
