YEAR,2000,2000,2001,2001,2002,2002,2003,2003,2004,2004,2005,2005,2006,2007,2010,2010,2011,2011,2012,2012
MONTH,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   
SAMPLE_DEPTH_M,,,,,,,,,,,,,,,,,,,,
-61.7,,,,,,,,,,,,,,,,,,,12.98,
-61.0,,,,,,,13.96,,,,,,,,,,,,,
-60.8,,,,,,,13.93,,,,,,,,,,,,,
-60.3,,,14.4,,,,,,,,,,,,,,,,,
-60.095,,10.55,,,,,,,,,,,,,,,,,,
-60.0,13.59622047,,,,,,,,,,,,,,,,,,,
-58.1,,,,,,,,,,,13.68,,,,,,,,,
-58.0,,,,,12.97,,,,,,,,,,,,,,,
-57.6,,,,10.78,,,,,,,,,,,,,,,,
-52.2,,,,,,,,,,,,,,,,,,,,9.27
-52.0,,,,,,,,,,,,,,9.6,,,,,,
-48.1,,,,,,,,,,,,,,,,,,9.97,,
-48.0,14.45795276,,,,,,,,,,,,,,,,,,,
-47.602,,9.985,,,,,,,,,,,,,,,,,,
-44.0,,,,,,,,,,,,,,,,6.17,,,,
-43.456,,9.84,,,,,,,,,,,,,,,,,,
-43.0,14.55370079,,,,,,,,,,,,,,,,,,,
-41.0,,,,,13.12,,,,,,,,,,,,,,,
-38.5,,,,,,,,,,,,,,,13.83,,,,,
-31.0,13.88346457,,,,,,,,,,,,,,,,,,,
-29.749000000000002,,8.78,,,,,,,,,,,,,,,,,,
-15.5,,,14.4,,,,,,,,,,,,,,,,,
-3.0,,,,,,,,,,,,8.36,,,,,,,,
-2.0,,,,,,,,,,8.46,,,,,,8.14,14.03,,,
-1.9,,,,,,,,,,,,,13.42,,,,,,,
-1.5,,,,,,,,,,,13.96,,,,,,,,,
-1.3630000000000002,,8.75,,,,,,,,,,,,,,,,,,
-1.048,,9.45,,,,,,,,,,,,,,,,,,
-1.0,,9.165,,,,8.7,,8.96,13.56,,,,,,,,,,,
-0.9590000000000001,,9.19,,,,,,,,,,,,,,,,,,
