YEAR,1983,1983,1984,1984,1985,1985,1986,1986,1987,1987,1988,1988,1989,1989,1990,1990,1991,1991,1992,1992,1993,1993,1996,1996,1997,1997,1998,1998,1999,1999,2000,2000,2001,2001,2002,2002,2003,2003,2004,2004,2005,2005,2006,2006,2007,2007,2010,2010,2011,2011,2012,2012
MONTH,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   ,April    ,August   
SAMPLE_DEPTH_M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-47.602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.985,,,,,,,,,,,,,,,,,,,,
-47.55,,,,,,,,,,,,,,,13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-47.24,,,,,,,,,,,,,,,,,,,,,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-46.94,,,,,,,,,,,,,,,,,,,,,12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-46.63,,,,,,,,,,,,,,,,,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-46.5,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,,,,,,,,,,,,,,,,,,,,,,,,,
-46.33,,,,,,,,,,,,,,,,,,,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-46.02,,,,,,,,,,,,,,,,,8.5,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-45.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,
-45.72,,,,,,,,,,,,,,,,,,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-45.0,,,,,,,,,,,,,,,,,,,,,,,,,14.050198415,,,,,,,,,,,,,,,,,,,,,,,,,,,
-44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.17,,,,
-43.489,,,,,,,,,,,,,,,,,,,,,,,,11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-43.456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.84,,,,,,,,,,,,,,,,,,,,
-43.28,,,,,,,,,,,,,,,,,,,13.5,,13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.55370079,,,,,,,,,,,,,,,,,,,,,
-42.98,,,,,,,12.8,,,,,,,9.6,,,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-42.67,,,,,,9.8,,9.9,,,,,,,,,13.1,,13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-42.37,,,,,12.8,,,,13.1,,,,,,,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-42.06,,,,,,,11.2,10.9,13.5,,13.8,9.6,,,,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,13.9,,,,,,,,,,,,,,,,,,,,,,,,,
-41.76,,,,,,,,,,10.0,14.0,,,9.6,13.4,8.1,,9.05,,,12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-41.45,,,13.2,9.0,,,,,,,,8.3,,,14.2,,,,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-41.15,,8.55,,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.12,,,,,,,,,,,,,,,,,
-40.84,12.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-40.54,,,,,12.9,,,10.2,13.1,10.35,13.9,10.1,,9.8,13.7,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-40.23,12.9,8.9,13.0,9.85,12.966666666666669,10.3,8.8,9.2,13.233333333333334,9.8,,10.0,,,,7.8,,10.0,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-39.93,13.8,9.0,14.0,,13.1,10.4,12.0,10.75,,,,9.4,,,13.8,,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-39.62,,8.3,13.4,,,11.4,,,,10.1,,,,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-39.32,,,,,,10.0,,,13.5,8.7,13.1,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-39.01,,,,,,,,,,,,,,,13.6,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-38.71,,,,,,,,,,,13.9,,,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-38.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.83,,,,,
-38.1,,,,,,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-37.8,,,,,,,,,,,,,,,,,13.5,,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-37.49,,,,,,,,,,,,,,,,,8.7,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-37.19,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-36.88,,,,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-36.58,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-36.27,,,,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-35.66,,,,,,,,,,9.9,,,,,,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-35.36,,,,,,,,9.9,,,,,,9.9,,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-34.44,,,,,12.8,10.1,,,,,,,,,,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-34.14,,9.3,,,,,11.35,10.05,,,,,,9.5,,7.7,13.8,10.0,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-33.83,,,,,,,,,,,,,,,,,,,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-33.53,12.7,,14.0,,12.5,10.2,,,13.4,,14.1,9.6,,11.0,,8.6,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-33.22,,,,9.5,,11.6,,,13.3,,,,,,,,,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-32.92,,,13.7,9.1,,,,,,10.0,,,,,,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
