YEAR,count,mean,std,min,25%,50%,75%,max
1983,118.0,14.192372881355935,6.620211951827642,3.0,9.125,12.0,19.725,34.5
1984,130.0,14.356153846153845,6.3469702696684225,5.1,9.7,12.5,19.15,34.0
1985,281.0,16.96512455516014,19.369462178225707,5.0,9.1,12.8,20.0,255.2
1986,185.0,9.639459459459461,2.9228503304230364,5.4,8.0,8.9,10.4,31.7
1987,231.0,10.590476190476187,6.2451995643328875,3.5,6.45,9.3,12.7,38.7
1988,180.0,8.053333333333338,2.8662045446234483,4.2,6.4,7.5,8.6,23.4
1989,119.0,8.043697478991596,4.170673210208338,0.7,5.7,6.7,9.1,30.0
1990,177.0,10.922033898305093,8.749546763520167,3.5,6.3,7.8,10.0,49.2
1991,180.0,8.5,4.67866905584037,2.9,5.9,7.3,9.5,29.8
1992,62.0,11.374193548387096,2.030661321970716,6.0,10.149999999999999,11.6,12.7,16.5
1993,62.0,11.229032258064512,5.042780494300388,5.5,8.475000000000001,10.5,11.7,35.1
1996,169.0,9.134508875739645,3.470932172236442,0.677,6.63,8.947000000000001,11.304,28.803
1997,158.0,11.458607594936712,6.565221873834943,0.009000000000000001,5.88275,11.4615,16.042749999999998,35.318000000000005
1998,121.0,8.111264462809915,4.833310980009106,0.8690000000000001,4.5,6.4,11.825,21.968000000000004
1999,132.0,9.973849999999999,5.182718736420074,0.0924,5.7054,8.73435,15.375000000000002,19.2
2000,124.0,7.20158870967742,2.3948365492779815,0.045,5.7284999999999995,6.777,8.45575,14.475
2001,128.0,7.017572226562497,2.9644133671409416,0.173051,5.066246,6.4420255,8.713952,14.377194
2002,156.0,13.735855653846151,6.459796910270045,3.731037,6.678278000000001,15.831874499999998,18.578936,28.927335999999997
2003,160.0,14.996648293749995,9.303137105164913,0.082722,6.8606445,13.340751000000001,19.967823,36.018902000000004
2004,94.0,8.00779993617021,3.6992186556156295,0.197915,5.07348525,8.195730000000001,10.05952525,18.971508
2005,119.0,10.505529411764702,5.782945258379658,0.08,5.9845,8.493,15.285,22.42
2006,106.0,9.23624528301887,4.2327295523187844,0.079,6.611,8.251,11.441,21.103
2007,99.0,13.134282828282824,7.484525392285296,0.023,7.5495,12.052,18.3745,29.529
2008,104.0,9.838153846153842,4.8836016765625825,0.031,6.6815,8.114999999999998,13.55975,20.646
2009,101.0,10.249534653465346,3.9506156167472337,0.284,8.264,10.021,11.967,21.445999999999998
2010,104.0,11.53066346153846,3.3759542472932043,0.42100000000000004,9.79325,11.273,13.1025,19.775
2011,99.0,9.193151515151516,4.445237064369183,0.5770000000000001,5.6785,7.2620000000000005,11.95,21.248
2012,90.0,10.72852222222222,4.245653823281058,0.315,8.22925,10.2045,12.80725,28.875999999999998
2013,89.0,13.068730337078653,5.671138561659947,0.057999999999999996,7.832999999999999,12.265,18.123,24.011999999999997
2014,97.0,7.208268041237112,1.890016906424957,0.066,6.274,7.382999999999999,8.517999999999999,11.214
2015,98.0,9.393142857142854,2.1514099668265985,0.281,8.1,9.417,10.752749999999999,14.732999999999999
2016,90.0,11.082855555555556,5.04310967371805,0.31,7.266249999999999,10.003499999999999,14.682749999999999,23.509
2017,44.0,14.482136363636364,4.9171355510585775,0.11599999999999999,11.9175,13.571,15.693,29.391
