,SampleDateTime,Ammonia filtered,Unit Ammonia filtered,Carbon dissolved inorganic,Unit Carbon dissolved inorganic,Carbon dissolved organic,Unit Carbon dissolved organic,Carbon particulate organic,Unit Carbon particulate organic,Chloride dissolved,Unit Chloride dissolved,Chlorophyll A,Unit Chlorophyll A,Chlorophyll corrected,Unit Chlorophyll corrected,Nitrite and nitrate filtered,Unit Nitrite and nitrate filtered,Nitrite filtered,Unit Nitrite filtered,Nitrogen Kjeldahl total,Unit Nitrogen Kjeldahl total,Nitrogen particulate,Unit Nitrogen particulate,Nitrogen total,Unit Nitrogen total,Nitrogen total dissolved,Unit Nitrogen total dissolved,Phosphorus particulate,Unit Phosphorus particulate,Phosphorus soluble reactive,Unit Phosphorus soluble reactive,Phosphorus total,Unit Phosphorus total,Phosphorus total dissolved,Unit Phosphorus total dissolved,Phosphorus total filtered,Unit Phosphorus total filtered,SiO2,Unit SiO2,Silica soluble reactive,Unit Silica soluble reactive,Specific conductance,Unit Specific conductance,Total suspended solids (non-filterable residue),Unit Total suspended solids (non-filterable residue),Turbidity,Unit Turbidity
0,2012-01-17,0.068,mg/L,53.0,mg/L,4.1,mg/L,3.19,mg/L,49.4,mg/L,3.7,µg/L,3.6,µg/L,6.04,mg/L,,,0.584,mg/L,0.334,mg/L,6.725,mg/L,,,0.133,mg/L,0.0346,mg/L,0.105,mg/L,,,0.0365,mg/L,6.01,mg/L,,,702.0,µS/cm,,,67.3,NTU
1,2012-01-23,0.046,mg/L,53.5,mg/L,3.8,mg/L,2.05,mg/L,49.3,mg/L,1.4,µg/L,,,6.6,mg/L,,,0.555,mg/L,0.15,mg/L,7.34,mg/L,,,,,0.0376,mg/L,0.088,mg/L,,,0.0378,mg/L,6.42,mg/L,,,694.0,µS/cm,,,34.1,NTU
2,2012-01-31,0.034,mg/L,53.5,mg/L,3.6,mg/L,1.92,mg/L,60.0,mg/L,1.5,µg/L,0.1,µg/L,6.22,mg/L,,,0.504,mg/L,0.163,mg/L,7.39,mg/L,,,,,0.0311,mg/L,0.0619,mg/L,,,0.0321,mg/L,6.26,mg/L,,,729.0,µS/cm,,,17.0,NTU
3,2012-02-06,0.0435,mg/L,50.0,mg/L,3.6500000000000004,mg/L,1.4049999999999998,mg/L,40.05,mg/L,0.7,µg/L,0.1,µg/L,6.234999999999999,mg/L,,,0.5609999999999999,mg/L,0.151,mg/L,6.73,mg/L,,,,,0.03585,mg/L,0.06475,mg/L,,,0.0387,mg/L,5.51,mg/L,,,630.5,µS/cm,30.65,mg/L,26.549999999999997,NTU
4,2012-02-13,0.026,mg/L,56.4,mg/L,3.2,mg/L,0.883,mg/L,51.2,mg/L,3.4,µg/L,0.1,µg/L,6.49,mg/L,,,0.459,mg/L,0.114,mg/L,7.815,mg/L,,,0.0279,mg/L,0.0212,mg/L,0.0534,mg/L,,,0.0242,mg/L,5.32,mg/L,,,735.0,µS/cm,,,14.2,NTU
5,2012-02-21,0.025,mg/L,55.0,mg/L,3.8,mg/L,1.16,mg/L,94.0,mg/L,3.0,µg/L,1.8,µg/L,5.64,mg/L,,,0.499,mg/L,0.129,mg/L,5.705,mg/L,,,0.0282,mg/L,0.0145,mg/L,0.0537,mg/L,,,0.0187,mg/L,4.65,mg/L,,,867.0,µS/cm,,,17.6,NTU
6,2012-02-28,0.014,mg/L,52.0,mg/L,3.9,mg/L,1.24,mg/L,75.3,mg/L,5.3,µg/L,4.3,µg/L,5.45,mg/L,,,0.44,mg/L,0.163,mg/L,5.95,mg/L,,,0.0403,mg/L,0.0107,mg/L,0.0609,mg/L,,,0.0163,mg/L,4.62,mg/L,,,772.0,µS/cm,,,25.6,NTU
7,2012-03-05,0.022,mg/L,50.6,mg/L,3.9,mg/L,3.94,mg/L,43.6,mg/L,10.9,µg/L,7.2,µg/L,5.92,mg/L,,,0.498,mg/L,0.441,mg/L,6.27,mg/L,,,0.0997,mg/L,0.0145,mg/L,0.0921,mg/L,,,0.0209,mg/L,4.33,mg/L,,,645.0,µS/cm,160.0,mg/L,61.4,NTU
8,2012-03-12,0.011,mg/L,51.5,mg/L,4.0,mg/L,1.335,mg/L,48.5,mg/L,1.9,µg/L,,,6.15,mg/L,,,0.5255000000000001,mg/L,0.146,mg/L,6.6075,mg/L,,,0.03555,mg/L,0.01735,mg/L,0.06334999999999999,mg/L,,,0.02255,mg/L,4.470000000000001,mg/L,,,677.5,µS/cm,,,20.5,NTU
9,2012-03-20,0.007,mg/L,52.4,mg/L,4.1,mg/L,1.02,mg/L,48.2,mg/L,,,,,5.72,mg/L,,,0.537,mg/L,0.146,mg/L,6.0600000000000005,mg/L,,,0.0331,mg/L,0.0173,mg/L,0.0532,mg/L,,,0.0225,mg/L,3.33,mg/L,,,675.0,µS/cm,,,25.9,NTU
