3. Vostok methane record to the CH4 time scale of this paper (ageRR03).
The GT4 time scale [Petit et al. 1999] and the Shackleton [2000]
time scale (ageNJS) are given for comparison purposes.
All ages are gas ages in Kyr.
All the ice core data was downloaded from NCDC Paleo [Petit et al., 1999].


Depth(m)   CH4ppbv)   AgeRR03      AgeGT4      AgeNJS
149.2       668         2.35        2.347       2.57
173.1       636         3.55        3.634       3.95
177.4       595         3.77        3.833       4.18
228.7       588         6.35        6.225       6.79
236.4       574         6.74        6.614       7.21
266         616         8.23        8.113       8.8
303.8       667         10.13       10.189      11.1
321.2       621         11          11.013      12
325         511         11.23       11.143      12.15
331.7       477         11.62       11.329      12.36
342.1       501         12.24       11.719      12.8
356         662         13.07       12.626      13.75
365.6       610         13.64       13.412      14.62
366.2       642         13.67       13.457      14.66
381.7       445         14.59       14.241      15.52
426.3       395         17.24       16.417      17.87
443.5       363         18.26       17.695      19.25
458.3       349         19.14       18.95       20.6
471         379         19.9        20.004      21.7
491.3       348         21.1        21.636      23.54
506.4       406         22          22.977      25
507.4       339         22.06       23.059      25.11
510.2       371         22.24       23.392      25.42
513.6       377         22.46       23.714      25.8
517.6       403         22.71       24.146      26.22
519.7       403         22.84       24.327      26.43
522.5       340         23.02       24.643      26.7
522.6       360         23.03       24.654      26.71
522.7       381         23.03       24.662      26.72
525.6       358         23.22       24.875      27.01
528.2       392         23.38       25.073      27.26
532.2       377         23.64       25.423      27.62
532.4       380         23.65       25.44       27.64
535         360         23.81       25.684      27.88
540         363         24.13       25.999      28.28
541.5       384         24.23       26.099      28.39
545.2       387         24.46       26.336      28.66
547         412         24.58       26.471      28.79
549.4       426         24.73       26.672      29.03
552         418         24.89       26.884      29.31
554.2       448         25.03       27.064      29.54
556.5       464         25.18       27.342      29.78
560.2       435         25.41       27.702      30.16
562.5       416         25.56       27.951      30.4
563.1       403         25.6        28.016      30.46
565.2       382         25.73       28.195      30.66
569.2       396         25.98       28.551      31.05
571.4       425         26.12       28.743      31.26
574.3       435         26.31       28.943      31.47
577.8       436         26.53       29.13       31.74
581.8       421         26.78       29.41       32.12
582.8       416         26.85       29.493      32.22
583.3       429         26.88       29.542      32.27
589.2       481         27.25       30.175      32.84
591.7       489         27.41       30.385      33.08
593.8       482         27.54       30.591      33.28
599.1       394         27.88       31.088      33.81
602.6       429         28.1        31.479      34.19
609.7       469         28.55       32.176      34.96
612         505         28.7        32.384      35.21
615.5       548         28.92       32.715      35.59
617.7       532         29.06       32.952      35.87
619.5       520         29.17       33.161      36.09
622.2       530         29.34       33.474      36.44
625.1       509         29.53       33.823      36.8
627.6       491.5       29.69       34.108      37.12
629.2       484         29.79       34.285      37.29
633.4       418         30.05       34.644      37.7
635.1       403         30.16       34.784      37.84
639.5       459         30.44       35.038      38.15
641.3       414         30.55       35.163      38.28
644.6       375         30.76       35.387      38.51
648         423         30.98       35.573      38.72
649.2       443         31.06       35.645      38.8
653.8       431         31.35       35.883      39.08
664.1       484         32          36.641      39.84
682         520         34.76       38.109      41.54
683         493         34.92       38.201      41.64
694.6       424         36.71       39.388      42.88
699.5       448         37.47       39.828      43.44
706.1       537         38.49       40.626      44.23
712.9       522         39.53       41.358      44.93
724.8       441         41.37       42.131      45.87
748.3       419         45          43.546      47.43
765.3       402         46.97       44.788      48.75
788.2       466         49.62       47.024      50.72
812         504         52.37       49.398      52.71
834.8       480         55.01       51.174      54.24
860.6       514         58          52.87       55.68
885.3       528         59.31       55.564      57.94
911.4       442         60.69       57.737      59.73
937.3       411         62.06       59.604      61.12
962.4       414         63.39       61.582      62.53
986.3       415         64.66       63.694      64.04
1011.3      434         65.98       65.701      65.52
1037.5      424         67.37       68.495      67.34
1062.2      458         68.68       71.014      69.18
1087.2      430         70          72.849      70.47
1112.6      462         72.03       75.367      72.42
1137.7      402         74.04       76.875      74.52
1162.1      438         75.99       78.995      77.12
1186.5      497         77.94       81.122      79.9
1209.7      545         79.8        82.843      82.19
1237.2      594         82          84.929      84.82
1261.2      529         84.61       86.323      86.1
1289.2      425         87.66       88.051      87.58
1309.2      417         89.84       89.363      88.64
1338.2      454         93          91.691      90.62
1363.7      443         94.49       93.66       92.15
1387.2      406         95.87       95.349      93.58
1413        407         97.38       96.9        94.99
1442.8      476         99.12       99.067      97.1
1451.4      480         99.62       99.833      97.81
1463.3      521         100.32      100.84      98.82
1476.1      493         101.07      101.83      99.81
1505        559         102.76      103.37      101.41
1526.2      591         104         105.2       103.18
1532        564         106.04      105.68      103.62
1542.1      437         109.61      106.2       104.23
1557.4      451         115         107.01      105.02
1582.8      468         116.21      108.99      107.19
1614.8      448         117.73      111.44      110.12
1627.7      443         118.35      112.56      111.25
