"","Date","Q","LogQ","ConcLow","ConcHigh","Uncen","ConcAve","Julian","Month","Day","DecYear","MonthSeq","waterYear","SinDY","CosDY","yHat","SE","ConcHat"
"205",2013-02-27,5329.63501296177,8.58103803694684,21.7,21.7,1,21.7,59592,2,58,2013.15799086758,1958,2013,0.83749668617917,0.546442403770891,2.91564803480336,0.0801079036874549,18.5201008176342
"206",2013-02-28,5643.1429549007,8.63819645078679,22.5,22.5,1,22.5,59593,2,59,2013.16073059361,1958,2013,0.846778709723065,0.53194531369281,2.92164032412277,0.0799668626963576,18.6312014701894
"207",2013-03-06,4803.75072325777,8.47715229244012,16.7,16.7,1,16.7,59599,3,66,2013.17716894977,1959,2013,0.89711053827419,0.441806158985355,2.91464256275057,0.0820230011164515,18.5043612789073
"208",2013-03-07,5309.408694127,8.5772357509971,18.1,18.1,1,18.1,59600,3,67,2013.1799086758,1959,2013,0.90458258843498,0.426298417426421,2.92069274849223,0.0824641733251133,18.6173309507149
"209",2013-03-13,5845.4061432484,8.67341135707785,17.8,17.8,1,17.8,59606,3,73,2013.19634703196,1959,2013,0.943713995371672,0.330762596040778,2.93117661456587,0.0834205069593678,18.8150316282514
"210",2013-03-14,5612.80347664855,8.63280560215191,19.5,19.5,1,19.5,59607,3,74,2013.19908675799,1959,2013,0.949267708328738,0.314469104880442,2.92596321160931,0.083605355780967,18.7174854797971
"211",2013-03-20,5916.19825917009,8.68544933563733,17.5,17.5,1,17.5,59613,3,80,2013.21552511416,1959,2013,0.97663118826653,0.214922130328884,2.93326794807786,0.0843949537018538,18.8559629772081
"212",2013-03-21,5754.38770849193,8.65771792253181,18.3,18.3,1,18.3,59614,3,81,2013.21826484018,1959,2013,0.980186020992591,0.198079186818585,2.92986712883439,0.0846617377222514,18.7923699503735
"213",2013-03-27,5390.31396946608,8.59235891257132,17.2,17.2,1,17.2,59620,3,87,2013.23470319635,1959,2013,0.995384733556384,0.0959647445830339,2.92378035252461,0.085235316367807,18.6792425283208
"214",2013-03-28,5825.17982441363,8.66994514910137,18.3,18.3,1,18.3,59621,3,88,2013.23744292237,1959,2013,0.996889131894015,0.0788166144388124,2.93091696919425,0.0854906197762257,18.8134359398891
