date,precip,cloud,evap,surf_runoff
2002-01-01,0.14731182157993317,0.8034235835075378,-0.946136474609375,0.0
2002-01-02,0.004260122776031494,0.11933435499668121,-0.4698066711425781,-4.163336342344337e-14
2002-01-03,0.0017133303917944431,0.13061556220054626,-0.5524615049362183,0.0
2002-01-04,0.0005325080710463226,0.6257349252700806,-0.9247896671295166,8.326672684688674e-14
2002-01-05,0.1623649001121521,0.9463010430335999,-1.1912764310836792,0.0005311715067364275
2002-01-06,4.760490894317627,0.9885945916175842,-0.3302387595176697,0.004809946287423372
2002-01-07,2.2376656532287598,0.8643555045127869,-0.9946250915527344,0.00010816418944159523
2002-01-08,0.006956425029784441,0.603961706161499,-0.9419993162155151,-4.163336342344337e-14
2002-01-09,0.9806693196296692,0.9054531455039978,-0.44365835189819336,0.053492046892642975
2002-01-10,0.0,0.9497358798980713,0.1586034893989563,0.020409855991601944
2002-01-11,0.10280898213386536,0.7612271904945374,-0.24959808588027954,0.004988843109458685
2002-01-12,0.7128262519836426,0.37384727597236633,-0.2752644717693329,0.01149775367230177
2002-01-13,0.9312358498573303,0.28186821937561035,-0.5789769291877747,0.006899245083332062
2002-01-14,1.510071039199829,0.909256100654602,-0.3433496356010437,0.014870204031467438
2002-01-15,2.089841842651367,0.9440987706184387,-0.5295159220695496,0.03936191275715828
2002-01-16,0.4899461567401886,0.9505835771560669,-0.6672547459602356,8.326672684688674e-14
2002-01-17,1.048499345779419,0.9847294688224792,-1.207495093345642,0.0006047039641998708
2002-01-18,0.29445159435272217,0.7034693956375122,-1.0525535345077515,0.0
2002-01-19,0.14734989404678345,0.8114378452301025,-0.48916885256767273,0.0
2002-01-20,0.00016310534556396306,0.5049610733985901,-0.600906491279602,-4.163336342344337e-14
2002-01-21,0.4387236535549164,0.8727881908416748,-0.5721094012260437,0.0029397562611848116
2002-01-22,0.000822073663584888,0.19487051665782928,-0.3575928509235382,0.02307230792939663
2002-01-23,5.1605072021484375,0.9053452610969543,0.203280508518219,0.038457050919532776
2002-01-24,9.134968757629395,0.9896591901779175,0.10754308849573135,0.06545967608690262
2002-01-25,0.004403410479426384,0.1350071281194687,-0.780656635761261,0.0007479341584257782
2002-01-26,0.0,0.021962007507681847,-1.1519441604614258,0.0008317228639498353
2002-01-27,0.0,0.25881725549697876,-0.7954235672950745,0.00029815328889526427
2002-01-28,0.0,0.7333550453186035,-0.4867416024208069,3.2114119676407427e-05
2002-01-29,0.9361442923545837,0.9414349794387817,0.2356509119272232,0.005176797043532133
2002-01-30,14.541244506835938,0.999902606010437,-0.47129350900650024,0.10774590075016022
2002-01-31,23.39158058166504,0.998291015625,-0.500109076499939,0.2110043466091156
2002-02-01,14.33059310913086,0.9407215118408203,-0.33087798953056335,0.5771772265434265
2002-02-02,0.0014493206981569529,0.3638552129268646,-0.8788430690765381,-8.326672684688674e-14
2002-02-03,0.02474028989672661,0.4526767134666443,-1.1088814735412598,0.0036758920177817345
2002-02-04,0.4177870750427246,0.5801516771316528,-1.774556040763855,7.74397085478995e-06
2002-02-05,5.872451947652735e-05,0.028268413618206978,-1.5122110843658447,0.0
2002-02-06,0.009446323849260807,0.5526384115219116,-0.7080110907554626,0.016589749604463577
2002-02-07,0.0,0.4993337392807007,-0.7124393582344055,0.03305591642856598
2002-02-08,0.0,0.0737173855304718,-0.30923596024513245,0.039245329797267914
2002-02-09,8.326672684688674e-14,0.6348569393157959,-0.15748246014118195,0.04266524687409401
2002-02-10,4.516616344451904,0.7919151782989502,-0.10611914843320847,0.19144412875175476
2002-02-11,2.120417356491089,0.7115457057952881,-1.6385704278945923,0.011545248329639435
2002-02-12,0.016533376649022102,0.7920689582824707,-1.5130438804626465,0.015834374353289604
2002-02-13,0.04001012444496155,0.08541886508464813,-1.4797708988189697,0.00036169670056551695
2002-02-14,8.326672684688674e-14,0.1459134817123413,-1.1888046264648438,0.005472277756780386
2002-02-15,0.007788578048348427,0.7867194414138794,-1.2165374755859375,0.013372791931033134
2002-02-16,2.552490234375,0.7342501878738403,-0.545917272567749,0.02060064673423767
2002-02-17,0.8994045257568359,0.6803625226020813,-1.5427756309509277,0.0008718708413653076
2002-02-18,0.0,0.36622488498687744,-0.6960417032241821,0.003843734273687005
2002-02-19,2.036628484725952,0.8871438503265381,-0.45830345153808594,0.053944721817970276
2002-02-20,17.771596908569336,0.9282636642456055,0.5313190221786499,0.4930741786956787
2002-02-21,2.4172496795654297,0.9351398944854736,-0.2686663568019867,0.03909504413604736
2002-02-22,0.9490597248077393,0.717574417591095,-1.266741394996643,4.749877189169638e-05
2002-02-23,5.4027266742195934e-05,0.13565388321876526,-0.6724612712860107,0.0012713265605270863
2002-02-24,0.0,0.32414570450782776,-0.7960670590400696,0.016685891896486282
2002-02-25,0.0,0.6688970327377319,-0.82796311378479,0.013880137354135513
2002-02-26,10.822328567504883,0.9681496024131775,-0.7354963421821594,0.05250151827931404
2002-02-27,3.788834571838379,0.9814268946647644,-2.5661730766296387,-8.326672684688674e-14
2002-02-28,0.0641847550868988,0.45755481719970703,-2.184296131134033,0.0
2002-03-01,0.01184594351798296,0.6925407648086548,-1.0743390321731567,0.002275432925671339
2002-03-02,2.3332297801971436,0.8710641264915466,-0.5276528596878052,0.05449986085295677
2002-03-03,14.445877075195312,0.8671001195907593,-1.0585614442825317,0.22467327117919922
2002-03-04,1.4145140647888184,0.8684608936309814,-2.5540781021118164,0.0
2002-03-05,0.3000186085700989,0.8796390891075134,-1.625940203666687,2.4511113224434666e-05
