"","Date","Q","LogQ","ConcLow","ConcHigh","Uncen","ConcAve","Julian","Month","Day","DecYear","MonthSeq","waterYear","SinDY","CosDY","yHat","SE","ConcHat"
"386",2016-08-08,7.06909820014929,1.955732918753,0.0957,0.0957,1,0.0957,60850,8,221,2016.60257285974,2000,2016,-0.600786251059013,-0.799409707558306,-2.49689535616176,0.751823892974739,0.109232594788243
"387",2016-08-17,20.5297128082383,3.0218732420503,0.1722,0.1722,1,0.1722,60859,8,230,2016.62716302368,2000,2016,-0.716651243728746,-0.697431713404288,-1.96849780037413,0.644626559622637,0.171919987442828
"388",2016-08-22,15.2708711247774,2.72594716572238,0.1425,0.1425,1,0.1425,60864,8,235,2016.64082422587,2000,2016,-0.773803963928478,-0.633425153754234,-2.10587998392842,0.686375257873211,0.154073658862414
"389",2016-08-23,14.4618181691234,2.67151194666331,0.188,0.188,1,0.188,60865,8,236,2016.6435564663,2000,2016,-0.784563527204476,-0.620048443091724,-2.13826074461187,0.693015902607254,0.149849289898626
"390",2016-08-24,15.0686071273769,2.71261358151721,0.204,0.204,1,0.204,60866,8,237,2016.64628870674,2000,2016,-0.795091876005624,-0.606489001309881,-2.12226161540009,0.691190834411433,0.152073818102399
"391",2016-08-25,14.3606861704232,2.66449434593414,0.212,0.212,1,0.212,60867,8,238,2016.64902094718,2000,2016,-0.805385907581511,-0.59275082443562,-2.15001380172539,0.697690425273916,0.148580580695239
"392",2016-08-26,27.9123203965083,3.32906818262729,0.22,0.22,1,0.22,60868,8,239,2016.65175318761,2000,2016,-0.815442588234833,-0.578837961171239,-1.85405588726357,0.629745853884215,0.190945741535812
"393",2016-08-29,30.7440042243233,3.42569499066571,0.2205,0.2205,1,0.2205,60871,8,242,2016.65994990893,2000,2016,-0.844159242113114,-0.536092505035291,-1.82488907199059,0.623824870051662,0.195868779219033
"394",2016-08-31,17.6980289804233,2.8734532763409,0.194,0.194,1,0.194,60873,8,244,2016.6654143898,2000,2016,-0.862064492916356,-0.50679858923725,-2.07659627963142,0.693438115326299,0.159427170911865
"395",2016-09-01,15.7765290956466,2.75852333530795,0.168,0.168,1,0.168,60874,9,245,2016.66814663024,2001,2016,-0.870637337436513,-0.49192542794763,-2.1370700549791,0.706841679098658,0.151486695658642
"396",2016-09-06,9.75919845347624,2.27821027138409,0.111,0.111,1,0.111,60879,9,250,2016.68180783242,2001,2016,-0.909604980168752,-0.415474162917749,-2.44094997252847,0.765061885599668,0.116683501135432
"397",2016-09-12,14.4618181691234,2.67151194666331,0.158,0.158,1,0.158,60885,9,256,2016.69820127505,2001,2016,-0.947503428347637,-0.319745607115211,-2.27515234478917,0.740979629841693,0.135250462878572
"398",2016-09-19,14.1584231843387,2.65030972502669,0.146,0.146,1,0.146,60892,9,263,2016.71732695811,2001,2016,-0.979001750528291,-0.203851839487757,-2.36420788824609,0.759421087046518,0.125450039096382
"399",2016-09-20,12.7425812704312,2.54494924111489,0.0625,0.0625,1,0.0625,60893,9,264,2016.72005919854,2001,2016,-0.982356880271482,-0.187015934570508,-2.42301392593427,0.769620993407234,0.119211543310342
"400",2016-10-03,18.0014229538921,2.89045080776565,0.126,0.126,1,0.126,60906,10,277,2016.75557832423,2002,2017,-0.999385824078203,0.0350424689702495,-2.42333705186537,0.78008099988655,0.12014284505542
"401",2016-10-11,9.07150427044944,2.20513810158247,0.109,0.109,1,0.109,60914,10,285,2016.77743624772,2002,2017,-0.985178116307813,0.171534483845637,-2.98763719845852,0.846300963156264,0.0721127409326078
"402",2016-10-12,8.85912788223172,2.18144832661544,9e-04,9e-04,1,9e-04,60915,10,286,2016.78016848816,2002,2017,-0.982088330537598,0.188421100256511,-2.88201115403601,0.768272364127625,0.0752537200048316
"403",2016-10-17,8.99059906590248,2.19617948318246,0.0889333333333333,0.0889333333333333,1,0.0889333333333333,60920,10,291,2016.79382969035,2002,2017,-0.962319203077694,0.271922326019603,-3.09645228804629,0.861571238563446,0.0655265556662483
"404",2016-10-18,8.94003307666553,2.19053928902931,5e-04,5e-04,1,5e-04,60921,10,292,2016.79656193078,2002,2017,-0.957509494817727,0.288401746412709,-2.94395610418735,0.754321304112902,0.069986298677607
"405",2016-10-31,11.6301333299925,2.45359943078064,0.1395,0.1395,1,0.1395,60934,10,305,2016.83208105647,2002,2017,-0.869932699340294,0.49317045594653,-3.14051252979268,0.862834022945375,0.0627704251072515
"406",2016-11-01,10.8210803743385,2.3814961181877,5e-04,5e-04,1,5e-04,60935,11,306,2016.8348132969,2003,2017,-0.861338586088996,0.5080313377285,-3.0203037551338,0.76991724636879,0.0656171967369567
"407",2016-11-14,10.8210803743385,2.3814961181877,0.05105,0.05105,1,0.05105,60948,11,319,2016.87033242259,2003,2017,-0.727537243519923,0.686068188514402,-3.43003580167174,0.909416842790379,0.0489715234104456
"408",2016-11-15,10.5176853895538,2.35305816309722,0.0021,0.0021,1,0.0021,60949,11,320,2016.87306466302,2003,2017,-0.715652766479817,0.698456239022735,-3.31673478656645,0.873398512807532,0.0531135977437848
"409",2016-11-28,17.4957649830229,2.86195885067239,0.0368857142857143,0.0368857142857143,1,0.0368857142857143,60962,11,333,2016.90858378871,2003,2017,-0.54331858094147,0.839526604464532,-3.32864839974293,0.923595482906111,0.0549059206663888
"410",2016-12-12,23.260266659985,3.14674661134058,0.0516,0.0516,1,0.0516,60976,12,347,2016.94683515483,2004,2017,-0.327866705838687,0.944723993133702,-3.36158323704521,0.929947085820685,0.0534407109663066
"411",2016-12-20,19.1138708943308,2.95041429631301,0.0205,0.0205,1,0.0205,60984,12,355,2016.96869307832,2004,2017,-0.195441086836541,0.980715443732866,-3.50843919496012,0.959888709420616,0.0474657904851249
"412",2016-12-25,25.2828985434619,3.23012822027963,0.0243,0.0243,1,0.0243,60989,12,360,2016.98235428051,2004,2017,-0.110644318285045,0.993860068033341,-3.38839850768447,0.932509839162178,0.0521510372695406
"413",2017-01-04,71.0955138392944,4.26402423832478,5e-04,5e-04,1,5e-04,60999,1,4,2017.00970319635,2005,2017,0.0609292189719246,0.998142089221505,-2.73424379506271,0.801614484004837,0.089550648872327
"414",2017-01-09,54.307666880409,3.99466541182383,0.0685,0.0685,1,0.0685,61004,1,9,2017.02340182648,2005,2017,0.146508753470888,0.989209373770996,-3.05231489349756,0.87291460532607,0.0691605310654454
"415",2017-01-16,340.813472365867,5.83133532576379,0.209,0.209,1,0.209,61011,1,16,2017.04257990868,2005,2017,0.264357302655602,0.964424811238624,-1.96610740097654,0.979363973631604,0.226155942962101
"416",2017-01-17,216.421611532034,5.37722841043328,5e-04,5e-04,1,5e-04,61012,1,17,2017.0453196347,2005,2017,0.280919123030882,0.95973144489256,-1.87256952951898,0.800510135516836,0.2117897395612
"417",2017-01-23,147.652127493818,4.99485901711977,0.0878333333333333,0.0878333333333333,1,0.0878333333333333,61018,1,23,2017.06175799087,2005,2017,0.378371995494783,0.925653624756742,-2.52653232952433,0.952673157658702,0.125840599423844
"418",2017-01-26,133.493704309479,4.8940543179978,0.108,0.108,1,0.108,61021,1,26,2017.06997716895,2005,2017,0.425649488186812,0.904888121927957,-2.60328402914703,0.942926001006255,0.115471756953868
"419",2017-01-30,71.1966438153627,4.26544567988225,0.0686,0.0686,1,0.0686,61025,1,30,2017.08093607306,2005,2017,0.486899327626897,0.873458095592728,-2.95351510468141,0.88066783236643,0.0768632669765621
"420",2017-01-31,58.8585886182321,4.07513776389453,5e-04,5e-04,1,5e-04,61026,1,31,2017.08367579909,2005,2017,0.501862333524921,0.86494751181151,-2.92393795856556,0.767971284459667,0.0721471127644109
"421",2017-02-02,43.4865854947545,3.77245251110499,0.0638,0.0638,1,0.0638,61028,2,33,2017.08915525114,2006,2017,0.531337817603065,0.847160034223057,-3.23465253301803,0.833508994625834,0.055727367736076
"422",2017-02-06,30.2383462534541,3.40911086243015,0.029,0.029,1,0.029,61032,2,37,2017.10011415525,2006,2017,0.588365375439532,0.808595192283443,-3.42551760663803,0.832491472860095,0.0460053962106674
"423",2017-02-09,163.833182561633,5.09884873064382,0.309,0.309,1,0.309,61035,2,40,2017.10833333333,2006,2017,0.629320391049445,0.777145961457288,-2.47149425265187,0.937314252761625,0.131044902355829
"424",2017-02-13,81.0064054162781,4.39452823075915,0.0578,0.0578,1,0.0578,61039,2,44,2017.11929223744,2006,2017,0.681298621986419,0.732005592655826,-2.87136886778115,0.883229710130411,0.0836326313954605
"425",2017-02-16,61.3868784725783,4.11719610665646,0.0694,0.0694,1,0.0694,61042,2,47,2017.12751141553,2006,2017,0.718176210858879,0.695861286576846,-3.03326007213905,0.845449673971633,0.0688470778805876
"426",2017-02-21,100.929334120579,4.61442060979097,0.04575,0.04575,1,0.04575,61047,2,52,2017.14121004566,2006,2017,0.775337223609572,0.631547456400072,-2.71528047078916,0.898848286156881,0.0991306749697201
"427",2017-02-23,108.210805766017,4.68408122987334,0.0701,0.0701,1,0.0701,61049,2,54,2017.14668949772,2006,2017,0.796616640610007,0.604484845056704,-2.67359965301082,0.90397946450295,0.103828973726248
"428",2017-02-27,153.720023144249,5.03513291625771,0.05175,0.05175,1,0.05175,61053,2,58,2017.15764840183,2006,2017,0.836318926689356,0.548243242421796,-2.39786878583555,0.926036542465882,0.13958285005012
"429",2017-03-02,217.432927473773,5.38189042353909,0.642,0.642,1,0.642,61056,3,62,2017.16586757991,2007,2017,0.863504093650436,0.504341828771855,-2.18043854516371,0.927253293142828,0.173680268000692
"430",2017-03-06,96.6818025132245,4.57142519977841,0.07625,0.07625,1,0.07625,61060,3,66,2017.17682648402,2007,2017,0.896157794338719,0.443735515421025,-2.70390326896417,0.883214433998258,0.098877912123383
"431",2017-03-09,130.459756484264,4.8710647997731,0.168,0.168,1,0.168,61063,3,69,2017.1850456621,2007,2017,0.917868531005973,0.396884567335312,-2.49601101166471,0.905503908822748,0.124177616490511
"432",2017-03-13,55.5212467184163,4.01676577124932,0.03745,0.03745,1,0.03745,61067,3,73,2017.19600456621,2007,2017,0.943000084211953,0.332792489663229,-3.0118158724823,0.800968875868413,0.0678103593843937
"433",2017-03-16,38.7333997595309,3.6567022707103,0.0696,0.0696,1,0.0696,61070,3,76,2017.20422374429,2007,2017,0.958921529430334,0.28367146559883,-3.22631767676601,0.741050246289219,0.052248717023996
"434",2017-03-18,36.0028460089159,3.58359799113458,0.0653,0.0653,1,0.0653,61072,3,78,2017.20970319635,2007,2017,0.968117702258648,0.250495737635266,-3.25430632776992,0.726120017491098,0.0502531931961803
"435",2017-03-19,36.8119017962545,3.60582121126292,0.0636,0.0636,1,0.0636,61073,3,79,2017.21244292237,2007,2017,0.972286137521877,0.233794069177962,-3.23680487516205,0.726906895878287,0.051169682677433
"436",2017-03-20,38.4300057860621,3.64883855513782,0.0527,0.0527,1,0.0527,61074,3,80,2017.2151826484,2007,2017,0.976166463418477,0.217023122494039,-3.20384833568538,0.731511361062001,0.0530620179244205
"437",2017-03-21,39.7447157012694,3.68247689393041,0.0325,0.0325,1,0.0325,61075,3,81,2017.21792237443,2007,2017,0.979757530124597,0.200187867175185,-3.16874931755726,0.734371873185369,0.0550728572276098
"438",2017-03-23,35.3960579608467,3.56660045690084,0.038,0.038,1,0.038,61077,3,83,2017.22340182648,2007,2017,0.986067715552491,0.166344402806621,-3.22244997207986,0.711729113226725,0.0513458683313531
"439",2017-03-24,33.6768200508385,3.5168097683738,0.0358,0.0358,1,0.0358,61078,3,84,2017.22614155251,2007,2017,0.988784964429805,0.149346222307593,-3.23954514530137,0.701394221418124,0.0501083199214693
"440",2017-03-25,39.2390577304002,3.6696726214221,0.0332,0.0332,1,0.0332,61079,3,85,2017.22888127854,2007,2017,0.9912092149827,0.132303787297941,-3.1545258387,0.723009344062555,0.055401169081405
"441",2017-03-26,64.0162983029929,4.15913771192333,0.0417,0.0417,1,0.0417,61080,3,86,2017.23162100457,2007,2017,0.993339748853116,0.115222147820759,-2.85195835668203,0.80364741230295,0.0797360260167104
"442",2017-03-27,79.5905614797387,4.3768955114447,0.05755,0.05755,1,0.05755,61081,3,87,2017.23436073059,2007,2017,0.995175934717706,0.0981063655362854,-2.70327834155042,0.834752257558176,0.0949055895435287
"443",2017-03-28,88.4901449021167,4.482891188775,0.0679,0.0679,1,0.0679,61082,3,88,2017.23710045662,2007,2017,0.996717228475213,0.0809615122183979,-2.62508871760893,0.84718977571962,0.10370308036918
"444",2017-03-29,82.1188513340849,4.40816760440172,0.0949,0.0949,1,0.0949,61083,3,89,2017.23984018265,2007,2017,0.997963173407148,0.0637926682553346,-2.67492895377884,0.835803020525715,0.0977203345326517
"445",2017-03-30,80.8041452618782,4.39202826695713,0.0981,0.0981,1,0.0981,61084,3,90,2017.24257990868,2007,2017,0.998913400312959,0.0466049211479066,-2.67919572220079,0.832057242766284,0.09700079597536
"446",2017-03-31,202.263188347695,5.30956976195947,0.818,0.818,1,0.818,61085,3,91,2017.2453196347,2007,2017,0.999567627619853,0.0294033639983425,-2.02461957059399,0.896086221803897,0.197279393843435
"447",2017-04-01,214.398979648557,5.36783867008344,0.293,0.293,1,0.293,61086,4,92,2017.24805936073,2008,2017,0.999925661466298,0.0121930939956311,-1.94453175496973,0.909444799531979,0.216322088115821
"448",2017-04-02,179.00292168771,5.18740212798526,0.204,0.204,1,0.204,61087,4,93,2017.25079908676,2008,2017,0.999987395759063,-0.00502078908216118,-2.07121560234641,0.901161492651622,0.189158576912888
"449",2017-04-03,130.459756484264,4.8710647997731,5e-04,5e-04,1,5e-04,61088,4,94,2017.25353881279,2008,2017,0.999752812204997,-0.022233184391791,-2.20886627896555,0.76472512889836,0.147126279378147
"450",2017-04-04,99.1089622903707,4.596219874082,0.0969,0.0969,1,0.0969,61089,4,95,2017.25627853881,2008,2017,0.999221980316271,-0.0394389915290548,-2.4940445151786,0.850067669338151,0.118512481605256
"451",2017-04-05,98.1987764258322,4.58699375526072,0.222,0.222,1,0.222,61090,4,96,2017.25901826484,2008,2017,0.998395057389624,-0.0566331120455987,-2.50473699324452,0.844125578548714,0.11666333192627
"452",2017-04-06,128.437124600787,4.85543948187002,0.157,0.157,1,0.157,61091,4,97,2017.26175799087,2008,2017,0.997272288460514,-0.0738104509451673,-2.29178184435088,0.871540362153441,0.147785919402416
