year,Total Water supply m3 s
1940,5617
1941,5094
1942,5961
1943,6329
1944,5994
1945,6340
1946,5942
1947,6541
1948,6272
1949,5718
1950,6367
1951,6684
1952,7058
1953,6440
1954,6645
1956,6296
1957,5959
1958,5255
1959,5702
1961,5921
1962,5368
1963,4829
1964,4833
1965,5282
1967,6040
1968,6153
1969,6537
1970,6189
1971,6296
1972,6950
1973,7123
1974,7124
1976,6582
1978,6160
1979,6819
