,SampleDateTime,Ammonia filtered,Unit Ammonia filtered,Carbon dissolved inorganic,Unit Carbon dissolved inorganic,Carbon dissolved organic,Unit Carbon dissolved organic,Carbon particulate organic,Unit Carbon particulate organic,Chloride dissolved,Unit Chloride dissolved,Chlorophyll A,Unit Chlorophyll A,Chlorophyll corrected,Unit Chlorophyll corrected,Nitrite and nitrate filtered,Unit Nitrite and nitrate filtered,Nitrite filtered,Unit Nitrite filtered,Nitrogen Kjeldahl total,Unit Nitrogen Kjeldahl total,Nitrogen particulate,Unit Nitrogen particulate,Nitrogen total,Unit Nitrogen total,Nitrogen total dissolved,Unit Nitrogen total dissolved,Phosphorus particulate,Unit Phosphorus particulate,Phosphorus soluble reactive,Unit Phosphorus soluble reactive,Phosphorus total,Unit Phosphorus total,Phosphorus total dissolved,Unit Phosphorus total dissolved,Phosphorus total filtered,Unit Phosphorus total filtered,SiO2,Unit SiO2,Silica soluble reactive,Unit Silica soluble reactive,Specific conductance,Unit Specific conductance,Total suspended solids (non-filterable residue),Unit Total suspended solids (non-filterable residue),Turbidity,Unit Turbidity
0,2012-01-17,0.044,mg/L,36.8,mg/L,7.3,mg/L,8.04,mg/L,23.3,mg/L,6.4,µg/L,5.2,µg/L,4.45,mg/L,,,0.68,mg/L,0.9,mg/L,5.33,mg/L,,,0.177,mg/L,0.0855,mg/L,0.374,mg/L,,,0.0902,mg/L,5.89,mg/L,,,484.0,µS/cm,,,261.0,NTU
1,2012-01-23,0.034,mg/L,42.0,mg/L,4.8,mg/L,1.94,mg/L,25.0,mg/L,2.1,µg/L,,,5.07,mg/L,,,0.528,mg/L,0.225,mg/L,5.91,mg/L,,,,,0.0422,mg/L,0.0991,mg/L,,,0.0423,mg/L,6.0,mg/L,,,541.0,µS/cm,,,46.9,NTU
2,2012-01-31,0.021,mg/L,46.7,mg/L,4.5,mg/L,0.783,mg/L,27.0,mg/L,0.8,µg/L,0.1,µg/L,5.58,mg/L,,,0.555,mg/L,0.09,mg/L,5.905,mg/L,,,,,0.0231,mg/L,0.0543,mg/L,,,0.0239,mg/L,6.34,mg/L,,,597.0,µS/cm,,,18.4,NTU
3,2012-02-06,0.012,mg/L,47.3,mg/L,4.05,mg/L,0.779,mg/L,22.950000000000003,mg/L,0.35,µg/L,,,5.52,mg/L,,,0.5155000000000001,mg/L,0.0975,mg/L,5.73,mg/L,,,,,0.0192,mg/L,0.03855,mg/L,,,0.021949999999999997,mg/L,5.705,mg/L,,,580.0,µS/cm,20.45,mg/L,18.5,NTU
4,2012-02-13,0.017,mg/L,48.2,mg/L,3.7,mg/L,0.541,mg/L,24.5,mg/L,1.6,µg/L,1.9,µg/L,5.41,mg/L,,,0.457,mg/L,0.069,mg/L,6.715,mg/L,,,0.0169,mg/L,0.0092,mg/L,0.0238,mg/L,,,0.0098,mg/L,5.42,mg/L,,,612.0,µS/cm,,,8.14,NTU
5,2012-02-21,0.01,mg/L,48.0,mg/L,4.3,mg/L,0.706,mg/L,30.2,mg/L,0.1,µg/L,0.1,µg/L,5.01,mg/L,,,0.449,mg/L,0.083,mg/L,5.08,mg/L,,,0.0173,mg/L,0.0065,mg/L,0.0305,mg/L,,,0.0096,mg/L,5.03,mg/L,,,614.0,µS/cm,,,14.1,NTU
6,2012-02-28,0.007,mg/L,47.0,mg/L,4.8,mg/L,0.689,mg/L,30.2,mg/L,2.4,µg/L,1.5,µg/L,5.15,mg/L,,,0.467,mg/L,0.094,mg/L,5.609999999999999,mg/L,,,0.0227,mg/L,0.0109,mg/L,0.0422,mg/L,,,0.0149,mg/L,4.66,mg/L,,,604.0,µS/cm,,,18.2,NTU
7,2012-03-05,0.025,mg/L,43.6,mg/L,5.9,mg/L,2.63,mg/L,22.0,mg/L,3.0,µg/L,0.1,µg/L,5.67,mg/L,,,0.702,mg/L,0.398,mg/L,6.24,mg/L,,,0.0813,mg/L,0.0283,mg/L,0.128,mg/L,,,0.0301,mg/L,5.62,mg/L,,,547.0,µS/cm,75.6,mg/L,92.7,NTU
8,2012-03-12,0.0075,mg/L,48.1,mg/L,4.45,mg/L,0.8795,mg/L,25.700000000000003,mg/L,4.4,µg/L,3.6,µg/L,4.609999999999999,mg/L,,,0.504,mg/L,0.108,mg/L,4.9575,mg/L,,,0.024399999999999998,mg/L,0.00405,mg/L,0.0342,mg/L,,,0.00835,mg/L,3.4,mg/L,,,598.0,µS/cm,,,15.45,NTU
9,2012-03-20,0.015,mg/L,48.2,mg/L,5.2,mg/L,0.993,mg/L,26.4,mg/L,,,,,4.31,mg/L,,,0.523,mg/L,0.135,mg/L,4.9399999999999995,mg/L,,,0.0267,mg/L,0.0072,mg/L,0.0398,mg/L,,,0.01,mg/L,3.39,mg/L,,,584.0,µS/cm,,,18.2,NTU
10,2012-03-26,0.015,mg/L,51.0,mg/L,5.1,mg/L,0.838,mg/L,25.9,mg/L,6.8,µg/L,7.3,µg/L,3.77,mg/L,,,0.559,mg/L,0.132,mg/L,4.03,mg/L,,,0.0243,mg/L,0.0073,mg/L,0.0344,mg/L,,,0.0104,mg/L,3.07,mg/L,,,600.0,µS/cm,,,12.1,NTU
11,2012-04-02,0.026,mg/L,46.8,mg/L,4.7,mg/L,0.422,mg/L,23.5,mg/L,5.5,µg/L,4.8,µg/L,4.34,mg/L,,,0.547,mg/L,0.08,mg/L,4.86,mg/L,4.69,mg/L,0.0133,mg/L,0.002,mg/L,0.0178,mg/L,,,0.0066,mg/L,3.37,mg/L,,,575.0,µS/cm,,,4.74,NTU
12,2012-04-10,0.0085,mg/L,43.7,mg/L,4.25,mg/L,0.535,mg/L,26.049999999999997,mg/L,6.800000000000001,µg/L,4.7,µg/L,3.365,mg/L,,,0.4005,mg/L,0.0955,mg/L,3.8200000000000003,mg/L,3.34,mg/L,0.015449999999999998,mg/L,0.0024000000000000002,mg/L,0.02045,mg/L,,,0.00485,mg/L,0.935,mg/L,,,572.0,µS/cm,,,6.279999999999999,NTU
13,2012-04-16,0.015,mg/L,44.0,mg/L,6.2,mg/L,1.6,mg/L,23.6,mg/L,15.9,µg/L,12.3,µg/L,4.78,mg/L,,,0.582,mg/L,0.212,mg/L,5.27,mg/L,4.87,mg/L,0.0471,mg/L,0.0057,mg/L,0.0355,mg/L,,,0.0097,mg/L,4.2,mg/L,,,564.0,µS/cm,43.8,mg/L,24.5,NTU
14,2012-06-11,0.036,mg/L,47.2,mg/L,4.8,mg/L,1.43,mg/L,27.1,mg/L,8.2,µg/L,5.4,µg/L,2.77,mg/L,,,0.651,mg/L,0.206,mg/L,3.5,mg/L,2.99,mg/L,0.0412,mg/L,0.0382,mg/L,0.0689,mg/L,,,0.0397,mg/L,7.95,mg/L,,,580.0,µS/cm,25.8,mg/L,35.4,NTU
15,2012-06-18,0.128,mg/L,34.9,mg/L,7.5,mg/L,4.57,mg/L,21.8,mg/L,5.3,µg/L,3.2,µg/L,9.74,mg/L,,,0.952,mg/L,0.635,mg/L,10.5,mg/L,,,0.161,mg/L,0.0373,mg/L,0.129,mg/L,,,0.0433,mg/L,8.21,mg/L,,,,,203.0,mg/L,189.0,NTU
16,2012-06-25,0.06,mg/L,43.5,mg/L,5.8,mg/L,1.73,mg/L,25.8,mg/L,3.7,µg/L,3.6,µg/L,5.24,mg/L,,,0.756,mg/L,0.223,mg/L,5.74,mg/L,,,0.0524,mg/L,0.0557,mg/L,0.105,mg/L,,,0.0565,mg/L,9.8,mg/L,,,,,58.3,mg/L,57.8,NTU
17,2012-07-03,0.036,mg/L,42.8,mg/L,5.8,mg/L,2.13,mg/L,28.0,mg/L,25.4,µg/L,22.9,µg/L,2.38,mg/L,,,0.501,mg/L,0.336,mg/L,2.99,mg/L,,,0.0607,mg/L,0.0368,mg/L,0.101,mg/L,,,0.039,mg/L,9.77,mg/L,,,,,51.8,mg/L,41.9,NTU
18,2012-07-23,0.025,mg/L,41.3,mg/L,4.8,mg/L,1.1,mg/L,28.7,mg/L,3.6,µg/L,1.7,µg/L,1.87,mg/L,,,0.464,mg/L,0.153,mg/L,2.31,mg/L,,,0.0365,mg/L,0.0286,mg/L,0.0693,mg/L,,,0.0332,mg/L,8.6,mg/L,,,,,29.5,mg/L,24.3,NTU
19,2012-07-30,0.035,mg/L,35.5,mg/L,6.2,mg/L,2.05,mg/L,22.8,mg/L,6.4,µg/L,4.8,µg/L,2.67,mg/L,,,0.544,mg/L,0.256,mg/L,3.5,mg/L,,,0.0561,mg/L,0.0444,mg/L,0.108,mg/L,,,0.0479,mg/L,7.31,mg/L,,,,,64.0,mg/L,42.9,NTU
20,2012-08-07,0.026,mg/L,37.1,mg/L,5.3,mg/L,0.944,mg/L,27.7,mg/L,7.2,µg/L,7.0,µg/L,1.08,mg/L,,,0.442,mg/L,0.15,mg/L,1.59,mg/L,,,0.0304,mg/L,0.0266,mg/L,0.0654,mg/L,,,0.0329,mg/L,6.95,mg/L,,,,,26.1,mg/L,19.5,NTU
21,2012-08-27,0.024,mg/L,39.0,mg/L,4.2,mg/L,1.2,mg/L,39.8,mg/L,7.7,µg/L,5.9,µg/L,0.819,mg/L,,,0.375,mg/L,0.183,mg/L,1.24,mg/L,,,0.0313,mg/L,0.007,mg/L,0.0514,mg/L,,,0.0144,mg/L,4.61,mg/L,,,,,25.1,mg/L,19.5,NTU
22,2012-09-04,0.019,mg/L,41.2,mg/L,4.5,mg/L,1.27,mg/L,39.2,mg/L,9.1,µg/L,0.1,µg/L,0.601,mg/L,,,0.356,mg/L,0.204,mg/L,1.05,mg/L,,,0.034,mg/L,0.0185,mg/L,0.057,mg/L,,,0.0256,mg/L,5.06,mg/L,,,,,21.4,mg/L,13.6,NTU
23,2012-09-10,0.007,mg/L,38.2,mg/L,5.9,mg/L,2.29,mg/L,39.9,mg/L,4.3,µg/L,3.5,µg/L,1.91,mg/L,,,0.44,mg/L,0.428,mg/L,2.7,mg/L,,,0.0662,mg/L,0.0084,mg/L,0.07,mg/L,,,0.0169,mg/L,6.7,mg/L,,,,,34.8,mg/L,27.4,NTU
24,2012-09-18,0.009,mg/L,36.7,mg/L,5.4,mg/L,2.09,mg/L,34.6,mg/L,17.7,µg/L,15.3,µg/L,1.28,mg/L,,,0.396,mg/L,0.341,mg/L,1.75,mg/L,,,0.0637,mg/L,0.0087,mg/L,0.0755,mg/L,,,0.0179,mg/L,5.91,mg/L,,,,,65.2,mg/L,31.4,NTU
25,2012-09-24,0.005,mg/L,43.6,mg/L,4.4,mg/L,1.03,mg/L,34.6,mg/L,5.2,µg/L,5.5,µg/L,1.33,mg/L,,,0.34,mg/L,0.146,mg/L,1.78,mg/L,,,0.0288,mg/L,0.008,mg/L,0.0376,mg/L,,,0.0148,mg/L,6.25,mg/L,,,,,19.6,mg/L,16.6,NTU
