#YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,hr,mn,degT,m/s,m/s,m,sec,sec,degT,hPa,degC,degC,degC,mi,ft
2015,6,25,6,0,216,2.2,2.7,0.18,NAN,NAN,NAN,NAN,20.6,20.4,13.8,NAN,NAN
2015,6,25,6,10,217,2.1,2.6,0.19,14.63,NAN,NAN,NAN,20.5,20.4,13.6,NAN,NAN
2015,6,25,6,20,208,1.9,2.3,0.19,NAN,NAN,NAN,NAN,20.4,20.4,12.7,NAN,NAN
2015,6,25,6,30,209,2,2.5,0.19,11.21,NAN,162,NAN,20.4,20.3,13.4,NAN,NAN
2015,6,25,6,40,204,2.1,2.5,0.18,6.9,NAN,170,NAN,20.4,20.3,13.2,NAN,NAN
2015,6,25,6,50,194,2.2,2.5,0.17,NAN,NAN,197,NAN,20.4,20.2,12.9,NAN,NAN
2015,6,25,7,0,205,1.9,2.3,0.18,NAN,NAN,186,NAN,20.3,20.3,13.5,NAN,NAN
2015,6,25,7,10,219,1.9,2.5,0.19,NAN,NAN,189,NAN,20.2,20.3,13.8,NAN,NAN
2015,6,25,7,20,214,1.6,2.3,0.2,NAN,NAN,173,NAN,20.3,20.3,13.7,NAN,NAN
2015,6,25,7,30,199,1.5,1.9,0.21,NAN,NAN,169,NAN,20.3,20.3,13.4,NAN,NAN
2015,6,25,7,40,196,1.3,1.7,0.21,NAN,NAN,199,NAN,20.2,20.3,13.5,NAN,NAN
2015,6,25,7,50,211,1,1.5,0.21,NAN,NAN,NAN,NAN,20.2,20.2,13.4,NAN,NAN
2015,6,25,8,0,196,0.9,1.2,0.23,NAN,NAN,NAN,NAN,20.2,20.2,13.6,NAN,NAN
2015,6,25,8,10,200,0.2,1,0.23,NAN,NAN,205,NAN,20.2,20.2,13.7,NAN,NAN
2015,6,25,8,20,283,0.1,0.5,0.24,NAN,NAN,NAN,NAN,20.1,20.2,14.1,NAN,NAN
2015,6,25,8,30,305,0.2,0.6,0.24,NAN,NAN,NAN,NAN,20,20.2,13.9,NAN,NAN
2015,6,25,8,40,341,0.9,1.9,0.23,NAN,NAN,NAN,NAN,20.1,20.2,14,NAN,NAN
2015,6,25,8,50,325,1.5,2,0.2,NAN,NAN,NAN,NAN,20,20.3,14.3,NAN,NAN
2015,6,25,9,0,331,1.2,1.8,0.16,NAN,NAN,197,NAN,19.9,20.2,14.1,NAN,NAN
2015,6,25,9,10,322,1.2,1.5,0.16,NAN,NAN,NAN,NAN,19.9,20.2,14.4,NAN,NAN
2015,6,25,9,20,341,1,1.2,0.15,NAN,NAN,179,NAN,19.9,20.2,14.3,NAN,NAN
2015,6,25,9,30,345,1.1,1.4,0.14,NAN,NAN,NAN,NAN,19.9,20.2,14.3,NAN,NAN
2015,6,25,9,40,337,1,1.3,0.14,NAN,NAN,NAN,NAN,19.9,20.2,14.4,NAN,NAN
2015,6,25,9,50,338,0.8,1.2,0.14,NAN,NAN,291,NAN,19.9,20.3,14.1,NAN,NAN
2015,6,25,10,0,355,0.6,0.8,0.13,NAN,NAN,294,NAN,19.9,20.2,13.5,NAN,NAN
2015,6,25,10,10,11,0.5,0.7,0.15,NAN,NAN,NAN,NAN,19.9,20.2,13.6,NAN,NAN
2015,6,25,10,20,356,0.7,0.9,0.15,NAN,NAN,NAN,NAN,20,20.2,14,NAN,NAN
2015,6,25,10,30,13,0.7,1.1,0.19,NAN,NAN,NAN,NAN,19.9,20.3,14.6,NAN,NAN
2015,6,25,10,40,14,0.9,1.2,0.17,NAN,NAN,216,NAN,19.9,20.2,15.3,NAN,NAN
2015,6,25,10,50,36,0.8,1.4,0.17,NAN,NAN,NAN,NAN,20,20.2,14.5,NAN,NAN
2015,6,25,11,0,68,1.4,2.3,0.14,NAN,NAN,NAN,NAN,20,20.2,15.1,NAN,NAN
2015,6,25,11,10,100,2.1,2.6,0.13,NAN,NAN,NAN,NAN,20.2,20.2,15.3,NAN,NAN
2015,6,25,11,20,94,2.2,3.2,0.14,NAN,NAN,NAN,NAN,20.2,20.2,15.1,NAN,NAN
2015,6,25,11,30,94,2.9,3.5,0.13,NAN,NAN,NAN,NAN,20.1,20.2,15,NAN,NAN
2015,6,25,11,40,102,2.7,3.4,0.13,NAN,NAN,NAN,NAN,20.1,20.2,14.6,NAN,NAN
2015,6,25,11,50,106,2.5,3.1,0.12,NAN,NAN,NAN,NAN,20.1,20.2,14.3,NAN,NAN
2015,6,25,12,0,113,2.8,3.2,0.14,NAN,NAN,NAN,NAN,20.1,20.2,14.1,NAN,NAN
2015,6,25,12,10,114,2.8,3.3,0.14,NAN,NAN,NAN,NAN,20.3,20.2,13.9,NAN,NAN
2015,6,25,12,20,118,2.7,3.3,0.13,NAN,NAN,NAN,NAN,20.2,20.2,14,NAN,NAN
2015,6,25,12,30,123,2.4,2.8,0.12,NAN,NAN,NAN,NAN,20.3,20.2,14.3,NAN,NAN
2015,6,25,12,40,126,2.1,2.6,0.14,NAN,NAN,NAN,NAN,20.3,20.2,14.8,NAN,NAN
2015,6,25,12,50,137,1.9,2.5,0.14,NAN,NAN,NAN,NAN,20.3,20.2,15.1,NAN,NAN
2015,6,25,13,0,130,2.2,2.5,0.15,NAN,NAN,NAN,NAN,20.4,20.2,14.6,NAN,NAN
2015,6,25,13,10,124,2.1,2.5,0.13,NAN,NAN,NAN,NAN,20.4,20.2,15,NAN,NAN
2015,6,25,13,20,121,1.7,2.5,0.13,NAN,NAN,NAN,NAN,20.4,20.2,15.1,NAN,NAN
2015,6,25,13,30,115,2,2.5,0.14,NAN,NAN,NAN,NAN,20.4,20.2,15.1,NAN,NAN
2015,6,25,13,40,119,1.6,2.1,0.14,NAN,NAN,NAN,NAN,20.5,20.2,15,NAN,NAN
2015,6,25,13,50,137,1.1,1.6,0.14,NAN,NAN,143,NAN,20.6,20.2,15,NAN,NAN
2015,6,25,14,0,157,1.1,1.4,0.13,NAN,NAN,NAN,NAN,20.6,20.2,15.1,NAN,NAN
2015,6,25,14,10,175,1.3,1.6,0.12,NAN,NAN,NAN,NAN,20.7,20.2,15.4,NAN,NAN
2015,6,25,14,20,178,1.2,1.4,0.11,NAN,NAN,124,NAN,20.7,20.2,15.5,NAN,NAN
2015,6,25,14,30,179,0.9,1.3,0.11,NAN,NAN,NAN,NAN,20.7,20.2,15.7,NAN,NAN
2015,6,25,14,40,180,0.6,1,0.11,NAN,NAN,NAN,NAN,20.8,20.2,15.9,NAN,NAN
2015,6,25,14,50,220,0.6,0.9,0.11,NAN,NAN,NAN,NAN,21.1,20.2,16.4,NAN,NAN
2015,6,25,15,0,244,0.7,1.1,0.11,NAN,NAN,NAN,NAN,21,20.2,16.5,NAN,NAN
2015,6,25,15,10,284,0.7,0.9,0.13,NAN,NAN,NAN,NAN,20.7,20.2,16.5,NAN,NAN
2015,6,25,15,20,323,0.7,0.9,0.14,NAN,NAN,NAN,NAN,20.4,20.2,16.6,NAN,NAN
2015,6,25,15,30,11,0.6,0.8,0.14,NAN,NAN,NAN,NAN,20.5,20.2,16.4,NAN,NAN
2015,6,25,15,40,52,0.4,0.7,0.12,NAN,NAN,NAN,NAN,20.5,20.2,16.4,NAN,NAN
2015,6,25,15,50,89,0.3,0.6,0.1,NAN,NAN,NAN,NAN,20.6,20.2,16.5,NAN,NAN
2015,6,25,16,0,117,0.6,0.8,0.09,NAN,NAN,42,NAN,20.5,20.2,16.8,NAN,NAN
2015,6,25,16,10,162,0.9,1.3,0.12,NAN,NAN,NAN,NAN,20.5,20.2,16.8,NAN,NAN
2015,6,25,16,20,173,1,1.2,0.15,NAN,NAN,NAN,NAN,20.5,20.3,16.8,NAN,NAN
2015,6,25,16,30,160,1,1.2,0.18,NAN,NAN,NAN,NAN,20.6,20.3,15.8,NAN,NAN
2015,6,25,16,40,167,1.2,1.7,0.15,NAN,NAN,NAN,NAN,20.7,20.3,16,NAN,NAN
2015,6,25,16,50,168,1.4,1.9,0.14,NAN,NAN,NAN,NAN,20.7,20.3,16.3,NAN,NAN
2015,6,25,17,0,166,1.9,2.5,0.11,NAN,NAN,97,NAN,20.8,20.3,16.7,NAN,NAN
2015,6,25,17,10,164,1.6,2.3,0.12,NAN,NAN,NAN,NAN,21,20.3,16.8,NAN,NAN
2015,6,25,17,20,179,2.4,3.6,0.11,NAN,NAN,NAN,NAN,21.1,20.4,16.2,NAN,NAN
2015,6,25,17,30,182,1.8,2.9,0.11,NAN,NAN,NAN,NAN,21.1,20.4,15.8,NAN,NAN
2015,6,25,17,40,188,2.8,6.7,0.1,NAN,NAN,24,NAN,20.9,20.4,16.5,NAN,NAN
2015,6,25,17,50,207,4.8,6.1,0.09,NAN,NAN,NAN,NAN,20.2,20.4,17,NAN,NAN
2015,6,25,18,0,198,3.4,4.5,0.09,NAN,NAN,NAN,NAN,20.1,20.3,16.6,NAN,NAN
2015,6,25,18,10,184,3,4,0.12,NAN,NAN,NAN,NAN,20.3,20.3,16.6,NAN,NAN
2015,6,25,18,20,181,3.1,3.8,0.16,NAN,NAN,NAN,NAN,19.9,20.3,16.7,NAN,NAN
2015,6,25,18,30,175,3.2,4,0.21,NAN,NAN,NAN,NAN,19.6,20.3,16.8,NAN,NAN
2015,6,25,18,40,172,2.7,3.7,0.21,NAN,NAN,230,NAN,19.6,20.3,15.8,NAN,NAN
2015,6,25,18,50,167,1.9,2.5,0.21,NAN,NAN,NAN,NAN,19.8,20.3,15.4,NAN,NAN
2015,6,25,19,0,161,1.5,2,0.19,NAN,NAN,232,NAN,19.8,20.3,15.6,NAN,NAN
2015,6,25,19,10,162,2.1,3,0.17,NAN,NAN,214,NAN,19.9,20.4,16.5,NAN,NAN
2015,6,25,19,20,159,2.8,3.5,0.16,NAN,NAN,235,NAN,19.7,20.4,16.2,NAN,NAN
2015,6,25,19,30,144,2.8,3.3,0.16,NAN,NAN,-1,NAN,19.8,20.5,15.2,NAN,NAN
2015,6,25,19,40,129,2.2,2.9,0.15,NAN,NAN,NAN,NAN,19.8,20.5,14.9,NAN,NAN
2015,6,25,19,50,118,1.3,1.9,0.15,NAN,NAN,NAN,NAN,19.9,20.5,15.1,NAN,NAN
2015,6,25,20,0,101,0.7,1.1,0.13,NAN,NAN,NAN,NAN,20,20.6,15,NAN,NAN
2015,6,25,20,10,99,0.2,0.7,0.14,NAN,NAN,NAN,NAN,20.1,20.6,15,NAN,NAN
2015,6,25,20,20,18,0.2,0.7,0.12,NAN,NAN,NAN,NAN,20.1,20.6,15.4,NAN,NAN
2015,6,25,20,30,324,0.9,1.8,0.11,NAN,NAN,NAN,NAN,19.9,20.6,16.7,NAN,NAN
2015,6,25,20,40,325,1.1,1.7,0.09,NAN,NAN,NAN,NAN,19.6,20.6,17.7,NAN,NAN
2015,6,25,20,50,345,1.6,2.2,0.09,NAN,NAN,NAN,NAN,19.6,20.6,17.7,NAN,NAN
2015,6,25,21,0,341,2.1,2.7,0.1,NAN,NAN,NAN,NAN,19.6,20.6,17.7,NAN,NAN
2015,6,25,21,10,345,2.4,3,0.13,NAN,NAN,NAN,NAN,19.7,20.6,17.9,NAN,NAN
2015,6,25,21,20,340,2.8,3.5,0.13,NAN,NAN,NAN,NAN,19.6,20.6,17.9,NAN,NAN
2015,6,25,21,30,349,2.9,3.5,0.13,NAN,NAN,NAN,NAN,19.5,20.6,17.8,NAN,NAN
2015,6,25,21,40,360,3.1,3.9,0.13,NAN,NAN,NAN,NAN,19.5,20.6,17.7,NAN,NAN
2015,6,25,21,50,357,3.1,3.8,0.16,NAN,NAN,NAN,NAN,19.4,20.6,17.5,NAN,NAN
2015,6,25,22,0,355,3,3.5,0.18,NAN,NAN,296,NAN,19.4,20.6,17.4,NAN,NAN
2015,6,25,22,10,355,2.8,3.3,0.19,NAN,NAN,NAN,NAN,19.5,20.6,17.4,NAN,NAN
2015,6,25,22,20,352,2.2,2.9,0.2,NAN,NAN,NAN,NAN,19.5,20.6,17.1,NAN,NAN
2015,6,25,22,30,351,1.9,2.5,0.21,NAN,NAN,NAN,NAN,19.5,20.6,17.1,NAN,NAN
2015,6,25,22,40,355,1.7,2.1,0.2,NAN,NAN,NAN,NAN,19.5,20.5,16.8,NAN,NAN
2015,6,25,22,50,11,1.7,2.4,0.19,NAN,NAN,NAN,NAN,19.6,20.5,16.7,NAN,NAN
2015,6,25,23,0,17,1.4,2,0.17,NAN,NAN,328,NAN,19.6,20.5,16.5,NAN,NAN
2015,6,25,23,10,27,1.4,2,0.16,NAN,NAN,NAN,NAN,19.7,20.5,16.8,NAN,NAN
2015,6,25,23,20,26,1.3,1.8,0.15,NAN,NAN,283,NAN,19.7,20.5,16.8,NAN,NAN
2015,6,25,23,30,22,1,1.8,0.16,NAN,NAN,NAN,NAN,19.6,20.5,16.9,NAN,NAN
2015,6,25,23,40,41,1.2,1.7,0.17,NAN,NAN,NAN,NAN,19.7,20.5,16.7,NAN,NAN
2015,6,25,23,50,53,1,1.4,0.17,NAN,NAN,NAN,NAN,19.6,20.5,16.7,NAN,NAN
2015,6,26,0,0,53,1.1,1.8,0.16,NAN,NAN,NAN,NAN,19.7,20.5,16.7,NAN,NAN
2015,6,26,0,10,38,1,1.9,0.16,NAN,NAN,NAN,NAN,19.8,20.6,16.8,NAN,NAN
2015,6,26,0,20,58,0.5,0.9,0.16,NAN,NAN,NAN,NAN,19.7,20.6,16.6,NAN,NAN
2015,6,26,0,30,103,0.6,1,0.15,NAN,NAN,NAN,NAN,19.7,20.6,16.6,NAN,NAN
2015,6,26,0,40,108,1.7,2.3,0.15,NAN,NAN,NAN,NAN,19.7,20.6,16.7,NAN,NAN
2015,6,26,0,50,98,1.2,2.1,0.14,NAN,NAN,NAN,NAN,19.7,20.6,16.8,NAN,NAN
2015,6,26,1,0,44,2,2.6,0.14,NAN,NAN,NAN,NAN,19.8,20.6,16.7,NAN,NAN
2015,6,26,1,10,50,2.1,2.7,0.14,NAN,NAN,NAN,NAN,19.9,20.6,16.8,NAN,NAN
2015,6,26,1,20,50,2.2,2.8,0.13,NAN,NAN,320,NAN,19.8,20.6,17.1,NAN,NAN
2015,6,26,1,30,76,2.5,3.1,0.13,NAN,NAN,NAN,NAN,19.8,20.5,17,NAN,NAN
2015,6,26,1,40,102,2.3,2.7,0.12,NAN,NAN,NAN,NAN,19.8,20.5,16.9,NAN,NAN
2015,6,26,1,50,123,2.2,2.8,0.13,NAN,NAN,NAN,NAN,19.8,20.5,17.3,NAN,NAN
2015,6,26,2,0,116,1.9,2.5,0.12,NAN,NAN,NAN,NAN,19.9,20.5,17.1,NAN,NAN
2015,6,26,2,10,102,1.7,2.1,0.12,NAN,NAN,NAN,NAN,20.1,20.5,17.3,NAN,NAN
2015,6,26,2,20,83,1.8,2.3,0.12,NAN,NAN,NAN,NAN,20.2,20.5,17,NAN,NAN
2015,6,26,2,30,78,1.7,2.1,0.12,NAN,NAN,NAN,NAN,20.3,20.5,17.1,NAN,NAN
2015,6,26,2,40,90,1.8,2.1,0.14,NAN,NAN,NAN,NAN,20.3,20.4,16.9,NAN,NAN
2015,6,26,2,50,59,1.9,2.5,0.13,NAN,NAN,NAN,NAN,20.3,20.4,17.3,NAN,NAN
2015,6,26,3,0,51,1.8,2.2,0.13,NAN,NAN,NAN,NAN,20.2,20.4,17.5,NAN,NAN
2015,6,26,3,10,42,1.7,2.3,0.12,NAN,NAN,NAN,NAN,20.1,20.4,17.7,NAN,NAN
2015,6,26,3,20,42,1.9,2.3,0.12,NAN,NAN,NAN,NAN,20,20.4,17.6,NAN,NAN
2015,6,26,3,30,40,1.9,2.6,0.12,NAN,NAN,NAN,NAN,20,20.4,17.7,NAN,NAN
2015,6,26,3,40,44,2.1,2.6,0.11,NAN,NAN,NAN,NAN,20,20.3,17.5,NAN,NAN
2015,6,26,3,50,56,2.5,2.9,0.14,NAN,NAN,NAN,NAN,19.9,20.3,17.5,NAN,NAN
2015,6,26,4,0,59,3,3.7,0.13,NAN,NAN,NAN,NAN,19.9,20.3,17.8,NAN,NAN
2015,6,26,4,10,53,3.1,3.6,0.13,NAN,NAN,NAN,NAN,19.9,20.3,17.6,NAN,NAN
2015,6,26,4,20,63,3,3.5,0.1,NAN,NAN,NAN,NAN,19.9,20.3,17.7,NAN,NAN
2015,6,26,4,30,66,2.7,3.6,0.12,NAN,NAN,NAN,NAN,19.9,20.3,17.7,NAN,NAN
2015,6,26,4,40,72,1.6,2.4,0.12,NAN,NAN,NAN,NAN,19.9,20.3,17.6,NAN,NAN
2015,6,26,4,50,68,1.7,2.3,0.12,NAN,NAN,NAN,NAN,19.9,20.3,17.2,NAN,NAN
2015,6,26,5,0,65,1.8,2.3,0.12,NAN,NAN,NAN,NAN,20,20.3,16.8,NAN,NAN
2015,6,26,5,10,39,1.9,2.4,0.13,NAN,NAN,NAN,NAN,20,20.3,17.1,NAN,NAN
2015,6,26,5,20,41,2.5,3,0.12,NAN,NAN,NAN,NAN,19.9,20.3,17.6,NAN,NAN
2015,6,26,5,30,43,2.1,2.5,0.14,NAN,NAN,NAN,NAN,19.8,20.2,18,NAN,NAN
2015,6,26,5,40,45,2.4,2.8,0.14,NAN,NAN,75,NAN,19.8,20.2,17.9,NAN,NAN
2015,6,26,5,50,39,2.7,3.3,0.14,NAN,NAN,NAN,NAN,19.8,20.2,17.6,NAN,NAN
2015,6,26,6,0,34,3.2,3.7,0.13,NAN,NAN,NAN,NAN,19.8,20.2,17.5,NAN,NAN
2015,6,26,6,10,25,3.3,3.9,0.13,NAN,NAN,NAN,NAN,19.7,20.2,17.7,NAN,NAN
2015,6,26,6,20,23,3.2,3.8,0.13,NAN,NAN,NAN,NAN,19.6,20.2,17.8,NAN,NAN
