"","Date","Q","LogQ","ConcLow","ConcHigh","Uncen","ConcAve","Julian","Month","Day","DecYear","MonthSeq","waterYear","SinDY","CosDY","yHat","SE","ConcHat"
"12",2011-04-28,29.7326886871112,3.39224706975607,0.325,0.325,1,0.325,58921,4,119,2011.32203196347,1936,2011,0.899317446417444,-0.437296387555634,-1.83742395529126,0.603850179837629,0.191071717819588
"13",2011-06-01,7.73049905864892,2.04517342178946,0.193,0.193,1,0.193,58955,6,153,2011.4151826484,1938,2011,0.508053281369417,-0.861325643000235,-1.87443751057219,0.526448325501811,0.176247928445357
"14",2011-06-29,2.86000148323641,1.05082214344576,0.1435,0.1435,1,0.1435,58983,6,181,2011.49189497717,1938,2011,0.0509033516486883,-0.998703584048305,-1.82859320421951,0.554955101206484,0.187382064267613
"15",2011-07-19,0.60031714301596,-0.510297191717536,0.082,0.082,1,0.082,59003,7,201,2011.54668949772,1939,2011,-0.289169123098079,-0.957278025573912,-1.85452607493062,0.469722969495299,0.174783670049372
"16",2011-07-27,2.86000148323641,1.05082214344576,0.126,0.126,1,0.126,59011,7,209,2011.56860730594,1939,2011,-0.417845352503948,-0.908518167892559,-1.76462189901393,0.518268685857315,0.195866752790576
"17",2011-08-14,3.99267533798351,1.38446151698267,0.147,0.147,1,0.147,59029,8,227,2011.61792237443,1940,2011,-0.674973016225194,-0.737842413641195,-1.70027780994172,0.503892595699686,0.207354801524456
"18",2011-08-15,33.1307102513525,3.5004606543963,0.36,0.36,1,0.36,59030,8,228,2011.62066210046,1940,2011,-0.687573755941565,-0.726114543402354,-1.1795539104964,0.476311806997294,0.344342856615142
"19",2011-08-17,9.28792560892617,2.22871523498864,0.307,0.307,1,0.307,59032,8,230,2011.62614155251,1940,2011,-0.712160333049122,-0.702016851671926,-1.45593598915275,0.459475987801413,0.259142572058055
"20",2011-08-18,3.68119002792806,1.30323607706008,0.178,0.178,1,0.178,59033,8,231,2011.62888127854,1940,2011,-0.724138884905592,-0.689654170847741,-1.75447851057858,0.496058171196039,0.19564731459546
"21",2011-08-30,0.654119151116447,-0.424465755867754,0.073,0.073,1,0.073,59045,8,243,2011.66175799087,1940,2011,-0.850194923914153,-0.526468034500298,-1.93708488369522,0.436004777477688,0.158494592858593
"22",2011-09-21,6.20138935474034,1.824773356421,0.181,0.181,1,0.181,59067,9,265,2011.72203196347,1941,2011,-0.984599464975552,-0.174825323022317,-1.66474215809342,0.418694318976036,0.20657542237873
"23",2011-10-18,4.13425956982689,1.41930824831283,0.07,0.07,1,0.07,59094,10,292,2011.79600456621,1942,2012,-0.958513611322094,0.285046762672861,-1.86169778355242,0.350502647308447,0.165253977546466
"24",2011-10-25,7.8720832904923,2.06332274029513,0.139,0.139,1,0.139,59101,10,299,2011.8151826484,1942,2012,-0.917298249052725,0.398200856710286,-1.66616890560731,0.367560362224048,0.202175611445262
"25",2011-11-14,4.55901226535705,1.51710599158896,0.108,0.108,1,0.108,59121,11,319,2011.86997716895,1943,2012,-0.729066819380057,0.684442527082477,-2.04562681896221,0.344750453173459,0.137215803909331
"26",2011-11-15,80.4198436870437,4.38726095775975,0.393,0.393,1,0.393,59122,11,320,2011.87271689498,1943,2012,-0.717177247277203,0.696890806359141,-1.06410406324249,0.510113406610945,0.392980133437447
"27",2011-11-17,22.7101107876792,3.12281023447101,0.47,0.47,1,0.47,59124,11,322,2011.87819634703,1943,2012,-0.692764143890903,0.721164226053334,-1.40637362719729,0.461538731880747,0.272568689063797
"28",2011-11-18,10.9019858519408,2.38894496089228,0.28,0.28,1,0.28,59125,11,323,2011.88093607306,1943,2012,-0.680247846738157,0.732982173731463,-1.72002030051768,0.383646145739834,0.192737114821718
"29",2011-11-22,7.02257789943198,1.94913037276948,0.139,0.139,1,0.139,59129,11,327,2011.89189497717,1943,2012,-0.62820491466974,0.778047932446828,-1.93741664734562,0.352189082249665,0.153293932596011
"30",2011-11-29,144.982253407628,4.97661134463805,0.3794,0.3794,1,0.3794,59136,11,334,2011.91107305936,1943,2012,-0.530122005681431,0.847921375536846,-0.84267346429676,0.525695501829434,0.494357873409089
"31",2011-11-30,147.530769580809,4.99403676135191,0.282,0.282,1,0.282,59137,11,335,2011.91381278539,1943,2012,-0.515447889757259,0.856920925724648,-0.809194050416449,0.5223830610184,0.510302281921389
"32",2011-12-04,10.0241636145118,2.30499853973827,0.135,0.135,1,0.135,59141,12,339,2011.9247716895,1944,2012,-0.45526819636036,0.890354350459852,-1.84970411106096,0.385485051234617,0.169414865174549
"33",2011-12-05,50.6871549999325,3.9256725254393,0.14,0.14,1,0.14,59142,12,340,2011.92751141553,1944,2012,-0.439874756925711,0.898059128465129,-1.20208074041624,0.52372376589571,0.344749418536342
"34",2011-12-06,202.182283072356,5.30916968193813,0.346,0.346,1,0.346,59143,12,341,2011.93025114155,1944,2012,-0.424350973105675,0.905497792169736,-0.679224028301196,0.528395414877382,0.582967890155032
"35",2011-12-07,172.732762848932,5.1517456767659,0.3385,0.3385,1,0.3385,59144,12,342,2011.93299086758,1944,2012,-0.40870144493405,0.91266813733625,-0.761112691366482,0.535092377869818,0.539047942481189
"36",2011-12-14,5.80495350557886,1.75871160574291,0.091,0.091,1,0.091,59151,12,349,2011.95216894977,1944,2012,-0.29602778489416,0.955179329011394,-2.17218314733285,0.353756439996295,0.12128509619257
"37",2012-01-16,6.05980512289695,1.80167764162635,0.113,0.113,1,0.113,59184,1,16,2012.04246357013,1945,2012,0.263652260065906,0.964617792580118,-2.43216340954007,0.39713522429375,0.0950544668556713
"38",2012-01-17,78.720832904923,4.36590783328918,0.319,0.319,1,0.319,59185,1,17,2012.04519581056,1945,2012,0.28017235741584,0.959949712297499,-1.21781802719561,0.556340606356107,0.345397071439831
"39",2012-01-18,105.621836955167,4.65986513924236,0.599,0.599,1,0.599,59186,1,18,2012.047928051,1945,2012,0.296609886686059,0.954998730428519,-1.10879899476454,0.54968455747114,0.383765941949794
"40",2012-01-19,30.8653625418583,3.42963460182769,0.345,0.345,1,0.345,59187,1,19,2012.05066029144,1945,2012,0.312960003659512,0.94976630605083,-1.75778672679015,0.532401530552906,0.198679753005226
"41",2012-01-21,7.07921159216934,1.95716254446674,0.139,0.139,1,0.139,59189,1,21,2012.05612477231,1945,2012,0.345378754085818,0.938463380333046,-2.43288215466768,0.400028468791311,0.0950957722033102
"42",2012-02-16,14.7247601117122,2.68953043817997,0.052,0.052,1,0.052,59215,2,47,2012.12716302368,1946,2012,0.716651243729211,0.697431713403811,-2.22154076675956,0.474245076870199,0.121348759386774
"43",2012-03-22,12.1196102457939,2.49482482218629,0.135,0.135,1,0.135,59250,3,82,2012.22279143898,1947,2012,0.985422504932867,0.17012491520008,-2.3548988522715,0.491749573468064,0.107100243198666
"44",2012-03-27,5.80495350557886,1.75871160574291,0.114,0.114,1,0.114,59255,3,87,2012.23645264117,1947,2012,0.996379431488179,0.0850178128823171,-2.46125191843816,0.493387118940038,0.0963722970302973
"45",2012-04-25,0.877822237428998,-0.130311168910356,0.055,0.055,1,0.055,59284,4,116,2012.31568761384,1948,2012,0.916030225866347,-0.401109243597364,-2.07468399090196,0.519964079146825,0.143775435966985
"46",2012-05-15,0.948614353350691,-0.0527529345644817,0.101,0.101,1,0.101,59304,5,136,2012.37033242259,1949,2012,0.727537243519466,-0.686068188514886,-2.07507957178373,0.527901595441823,0.144317503014151
"47",2012-06-27,0.319980363966054,-1.13949564767721,0.178,0.178,1,0.178,59347,6,179,2012.48781876138,1950,2012,0.076462276930807,-0.997072474901678,-2.08809331088014,0.478032293755885,0.138922941962618
"48",2012-06-28,0.294495202234244,-1.22249256724818,0.232,0.232,1,0.232,59348,6,180,2012.49055100182,1950,2012,0.059334935144443,-0.998238130643888,-2.13345299163638,0.472013865040327,0.132383211187243
"49",2012-07-16,0.27382390438511,-1.2952700639303,0.338,0.338,1,0.338,59366,7,198,2012.53973132969,1951,2012,-0.247054463186855,-0.96900159557116,-2.13999516867304,0.44305592771518,0.129788913422294
"50",2012-07-18,0.207562483882405,-1.57232285749694,0.081,0.081,1,0.081,59368,7,200,2012.54519581056,1951,2012,-0.280172357416157,-0.959949712297406,-2.06194007192219,0.464085600678749,0.141670357015559
"51",2012-07-26,0.281186284440966,-1.26873789533842,0.25,0.25,1,0.25,59376,7,208,2012.56705373406,1951,2012,-0.408957195348192,-0.912553566851251,-2.11871543787115,0.451364900874577,0.133073948568322
"52",2012-08-09,0.385109110614012,-0.954228580653496,0.108,0.108,1,0.108,59390,8,222,2012.60530510018,1952,2012,-0.614420654476669,-0.78897861780435,-2.05806287272886,0.454491496334268,0.141595395966956
"53",2012-09-05,1.04772331564106,0.0466195392487221,0.096,0.096,1,0.096,59417,9,249,2012.67907559199,1953,2012,-0.902338781301466,-0.431027520883975,-2.04717793526702,0.427625845991953,0.141458908525366
"54",2012-10-10,2.15774369329321,0.769063089297098,0.153,0.153,1,0.153,59452,10,284,2012.77470400729,1954,2013,-0.987977565565678,0.154597315432435,-2.10805178518801,0.372837453556233,0.130217662490275
"55",2012-10-11,1.43000074161821,0.357674962885812,0.136,0.136,1,0.136,59453,10,285,2012.77743624772,1954,2013,-0.985178116307954,0.171534483844826,-2.1633945712603,0.37838072340392,0.123463639244293
"56",2012-10-25,0.631465674021505,-0.459711694929429,0.161,0.161,1,0.161,59467,10,299,2012.81568761384,1954,2013,-0.916030225866214,0.401109243597667,-2.27992729103696,0.379965572546142,0.109948811348473
"57",2012-10-28,28.6000148323641,3.3534072364398,0.337,0.337,1,0.337,59470,10,302,2012.82388433515,1954,2013,-0.894167047736291,0.447733504154609,-1.13675515511763,0.483446415717368,0.360632827463961
"58",2012-10-30,257.683301954964,5.55173131910944,0.479,0.479,1,0.479,59472,10,304,2012.82934881603,1954,2013,-0.878270439432575,0.47816423456686,-0.717513300366168,0.47247586242908,0.545585046605139
"59",2012-11-01,202.182283072356,5.30916968193813,0.2885,0.2885,1,0.2885,59474,11,306,2012.8348132969,1955,2013,-0.86133858608849,0.508031337729358,-0.660135284181176,0.468741114919083,0.576790497435563
"60",2012-11-02,55.5010188826076,4.01640137882906,0.221,0.221,1,0.221,59475,11,307,2012.83754553734,1955,2013,-0.852490632401436,0.522742500345821,-1.04983889706573,0.490779892653434,0.394787968998193
"61",2012-11-07,6.14475566200299,1.81559898014496,0.157,0.157,1,0.157,59480,11,312,2012.85120673953,1955,2013,-0.804537095722025,0.593902400742049,-1.86390075677439,0.348587647207177,0.164779990972201
"62",2012-12-08,11.1851543156276,2.41458739150562,0.166,0.166,1,0.166,59511,12,343,2012.93590619308,1956,2013,-0.391915989247315,0.920001009440913,-1.80073896891742,0.391564320679682,0.178337463661679
"63",2012-12-10,25.9099144273398,3.25462569188002,0.26,0.26,1,0.26,59513,12,345,2012.94137067395,1956,2013,-0.360103580260806,0.932912327865459,-1.39597555760529,0.50372044359322,0.281082118704624
"64",2012-12-11,40.4930903072086,3.70113134985845,0.3705,0.3705,1,0.3705,59514,12,346,2012.94410291439,1956,2013,-0.344035837520342,0.938956517897222,-1.2614035913938,0.530621563862761,0.326076269526597
"65",2012-12-12,18.2077322150595,2.90184635084212,0.316,0.316,1,0.316,59515,12,347,2012.94683515483,1956,2013,-0.327866705837747,0.944723993134029,-1.62513914306789,0.45284546768617,0.218142963717203
"66",2012-12-18,18.7740691424331,2.93247661679036,0.118,0.118,1,0.118,59521,12,353,2012.96322859745,1956,2013,-0.228991508521535,0.97342842008287,-1.61484268833985,0.460187942107325,0.221140680351198
"67",2012-12-22,45.3069541898838,3.81346053483237,0.256,0.256,1,0.256,59525,12,357,2012.9741575592,1956,2013,-0.161660292580595,0.986846467188669,-1.27202911205348,0.535765096104466,0.323515907562093
"68",2012-12-25,10.5055500027793,2.35190368921193,0.204,0.204,1,0.204,59528,12,360,2012.98235428051,1956,2013,-0.110644318284055,0.993860068033451,-1.99886104136416,0.390222252710737,0.146208098762432
"69",2013-01-09,9.17465822345146,2.21644514239683,0.08,0.08,1,0.08,59543,1,9,2013.02340182648,1957,2013,0.146508753471873,0.98920937377085,-2.14528206009172,0.389487194223947,0.126257485327747
"70",2013-01-10,33.6970471787261,3.51741021271007,0.151,0.151,1,0.151,59544,1,10,2013.02614155251,1957,2013,0.163514659883465,0.986540904374063,-1.50258938363491,0.532763756370527,0.256488673412061
"71",2013-01-11,69.9426105306331,4.24767505622652,0.5,0.5,1,0.5,59545,1,11,2013.02888127854,1957,2013,0.180472113370604,0.983580101616308,-1.18680614971986,0.551570595687405,0.355336131316507
"72",2013-01-13,62.2970620110902,4.1319142659509,0.435,0.435,1,0.435,59547,1,13,2013.03436073059,1957,2013,0.214221577987559,0.976785091780439,-1.25215582424043,0.548127252262765,0.332227905938506
"73",2013-01-15,46.1564595809441,3.83203692040531,0.295,0.295,1,0.295,59549,1,15,2013.03984018265,1957,2013,0.247717147507202,0.968832397698846,-1.40030982290169,0.544358194806376,0.285890359293943
"74",2013-01-29,10.533866849148,2.35459548087764,0.079,0.079,1,0.079,59563,1,29,2013.07819634703,1957,2013,0.471792042950811,0.881709854888954,-2.25112035261043,0.42039460960768,0.115007890639429
"75",2013-01-30,46.4396280446309,3.83815314742274,0.21,0.21,1,0.21,59564,1,30,2013.08093607306,1957,2013,0.486899327627767,0.873458095592243,-1.44714668890613,0.547552957173859,0.273285137693362
