Date,Units,Result Value
2013-09-25,mg/L,0.085502
2012-09-24,mg P/L        ,0.095
2009-09-02,mg/L,0.091
2008-09-02,mg/L,0.085
2008-09-17,mg/L,0.062
2006-09-14,mg/L,0.049
2011-09-13,mg/L,0.071
2010-09-13,mg/L,0.078
2013-09-12,mg/L,0.070728
2012-09-11,mg P/L        ,0.108
2007-09-10,mg/L,0.073
2009-08-05,mg/L,0.093
2012-08-29,mg P/L        ,0.122
2007-08-28,mg/L,0.074
2013-08-26,mg/L,0.095963
2010-08-23,mg/L,0.114
2006-08-23,mg/L,0.24
2008-08-19,mg/L,0.124
2011-08-15,mg/L,0.069
2007-08-14,mg/L,0.116
2010-08-11,mg/L,0.139
2009-08-10,mg/L,0.063
2006-08-01,mg/L,0.078
2008-07-09,mg/L,0.084
2013-07-08,mg/L,0.069854
2008-07-31,mg/L,0.149
2011-07-28,mg/L,0.133
2012-07-25,mg P/L        ,0.123
2007-07-25,mg/L,0.173
2013-07-23,mg/L,0.075646
2011-07-21,mg/L,0.101
2009-07-21,mg/L,0.059
2006-07-13,mg/L,0.077
2010-06-07,mg/L,0.066
2013-06-03,mg/L,0.091289
2007-06-28,mg/L,0.054
2011-06-20,mg/L,0.08
2006-06-19,mg/L,0.064
2012-06-18,mg P/L        ,0.063
2009-06-18,mg/L,0.062
2008-06-17,mg/L,0.055
2007-06-11,mg/L,0.069
2010-05-05,mg/L,0.052
2012-05-04,mg P/L        ,0.102
2008-05-28,mg/L,0.082
2011-05-26,mg/L,0.088
2012-05-23,mg P/L        ,0.086
2010-05-21,mg/L,0.071
2013-05-20,mg/L,0.077728
2009-05-18,mg/L,0.035
2011-05-17,mg/L,0.062
2007-05-17,mg/L,0.053
2006-05-17,mg/L,0.048
2012-04-09,mg P/L        ,0.067
2010-04-07,mg/L,0.034
2008-04-03,mg/L,0.025
2006-04-25,mg/L,0.035
2007-04-24,mg/L,0.021
2009-04-22,mg/L,0.064
2011-04-20,mg/L,0.133
2007-04-02,mg/L,0.015
2013-04-19,mg/L,0.061355
2008-04-17,mg/L,0.039
2009-04-14,mg/L,0.057
2013-04-01,mg/L,0.051958
2010-03-09,mg/L,0.058
2009-03-09,mg/L,0.066
2012-03-06,mg P/L        ,0.035
2011-03-28,mg/L,0.032
2012-03-27,mg P/L        ,0.098
2009-03-26,mg/L,0.027
2010-03-24,mg/L,0.048
2011-03-21,mg/L,0.047
2008-03-19,mg/L,0.033
2007-03-15,mg/L,0.027
2006-03-14,mg/L,0.043
2011-11-08,mg/L,0.065
2010-11-08,mg/L,0.083
2007-11-08,mg/L,0.045
2006-11-08,mg/L,0.055
2008-11-05,mg/L,0.035
2013-11-18,mg/L,0.062597
2009-11-12,mg/L,0.048
2013-11-01,mg/L,0.069981
2012-10-09,mg P/L        ,0.099
2009-10-07,mg/L,0.049
2008-10-21,mg/L,0.092
2006-10-02,mg/L,0.099
2012-10-19,mg P/L        ,0.065
2006-10-19,mg/L,0.079
2011-10-18,mg/L,0.057
2010-10-12,mg/L,0.109
2007-10-10,mg/L,0.119
2010-10-01,mg/L,0.065
2006-01-31,mg/L,0.058
