Date,Units,Result Value
2013-09-25,mg/L,0.1166
2012-09-24,mg P/L        ,0.128
2009-09-02,mg/L,0.146
2008-09-02,mg/L,0.132
2008-09-17,mg/L,0.162
2006-09-14,mg/L,0.192
2011-09-13,mg/L,0.128
2010-09-13,mg/L,0.131
2013-09-12,mg/L,0.164
2012-09-11,mg P/L        ,0.133
2007-09-10,mg/L,0.13
2009-08-05,mg/L,0.138
2012-08-29,mg P/L        ,0.162
2007-08-28,mg/L,0.142
2013-08-26,mg/L,0.128
2010-08-23,mg/L,0.18
2006-08-23,mg/L,0.33
2008-08-19,mg/L,0.17
2011-08-15,mg/L,0.112
2007-08-14,mg/L,0.171
2010-08-11,mg/L,0.188
2009-08-10,mg/L,0.22
2006-08-01,mg/L,0.131
2008-07-09,mg/L,0.141
2013-07-08,mg/L,0.1181
2008-07-31,mg/L,0.22
2011-07-28,mg/L,0.345
2012-07-25,mg P/L        ,0.243
2007-07-25,mg/L,0.24
2013-07-23,mg/L,0.1439
2011-07-21,mg/L,0.16
2009-07-21,mg/L,0.128
2006-07-13,mg/L,0.158
2010-06-07,mg/L,0.16
2013-06-03,mg/L,0.1607
2007-06-28,mg/L,0.183
2011-06-20,mg/L,0.129
2006-06-19,mg/L,0.182
2012-06-18,mg P/L        ,0.142
2009-06-18,mg/L,0.117
2008-06-17,mg/L,0.115
2007-06-11,mg/L,0.126
2010-05-05,mg/L,0.131
2012-05-04,mg P/L        ,0.278
2008-05-28,mg/L,0.145
2011-05-26,mg/L,0.209
2012-05-23,mg P/L        ,0.131
2010-05-21,mg/L,0.115
2013-05-20,mg/L,0.1101
2009-05-18,mg/L,0.124
2011-05-17,mg/L,0.136
2007-05-17,mg/L,0.26
2006-05-17,mg/L,0.145
2012-04-09,mg P/L        ,0.1
2010-04-07,mg/L,0.123
2008-04-03,mg/L,0.091
2006-04-25,mg/L,0.089
2007-04-24,mg/L,0.076
2009-04-22,mg/L,0.136
2011-04-20,mg/L,0.367
2007-04-02,mg/L,0.069
2013-04-19,mg/L,0.1656
2008-04-17,mg/L,0.083
2009-04-14,mg/L,0.093
2013-04-01,mg/L,0.1032
2010-03-09,mg/L,0.12
2009-03-09,mg/L,0.23
2012-03-06,mg P/L        ,0.067
2011-03-28,mg/L,0.08
2012-03-27,mg P/L        ,0.124
2009-03-26,mg/L,0.076
2010-03-24,mg/L,0.085
2011-03-21,mg/L,0.24
2008-03-19,mg/L,0.138
2007-03-15,mg/L,0.141
2006-03-14,mg/L,0.21
2011-11-08,mg/L,0.092
2010-11-08,mg/L,0.113
2007-11-08,mg/L,0.073
2006-11-08,mg/L,0.143
2008-11-05,mg/L,0.077
2013-11-18,mg/L,0.1378
2009-11-12,mg/L,0.075
2013-11-01,mg/L,0.1709
2012-10-09,mg P/L        ,0.151
2009-10-07,mg/L,0.102
2008-10-21,mg/L,0.138
2006-10-02,mg/L,0.163
2012-10-19,mg P/L        ,0.115
2006-10-19,mg/L,0.23
2011-10-18,mg/L,0.1
2010-10-12,mg/L,0.146
2007-10-10,mg/L,0.21
2010-10-01,mg/L,0.119
2006-01-31,mg/L,0.187
