Date,Month,"*Orthophosphate, water, filtered, as PO4 [mg m-3]"
2001-09-17,9,0.061
2001-09-18,9,0.061
2001-11-19,11,0.061
2002-01-23,1,0.061
2002-03-13,3,0.061
2002-05-02,5,0.123
2002-06-05,6,0.061
2002-07-08,7,0.061
2002-08-20,8,0.061
2002-08-28,8,0.061
2002-11-11,11,0.061
2002-12-10,12,0.061
2003-02-02,2,0.061
2003-04-22,4,0.061
2003-05-01,5,0.061
2003-06-12,6,0.061
2003-07-22,7,0.061
2003-08-05,8,0.058
2003-09-08,9,0.552
2011-04-27,4,0.023
2011-05-26,5,0.051
2011-06-16,6,0.016
2011-07-19,7,0.023
2011-07-27,7,0.044
2011-07-28,7,0.012
2011-07-29,7,0.032
2011-07-31,7,0.097
2011-08-02,8,0.067
2011-08-08,8,0.031
2011-08-09,8,0.05
2011-08-18,8,0.021
2011-09-20,9,0.019
2011-10-20,10,0.012
2011-11-16,11,0.012
2011-11-30,11,0.049
2011-12-01,12,0.045
2011-12-03,12,0.036
2011-12-21,12,0.05
2012-01-24,1,0.013
2012-02-23,2,0.012
2012-03-16,3,0.012
2012-03-19,3,0.012
2012-04-18,4,0.012
2012-05-17,5,0.012
2012-06-21,6,0.013
2012-07-05,7,0.089
2012-07-18,7,0.02
2012-08-15,8,0.017
2012-09-19,9,0.013
2012-10-18,10,0.012
2012-11-15,11,0.013
2012-12-19,12,0.012
2013-01-14,1,0.012
2013-01-17,1,0.012
2013-01-29,1,0.012
2013-01-30,1,0.012
2013-01-31,1,0.012
2013-02-21,2,0.012
2013-03-11,3,0.012
2013-03-12,3,0.012
2013-03-13,3,0.012
2013-03-20,3,0.012
2013-04-13,4,0.012
2013-04-14,4,0.012
2013-04-17,4,0.012
2013-04-18,4,0.012
2013-04-19,4,0.012
2013-05-23,5,0.012
2013-06-18,6,0.012
2013-06-27,6,0.012
2013-07-17,7,0.023
2013-08-21,8,0.019
2013-09-17,9,0.117
2014-12-18,12,0.012
2015-01-22,1,0.012
2015-02-25,2,0.012
2015-03-18,3,0.036
2015-04-22,4,0.012
2015-05-27,5,0.014
2015-06-01,6,0.058
2015-06-18,6,0.017
2015-06-24,6,0.012
2015-07-21,7,0.051
2015-08-19,8,0.012
2015-09-22,9,0.012
2015-10-08,10,0.017
2015-11-12,11,0.012
2015-12-09,12,0.012
2016-01-06,1,0.012
2016-02-10,2,0.012
2016-03-03,3,0.012
2016-04-05,4,0.012
2016-05-11,5,0.012
2016-06-15,6,0.0125
2016-07-20,7,0.012
2016-08-03,8,0.014
2016-09-21,9,0.012
