Date,Units,Result Value
2012-09-24,mg N/L        ,ND
2012-09-11,mg N/L        ,ND
2012-08-30,mg N/L        ,0.006
2013-08-20,mg/L,0.043986
2010-08-11,mg/L,0.001
2011-08-01,mg/L,
2012-07-25,mg N/L        ,0.011
2010-07-19,mg/L,0.6
2013-06-03,mg/L,10.1346
2011-06-20,mg/L,1.13
2012-06-19,mg N/L        ,1
2012-05-04,mg N/L        ,0.354
2012-05-23,mg N/L        ,0.197
2010-05-21,mg/L,4.8
2012-04-09,mg N/L        ,0.987
2013-04-01,mg/L,3.9128
2012-03-06,mg N/L        ,6.28
2011-03-29,mg/L,5.38
2012-03-27,mg N/L        ,2.17
2013-10-29,mg/L,0.154709
2012-10-19,mg N/L        ,0.047
2011-10-18,mg/L,
2010-10-12,mg/L,
2012-10-10,mg N/L        ,0.066
