Date,code,"Silica, mg/L"
2011-04-19,0,3.69
2011-04-22,0,7.17
2011-04-23,0,6.69
2011-04-24,0,7.036666666666666
2011-04-25,0,6.8875
2011-04-26,0,6.586666666666667
2011-04-27,0,7.333333333333333
2011-04-28,0,7.646666666666667
2011-04-29,0,8.055
2011-04-30,0,7.7
2011-05-01,0,7.45
2011-05-02,0,6.973333333333334
2011-05-03,0,6.425
2011-05-04,0,6.603333333333334
2011-05-05,0,6.984999999999999
2011-05-06,0,6.52
2011-05-07,0,6.44
2011-05-08,0,6.55
2011-05-09,0,5.12
2011-05-10,0,3.95
2011-05-11,0,4.546666666666667
2011-05-12,0,5.273333333333333
2011-05-13,0,5.625
2011-05-14,0,5.109999999999999
2011-05-15,0,6.460000000000001
2011-05-16,0,7.8225
2011-05-17,0,8.715
2011-05-18,0,8.615
2011-05-19,0,7.086666666666667
2011-05-20,0,7.775
2011-05-21,0,8.46
2011-05-22,0,8.15
2011-05-23,0,7.496666666666667
2011-05-24,0,6.65
2011-05-25,0,6.37
2011-05-26,0,5.243333333333333
2011-05-27,0,5.673333333333333
2011-05-28,0,6.7299999999999995
2011-05-29,0,7.126666666666668
2011-05-30,0,6.733333333333334
2011-05-31,0,8.656666666666666
2011-06-01,0,8.476666666666667
2011-06-02,0,8.32
2011-06-06,0,5.095000000000001
2011-06-07,0,3.94
2011-06-08,0,2.53
2011-06-09,0,1.35
2011-06-10,0,2.48
2011-06-11,0,3.11
2011-06-12,0,3.12
2011-06-13,0,2.723333333333333
2011-06-14,0,1.04
2011-06-15,0,0.5
2011-06-16,0,0.88
2011-06-17,0,1.11
2011-06-18,0,2.41
2011-06-19,0,1.71
2011-06-20,0,3.19
2011-06-21,0,6.41
2011-06-22,0,7.23
2011-06-23,0,7.12
2011-06-24,0,6.91
2011-06-25,0,6.94
2011-06-26,0,5.98
2011-06-27,0,5.505
2011-06-28,0,4.34
2011-06-29,0,3.12
2011-06-30,0,2.0
2011-07-01,0,1.07
2011-07-02,0,0.83
2011-07-03,0,1.37
2011-07-04,0,1.37
2011-07-05,0,1.6099999999999999
2011-07-06,0,1.72
2011-07-07,0,1.73
2011-07-08,0,1.8
2011-07-09,0,1.57
2011-07-10,0,1.56
2011-07-11,0,1.93
2011-07-12,0,3.42
2011-07-13,0,6.04
2011-07-14,0,6.32
2011-07-15,0,6.37
2011-07-16,0,5.89
2011-07-17,0,5.22
2011-07-18,0,4.566666666666666
2011-07-19,0,4.125
2011-07-20,0,6.79
2011-07-21,0,7.43
2011-07-22,0,5.550000000000001
2011-07-23,0,7.6066666666666665
2011-07-24,0,7.115
2011-07-25,0,9.865
2011-07-26,0,13.165
2011-07-27,0,12.68
2011-07-28,0,11.9
2011-08-01,0,6.6933333333333325
2011-08-02,0,7.866666666666667
2011-08-03,0,8.555
2011-08-04,0,8.24
2011-08-05,0,5.84
2011-08-06,0,4.83
