Date,Units,Result Value
2013-09-25,mg/L,2.247518
2012-09-24,mg N/L        ,3.28
2011-09-13,mg/L,1.5
2010-09-13,mg/L,2.5
2013-09-12,mg/L,0.91522
2012-09-11,mg N/L        ,2.38
2012-08-29,mg N/L        ,2.77
2013-08-26,mg/L,2.997273
2010-08-23,mg/L,1.92
2011-08-15,mg/L,1.27
2010-08-11,mg/L,3.4
2013-07-08,mg/L,1.212416
2011-07-28,mg/L,0.635
2012-07-25,mg N/L        ,2.89
2013-07-23,mg/L,1.304302
2011-07-21,mg/L,2.17
2010-06-07,mg/L,0.9
2013-06-03,mg/L,1.5083
2011-06-20,mg/L,1.93
2012-06-18,mg N/L        ,1.76
2010-05-05,mg/L,1.35
2012-05-04,mg N/L        ,0.629
2011-05-26,mg/L,0.66
2012-05-23,mg N/L        ,1.88
2010-05-21,mg/L,1.39
2013-05-20,mg/L,2.175989
2011-05-17,mg/L,1.28
2012-04-09,mg N/L        ,1.61
2010-04-07,mg/L,0.92
2011-04-20,mg/L,2.24
2013-04-19,mg/L,0.927225
2013-04-01,mg/L,1.939204
2010-03-09,mg/L,1.45
2012-03-06,mg N/L        ,1.46
2011-03-28,mg/L,2.15
2012-03-27,mg N/L        ,1.59
2010-03-24,mg/L,1.6
2011-03-21,mg/L,1.21
2011-11-08,mg/L,1.64
2010-11-08,mg/L,2.8
2013-11-18,mg/L,0.805093
2013-11-01,mg/L,0.773215
2012-10-09,mg N/L        ,3.25
2012-10-19,mg N/L        ,1.88
2011-10-18,mg/L,2.16
2010-10-12,mg/L,3.1
2010-10-01,mg/L,1.8
