Date,Units,Result Value
2010-09-13,mg/L,0.105
2009-08-05,mg/L,0.062
2012-08-29,mg P/L        ,0.104
2006-08-24,mg/L,0.049
2010-08-23,mg/L,0.086
2013-08-20,mg/L,0.0496
2011-08-02,mg/L,0.093
2007-08-14,mg/L,0.056
2010-08-11,mg/L,0.076
2008-07-31,mg/L,0.089
2010-07-19,mg/L,0.087
2010-06-07,mg/L,0.22
2013-06-04,mg/L,0.0788
2011-06-20,mg/L,0.073
2006-06-20,mg/L,0.122
2012-06-18,mg P/L        ,0.063
2008-06-18,mg/L,0.054
2009-06-15,mg/L,0.084
2007-06-11,mg/L,0.064
2010-05-05,mg/L,0.103
2010-05-21,mg/L,0.097
2012-04-09,mg P/L        ,0.071
2010-04-07,mg/L,0.081
2006-04-26,mg/L,0.093
2007-04-02,mg/L,0.073
2008-04-17,mg/L,0.04
2009-04-14,mg/L,0.038
2013-04-01,mg/L,0.1033
2011-03-28,mg/L,0.016
2010-03-24,mg/L,0.063
2010-11-08,mg/L,0.131
2012-10-09,mg P/L        ,0.184
2009-10-07,mg/L,0.07
2013-10-30,mg/L,0.0527
2008-10-21,mg/L,0.085
2006-10-02,mg/L,0.066
2011-10-18,mg/L,0.18
2010-10-12,mg/L,0.103
2007-10-10,mg/L,0.068
2010-10-01,mg/L,0.155
