Date,Units,Result Value
2010-09-13,mg/L,0.058
2009-08-05,mg/L,0.028
2012-08-29,mg P/L        ,0.056
2006-08-24,mg/L,0.015
2010-08-23,mg/L,0.048
2013-08-20,mg/L,0.0172
2011-08-02,mg/L,0.045
2007-08-14,mg/L,0.028
2010-08-11,mg/L,0.039
2008-07-31,mg/L,0.024
2010-07-19,mg/L,0.04
2010-06-07,mg/L,0.082
2013-06-04,mg/L,0.047131
2011-06-20,mg/L,0.024
2006-06-20,mg/L,0.039
2012-06-18,mg P/L        ,0.033
2008-06-18,mg/L,0.018
2009-06-15,mg/L,0.034
2007-06-11,mg/L,0.014
2010-05-05,mg/L,0.04
2010-05-21,mg/L,0.046
2012-04-09,mg P/L        ,0.037
2010-04-07,mg/L,0.042
2006-04-26,mg/L,0.021
2007-04-02,mg/L,0.01
2008-04-17,mg/L,0.007
2009-04-14,mg/L,0.015
2013-04-01,mg/L,0.03064
2011-03-28,mg/L,0.005
2010-03-24,mg/L,0.026
2010-11-08,mg/L,0.086
2012-10-09,mg P/L        ,0.09
2009-10-07,mg/L,0.025
2013-10-30,mg/L,0.031829
2008-10-21,mg/L,0.043
2006-10-02,mg/L,0.022
2011-10-18,mg/L,0.074
2010-10-12,mg/L,0.059
2007-10-10,mg/L,0.015
2010-10-01,mg/L,0.076
