,Date,"Flow, CFS"
0,1996-01-01,372.0
1,1996-01-02,364.0
2,1996-01-03,343.0
3,1996-01-04,334.0
4,1996-01-05,316.0
5,1996-01-06,290.0
6,1996-01-07,265.0
7,1996-01-08,237.0
8,1996-01-09,237.0
9,1996-01-10,255.0
10,1996-01-11,260.0
11,1996-01-12,265.0
12,1996-01-13,277.0
13,1996-01-14,262.0
14,1996-01-15,262.0
15,1996-01-16,242.0
16,1996-01-17,338.0
17,1996-01-18,520.0
18,1996-01-19,721.0
19,1996-01-20,591.0
20,1996-01-21,563.0
21,1996-01-22,528.0
22,1996-01-23,537.0
23,1996-01-24,564.0
24,1996-01-25,522.0
25,1996-01-26,520.0
26,1996-01-27,528.0
27,1996-01-28,508.0
28,1996-01-29,496.0
29,1996-01-30,425.0
30,1996-01-31,438.0
31,1996-02-01,407.0
32,1996-02-02,363.0
33,1996-02-03,365.0
34,1996-02-04,345.0
35,1996-02-05,340.0
36,1996-02-06,341.0
37,1996-02-07,340.0
38,1996-02-08,363.0
39,1996-02-09,180.0
40,1996-02-10,178.0
41,1996-02-11,273.0
42,1996-02-12,422.0
43,1996-02-13,377.0
44,1996-02-14,376.0
45,1996-02-15,346.0
46,1996-02-16,328.0
47,1996-02-17,334.0
48,1996-02-18,358.0
49,1996-02-19,324.0
50,1996-02-20,361.0
51,1996-02-21,474.0
52,1996-02-22,430.0
53,1996-02-23,392.0
54,1996-02-24,426.0
55,1996-02-25,387.0
56,1996-02-26,446.0
57,1996-02-27,757.0
58,1996-02-28,1010.0
59,1996-02-29,948.0
60,1996-03-01,811.0
61,1996-03-02,763.0
62,1996-03-03,681.0
63,1996-03-04,659.0
64,1996-03-05,661.0
65,1996-03-06,618.0
66,1996-03-07,577.0
67,1996-03-08,542.0
68,1996-03-09,521.0
69,1996-03-10,491.0
70,1996-03-11,490.0
71,1996-03-12,525.0
72,1996-03-13,579.0
73,1996-03-14,569.0
74,1996-03-15,580.0
75,1996-03-16,567.0
76,1996-03-17,543.0
77,1996-03-18,534.0
78,1996-03-19,551.0
79,1996-03-20,599.0
80,1996-03-21,594.0
81,1996-03-22,600.0
82,1996-03-23,588.0
83,1996-03-24,628.0
84,1996-03-25,817.0
85,1996-03-26,827.0
86,1996-03-27,701.0
87,1996-03-28,670.0
88,1996-03-29,641.0
89,1996-03-30,624.0
