"","day","month","year","flow","hyear","baseflow"
"139",18,5,1996,4030,1996,1101.15789473684
"140",19,5,1996,2460,1996,1016.63157894737
"141",20,5,1996,1540,1996,932.105263157895
"142",21,5,1996,1100,1996,847.578947368421
"143",22,5,1996,840,1996,763.052631578947
"144",23,5,1996,688,1996,678.526315789474
"145",24,5,1996,594,1996,594
"146",25,5,1996,540,1996,540
"147",26,5,1996,544,1996,544
"148",27,5,1996,892,1996,550.888888888889
"149",28,5,1996,958,1996,556.333333333333
"150",29,5,1996,1590,1996,561.777777777778
"151",30,5,1996,2210,1996,567.222222222222
"152",31,5,1996,2110,1996,572.666666666667
"153",1,6,1996,1200,1996,578.111111111111
"154",2,6,1996,726,1996,583.555555555556
"155",3,6,1996,589,1996,589
"156",4,6,1996,653,1996,653
"157",5,6,1996,2130,1996,645.923076923077
"158",6,6,1996,2730,1996,638.846153846154
"159",7,6,1996,4900,1996,631.769230769231
"160",8,6,1996,7310,1996,624.692307692308
"161",9,6,1996,5210,1996,617.615384615385
"162",10,6,1996,3530,1996,610.538461538462
"163",11,6,1996,2290,1996,603.461538461538
"164",12,6,1996,1640,1996,596.384615384615
"165",13,6,1996,1280,1996,589.307692307692
"166",14,6,1996,1110,1996,582.230769230769
"167",15,6,1996,947,1996,575.153846153846
"168",16,6,1996,689,1996,568.076923076923
"169",17,6,1996,561,1996,561
"170",18,6,1996,756,1996,542.961538461538
"171",19,6,1996,1200,1996,524.923076923077
"172",20,6,1996,1040,1996,506.884615384615
"173",21,6,1996,772,1996,488.846153846154
"174",22,6,1996,702,1996,470.807692307692
"175",23,6,1996,547,1996,452.769230769231
"176",24,6,1996,482,1996,434.730769230769
"177",25,6,1996,487,1996,416.692307692308
"178",26,6,1996,426,1996,398.653846153846
"179",27,6,1996,525,1996,380.615384615385
"180",28,6,1996,423,1996,362.576923076923
"181",29,6,1996,330,1996,330
"182",30,6,1996,267,1996,267
"183",1,7,1996,230,1996,230
"184",2,7,1996,207,1996,207
"185",3,7,1996,185,1996,185
"186",4,7,1996,164,1996,164
"187",5,7,1996,148,1996,148
"188",6,7,1996,130,1996,130
"189",7,7,1996,122,1996,122
"190",8,7,1996,115,1996,115
"191",9,7,1996,107,1996,107
"192",10,7,1996,101,1996,101
"193",11,7,1996,96,1996,96
"194",12,7,1996,95,1996,95
"195",13,7,1996,92,1996,92
"196",14,7,1996,92,1996,92
"197",15,7,1996,129,1996,92.7857142857143
"198",16,7,1996,181,1996,93.5714285714286
"199",17,7,1996,203,1996,94.3571428571429
"200",18,7,1996,196,1996,95.1428571428571
"201",19,7,1996,200,1996,95.9285714285714
"202",20,7,1996,354,1996,96.7142857142857
"203",21,7,1996,606,1996,97.5
"204",22,7,1996,399,1996,98.2857142857143
"205",23,7,1996,258,1996,99.0714285714286
"206",24,7,1996,193,1996,99.8571428571429
"207",25,7,1996,156,1996,100.642857142857
"208",26,7,1996,129,1996,101.428571428571
"209",27,7,1996,110,1996,102.214285714286
"210",28,7,1996,103,1996,103
"211",29,7,1996,103,1996,103
"212",30,7,1996,1020,1996,100.526315789474
"213",31,7,1996,2220,1996,98.0526315789474
"214",1,8,1996,1630,1996,95.5789473684211
"215",2,8,1996,1120,1996,93.1052631578947
"216",3,8,1996,655,1996,90.6315789473684
"217",4,8,1996,412,1996,88.1578947368421
"218",5,8,1996,276,1996,85.6842105263158
"219",6,8,1996,201,1996,83.2105263157895
"220",7,8,1996,149,1996,80.7368421052632
"221",8,8,1996,122,1996,78.2631578947368
"222",9,8,1996,107,1996,75.7894736842105
"223",10,8,1996,94,1996,73.3157894736842
"224",11,8,1996,86,1996,70.8421052631579
"225",12,8,1996,79,1996,68.3684210526316
"226",13,8,1996,78,1996,65.8947368421053
"227",14,8,1996,74,1996,63.421052631579
"228",15,8,1996,64,1996,60.9473684210526
"229",16,8,1996,61,1996,58.4736842105263
"230",17,8,1996,56,1996,56
"231",18,8,1996,53,1996,53
"232",19,8,1996,52,1996,52
"233",20,8,1996,58,1996,52.7
"234",21,8,1996,62,1996,51.6
"235",22,8,1996,58,1996,50.5
"236",23,8,1996,54,1996,49.4
"237",24,8,1996,52,1996,48.3
"238",25,8,1996,50,1996,47.2
"239",26,8,1996,47,1996,46.1
"240",27,8,1996,45,1996,45
"241",28,8,1996,45,1996,44
"242",29,8,1996,55,1996,43
"243",30,8,1996,62,1996,42
"244",31,8,1996,54,1996,41
"245",1,9,1996,48,1996,40
"246",2,9,1996,43,1996,39
"247",3,9,1996,39,1996,38
"248",4,9,1996,37,1996,37
"249",5,9,1996,36,1996,36
"250",6,9,1996,36,1996,36
"251",7,9,1996,39,1996,39
"252",8,9,1996,40,1996,39.2105263157895
"253",9,9,1996,39,1996,39
"254",10,9,1996,45,1996,39.6315789473684
"255",11,9,1996,43,1996,39.8421052631579
"256",12,9,1996,44,1996,40.0526315789474
"257",13,9,1996,48,1996,40.2631578947368
"258",14,9,1996,51,1996,40.4736842105263
"259",15,9,1996,51,1996,40.6842105263158
"260",16,9,1996,53,1996,40.8947368421053
"261",17,9,1996,57,1996,41.1052631578947
