"","day","month","year","flow","hyear","baseflow"
"154",2,6,1996,49,1996,49
"155",3,6,1996,49,1996,48.1333333333333
"156",4,6,1996,56,1996,47.2666666666667
"157",5,6,1996,71,1996,46.4
"158",6,6,1996,62,1996,45.5333333333333
"159",7,6,1996,55,1996,44.6666666666667
"160",8,6,1996,64,1996,43.8
"161",9,6,1996,107,1996,42.9333333333333
"162",10,6,1996,101,1996,42.0666666666667
"163",11,6,1996,98,1996,41.2
"164",12,6,1996,75,1996,40.3333333333333
"165",13,6,1996,72,1996,39.4666666666667
"166",14,6,1996,62,1996,38.6
"167",15,6,1996,50,1996,37.7333333333333
"168",16,6,1996,41,1996,36.8666666666667
"169",17,6,1996,36,1996,36
"170",18,6,1996,192,1996,35.55
"171",19,6,1996,615,1996,35.1
"172",20,6,1996,973,1996,34.65
"173",21,6,1996,823,1996,34.2
"174",22,6,1996,1430,1996,33.75
"175",23,6,1996,1310,1996,33.3
"176",24,6,1996,897,1996,32.85
"177",25,6,1996,645,1996,32.4
"178",26,6,1996,426,1996,31.95
"179",27,6,1996,227,1996,31.5
"180",28,6,1996,148,1996,31.05
"181",29,6,1996,111,1996,30.6
"182",30,6,1996,90,1996,30.15
"183",1,7,1996,70,1996,29.7
"184",2,7,1996,56,1996,29.25
"185",3,7,1996,49,1996,28.8
"186",4,7,1996,43,1996,28.35
"187",5,7,1996,37,1996,27.9
"188",6,7,1996,32,1996,27.45
"189",7,7,1996,27,1996,27
"190",8,7,1996,29,1996,27.6
"191",9,7,1996,37,1996,28.2
"192",10,7,1996,45,1996,28.8
"193",11,7,1996,35,1996,29.4
"194",12,7,1996,30,1996,30
"195",13,7,1996,47,1996,29.4375
"196",14,7,1996,85,1996,28.875
"197",15,7,1996,68,1996,28.3125
"198",16,7,1996,52,1996,27.75
"199",17,7,1996,41,1996,27.1875
"200",18,7,1996,35,1996,26.625
"201",19,7,1996,35,1996,26.0625
"202",20,7,1996,40,1996,25.5
"203",21,7,1996,37,1996,24.9375
"204",22,7,1996,31,1996,24.375
"205",23,7,1996,28,1996,23.8125
"206",24,7,1996,29,1996,23.25
"207",25,7,1996,27,1996,22.6875
"208",26,7,1996,24,1996,22.125
"209",27,7,1996,23,1996,21.5625
"210",28,7,1996,21,1996,21
"211",29,7,1996,20,1996,20
"212",30,7,1996,20,1996,19.6153846153846
"213",31,7,1996,24,1996,19.2307692307692
"214",1,8,1996,31,1996,18.8461538461538
"215",2,8,1996,27,1996,18.4615384615385
"216",3,8,1996,23,1996,18.0769230769231
"217",4,8,1996,23,1996,17.6923076923077
"218",5,8,1996,22,1996,17.3076923076923
"219",6,8,1996,20,1996,16.9230769230769
"220",7,8,1996,19,1996,16.5384615384615
"221",8,8,1996,19,1996,16.1538461538462
"222",9,8,1996,18,1996,15.7692307692308
"223",10,8,1996,16,1996,15.3846153846154
"224",11,8,1996,15,1996,15
"225",12,8,1996,15,1996,14.75
"226",13,8,1996,15,1996,14.5
"227",14,8,1996,18,1996,14.25
"228",15,8,1996,18,1996,14
"229",16,8,1996,16,1996,13.75
"230",17,8,1996,15,1996,13.5
"231",18,8,1996,14,1996,13.25
"232",19,8,1996,13,1996,13
"233",20,8,1996,13,1996,12.9230769230769
"234",21,8,1996,15,1996,12.8461538461538
"235",22,8,1996,14,1996,12.7692307692308
"236",23,8,1996,15,1996,12.6923076923077
"237",24,8,1996,21,1996,12.6153846153846
