YYYY,MM,DD,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
yy,mm,dd,degT,m/s,m/s,m,sec,sec,degT,hPa,degC,degC,degC,nmi,ft
2005,3,20,209.4649682,2.905095541,4.325,NAN,NAN,NAN,NAN,1016.4,NAN,1.9,NAN,NAN,NAN
2005,3,21,276.982906,3.488034188,4.278632479,NAN,NAN,NAN,NAN,1020.05,NAN,2.025,NAN,NAN,NAN
2005,3,22,81.84322034,2.083898305,2.868722467,NAN,NAN,NAN,NAN,1023.233333,NAN,2.733333333,NAN,NAN,NAN
2005,3,23,41.30901288,7.567381974,9.889224138,NAN,NAN,NAN,NAN,1012.2,NAN,2.4,NAN,NAN,NAN
2005,3,24,252.371308,4.156118143,5.06,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2005,3,25,122.6637555,3.171615721,4.394323144,NAN,NAN,NAN,NAN,1017.4,NAN,2.1,NAN,NAN,NAN
2005,3,26,17.42857143,4.434693878,5.987755102,NAN,NAN,NAN,NAN,1020.5,NAN,2.3,NAN,NAN,NAN
2005,3,27,41.05932203,2.677966102,3.721367521,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2005,3,28,34.71612903,4.652903226,6.354193548,NAN,NAN,NAN,NAN,1009.2,NAN,2.3,NAN,NAN,NAN
2005,3,29,200.0517241,2.1,2.644736842,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2005,3,30,97.78181818,2.606666667,3.85398773,NAN,NAN,NAN,NAN,1006.9,NAN,4.7,NAN,NAN,NAN
2005,3,31,183.8607595,3.9092827,7.070338983,NAN,NAN,NAN,NAN,1005.35,NAN,4.35,NAN,NAN,NAN
2005,4,1,176.8475336,3.047533632,4.526146789,NAN,NAN,NAN,NAN,1020.533333,NAN,5.433333333,NAN,NAN,NAN
2005,4,2,164.2953368,11.25854922,15.528125,NAN,NAN,NAN,NAN,1004.425,NAN,4.8,NAN,NAN,NAN
2005,4,3,283.0300429,11.24034335,14.24025974,NAN,NAN,NAN,NAN,1007.433333,NAN,4.633333333,NAN,NAN,NAN
2005,4,4,225.0901288,4.899141631,6.757017544,NAN,NAN,NAN,NAN,1015.82,NAN,5.36,NAN,NAN,NAN
2005,4,5,146.8666667,2.358222222,3.974887892,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2005,4,6,165.1952381,2.874761905,4.319902913,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2005,4,7,161.6425532,2.230212766,3.011304348,NAN,NAN,NAN,NAN,1013.6,NAN,6.8,NAN,NAN,NAN
2005,4,8,30.0877193,3.630701754,4.861607143,NAN,NAN,NAN,NAN,1016.8,NAN,7.5,NAN,NAN,NAN
2005,4,9,57.83406114,3.594323144,5.142358079,NAN,NAN,NAN,NAN,1018.2,NAN,7.95,NAN,NAN,NAN
2005,4,10,61.72033898,2.302118644,3.143829787,NAN,NAN,NAN,NAN,1017.7,NAN,8.1,NAN,NAN,NAN
2005,4,11,47.65777778,6.309333333,8.605381166,NAN,NAN,NAN,NAN,1020.35,NAN,7.825,NAN,NAN,NAN
2005,4,12,54.36888889,9.822222222,13.021875,NAN,NAN,NAN,NAN,1015.366667,NAN,7.983333333,NAN,NAN,NAN
2005,4,13,43.25446429,7.895982143,10.35675676,NAN,NAN,NAN,NAN,1012.5,NAN,7.4,NAN,NAN,NAN
2005,4,14,44.36936937,3.292792793,4.450454545,NAN,NAN,NAN,NAN,1021.35,NAN,7.7,NAN,NAN,NAN
2005,4,15,58.26923077,5.25,6.693719807,NAN,NAN,NAN,NAN,1025.94,NAN,7.8,NAN,NAN,NAN
2005,4,16,92.98666667,2.031111111,3.080645161,NAN,NAN,NAN,NAN,1029.5,NAN,8.1,NAN,NAN,NAN
2005,4,17,173.8097345,2.282743363,3.534821429,NAN,NAN,NAN,NAN,1022.574074,NAN,8.137037037,NAN,NAN,NAN
2005,4,18,95.71186441,1.611016949,2.152991453,NAN,NAN,NAN,NAN,1020.883621,10.08888889,8.690517241,NAN,NAN,NAN
2005,4,19,187.7477876,2.807522124,4.718222222,NAN,NAN,NAN,NAN,1016.749474,19.66315789,9.135789474,NAN,NAN,NAN
2005,4,20,198.8083333,3.96125,6.030125523,NAN,NAN,NAN,NAN,1012.411111,17.7040404,10.56767677,NAN,NAN,NAN
2005,4,21,40.70833333,5.890833333,7.5041841,NAN,NAN,NAN,NAN,1018.547101,6.258273381,10.72661871,NAN,NAN,NAN
2005,4,22,51.07692308,4.917948718,6.345922747,NAN,NAN,NAN,NAN,1009.316547,6.878417266,10.22302158,NAN,NAN,NAN
2005,4,23,227.4529915,11.13461538,13.61587983,NAN,NAN,NAN,NAN,1000.727338,4.494244604,9.030935252,NAN,NAN,NAN
