#YY,MM,DD,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,degT,m/s,m/s,m,sec,sec,deg,T   hPa,degC,degC,degC,mi,ft
2014,11,17,207.1434599,3.246413502,4.821097046,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2014,11,18,222.2677824,7.918828452,13.8041841,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2014,11,19,204.1861472,6.005194805,10.6021645,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2014,11,20,227.4916667,7.195416667,12.0075,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2014,11,21,272.779661,8.996186441,11.91949153,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2014,11,22,200.8458333,4.32375,7.295,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2014,11,23,190.3361345,3.837394958,6.619327731,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2014,11,24,197,7.313333333,12.53458333,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2014,11,25,242.6329114,7.316877637,11.44810127,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2014,11,26,159.1848739,3.825210084,5.410084034,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2014,11,27,163.4700855,4.854661017,6.422881356,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2014,11,28,284.9414226,8.177405858,10.67991632,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2014,11,29,182.9789916,3.674789916,6.422268908,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2014,11,30,207.1940928,5.16371308,9.054852321,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2014,12,1,295.8607595,6.223628692,8.111814346,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2014,12,2,96.09704641,4.33125,6.241666667,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2014,12,3,235.9098712,6.04806867,9.240772532,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2014,12,4,262.6737288,6.234322034,8.089830508,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2014,12,5,135.5822785,1.855833333,3.021666667,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2014,12,6,79.47234043,5.760169492,6.797033898,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2014,12,7,54.66094421,9.693991416,11.49828326,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2014,12,8,136.6033755,3.855042017,6.442436975,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2014,12,9,217.5875,3.570416667,5.60375,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2014,12,10,224.2887931,7.432327586,8.918965517,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2014,12,11,309.0211864,11.45169492,13.73220339,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2014,12,12,293.9790795,9.327196653,11.41506276,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2014,12,13,259.7949791,5.869874477,8.269874477,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2014,12,14,258.2635983,4.643096234,6.416806723,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2014,12,15,184.27897,1.782403433,2.371244635,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2014,12,16,162.529661,2.908898305,5.027118644,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2014,12,17,255.8035714,9.026339286,12.77678571,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2014,12,18,286.6425532,9.013617021,11.12595745,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2014,12,19,296.8632479,5.80982906,7.317948718,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2014,12,20,324.1777778,5.385555556,6.704444444,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2014,12,22,137.1538462,2.3,4.030769231,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2014,12,23,157.1504425,3.216371681,5.936725664,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2014,12,24,167.1221719,3.715837104,6.629411765,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2014,12,25,244.012987,8.670562771,13.29047619,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2014,12,26,218.1404255,3.802978723,6.350212766,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2014,12,27,205.360515,3.451502146,5.741201717,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2014,12,28,267.9021277,5.025957447,6.846808511,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2014,12,29,310.3628692,5.229535865,6.422362869,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2014,12,30,306.3782609,6.004347826,7.937391304,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2014,12,31,267.6796537,8.348484848,11.56666667,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,1,1,230.0183486,6.452765957,11.87914894,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,1,2,251.928934,5.428270042,10.57721519,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,1,3,154.4058577,2.472803347,4.490376569,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,1,4,220.8795812,4.993644068,10.8,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,1,5,233.6190476,3.888841202,16.62188841,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,1,6,217.3931624,4.978389831,8.320338983,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,1,7,269.1904762,4.674891775,14.36233766,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,1,8,218.7518797,3.991489362,12.26425532,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,1,9,216.3205128,5.327966102,13.47669492,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,1,10,218.9680365,5.411965812,9.895299145,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,1,11,208.8504274,3.294871795,5.615811966,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,1,12,265.3275862,3.840343348,5.442918455,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,1,13,58.24090909,6.94612069,9.512068966,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,1,14,184.0409091,2.683636364,3.958181818,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,1,15,212.825,3.0325,4.987916667,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,1,16,273.5046296,6.207142857,9.907983193,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,1,17,191.5083333,3.67,5.779583333,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,1,18,215.2552301,4.887916667,8.055416667,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,1,19,275.1708333,5.169166667,6.799583333,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,1,20,114.4708333,3.094166667,3.842083333,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,1,21,83.8373494,3.518452381,4.332738095,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,1,22,200.1213389,3.641841004,4.79748954,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,1,23,233.0041667,3.052083333,4.693333333,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,1,24,236.8791667,3.0625,4.724166667,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,1,25,156.1958333,5.63875,6.837083333,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,1,26,63.6519337,6.631666667,10.795,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,1,27,56.24166667,6.594583333,8.088333333,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,1,28,223.9666667,2.789166667,3.764583333,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,1,29,175.3640167,3.392050209,5.890376569,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,1,30,306.9891304,5.902916667,10.39041667,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2015,1,31,248.9833333,3.658333333,5.335416667,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
