,basin,country,STATION_NAME,STATION_NUMBER,LATITUDE,LONGITUDE,DRAINAGE_AREA_GROSS,count,mean,std,min,25%,50%,75%,max
42,CB,US,"Rocky River Near Berea, OH",04201500,41.407548299999995,-81.8826376,692.0,5479.0,11.5,23.7,0.3,2.0,4.2,9.9,417.2
43,CB,US,"Vermilion River Near Vermilion, OH",04199500,41.38199,-82.3168273,679.0,5479.0,9.2,21.7,0.0,0.8,2.6,7.6,322.0
44,CB,US,"Chagrin River At Willoughby, OH",04209000,41.630881,-81.40344549999999,637.0,5479.0,13.2,22.5,0.9,3.0,6.0,12.7,319.2
45,CB,US,"Conneaut Creek At Conneaut, OH",04213000,41.926999,-80.6039659,453.0,5479.0,9.0,15.4,0.1,1.4,4.0,9.8,253.7
47,CB,US,"Euclid Creek At Cleveland, OH",04208700,41.5822716,-81.5587337,60.0,2332.0,1.1,2.3,0.1,0.3,0.5,1.0,39.8
48,CB,US,"Old Woman Creek At Berlin Rd Near Huron, OH",04199155,41.3483829,-82.51378249999999,57.0,5479.0,0.7,2.0,0.0,0.0,0.2,0.5,33.3
49,CB,US,"Abram Creek At Kolthoff Drive At Brook Park, OH",04201526,41.393055600000004,-81.85027779999999,21.0,1645.0,0.3,0.6,0.0,0.1,0.1,0.3,5.6
50,CB,CA,"Big Otter Creek Near Calton, ON",02GC026,42.7106705,-80.8408127,665.0,5479.0,9.1,11.5,1.6,3.2,5.3,9.8,152.0
51,CB,CA,"Big Otter Creek At Tillsonburg, ON",02GC010,42.857311200000005,-80.7235794,354.0,5479.0,4.5,6.5,0.4,1.4,2.3,4.6,102.0
52,CB,CA,"Kettle Creek At St. Thomas, ON",02GC002,42.777690899999996,-81.2139969,331.0,5479.0,3.9,9.2,0.1,0.4,1.0,3.1,139.0
53,CB,CA,"Catfish Creek Near Sparta, ON",02GC018,42.746078499999996,-81.0569382,295.0,5435.0,3.5,8.1,0.1,0.4,1.1,2.9,170.0
