Description,Type,Water Depth,Latitude,Longitude,USGS HUC Code,Characteristic,Result Value,Units,Project Name,Sample Date,Value Type,Depth,Depth Units,Sample Time
BLACK RIVER 450-500FT UPSTREAM BLACK RIVER CANAL;F GRAT TOWNSHIP SEC27,River/Stream,0,43.017500,-82.453055,04090001,,,,,,,,,
,,,,,,Total pH (Field),8.4,pH            ,WCMP,9/24/2012,Actual,,,
,,,,,,Total Total Magnesium,30,mg/L          ,WCMP,9/24/2012,Actual,,,
,,,,,,Total Total Nitrate,ND,mg N/L        ,WCMP,9/24/2012,Actual,,,
,,,,,,Total Total Ortho Phosphate,0.008,mg P/L        ,WCMP,9/24/2012,Actual,,,
,,,,,,Total Total Suspended Solids,16,mg/L          ,WCMP,9/24/2012,Actual,,,
,,,,,,Total Chloride                                ,82,mg/L          ,WCMP,9/24/2012,Actual,,,
,,,,,,Total Conductivity (Field),762,umhos/cm      ,WCMP,9/24/2012,Actual,,,
,,,,,,Total Nitrate + Nitrite                       ,ND,mg N/L        ,WCMP,9/24/2012,Actual,,,
,,,,,,Total pH (Lab),8.17,pH            ,WCMP,9/24/2012,Actual,,,
,,,,,,Total Total Alkalinity,220,mg/L          ,WCMP,9/24/2012,Actual,,,
,,,,,,Total Total Calcium,67,mg/L          ,WCMP,9/24/2012,Actual,,,
,,,,,,Total Total Kjeldahl Nitrogen                 ,0.57,mg N/L        ,WCMP,9/24/2012,Actual,,,
,,,,,,Total Turbidity,13.4,NTU           ,WCMP,9/24/2012,Actual,,,
,,,,,,Total Dissolved Oxygen (Field),8.3,mg/L          ,WCMP,9/24/2012,Actual,,,
,,,,,,Total Hardness Ca2CO3,291,mg/L          ,WCMP,9/24/2012,Actual,,,
,,,,,,Total Total Dissolved Solids,510,mg/L          ,WCMP,9/24/2012,Actual,,,
,,,,,,Total Total Nitrite,0.005,mg N/L        ,WCMP,9/24/2012,Actual,,,
,,,,,,Total Total Organic Carbon,5.2,mg/L          ,WCMP,9/24/2012,Actual,,,
,,,,,,Total Total Phosphorus                        ,0.058,mg P/L        ,WCMP,9/24/2012,Actual,,,
,,,,,,Total Total Potassium,5.2,mg/L          ,WCMP,9/24/2012,Actual,,,
,,,,,,Total Conductivity (Lab),784,umhos/cm      ,WCMP,9/24/2012,Actual,,,
,,,,,,Total Temperature of Water,16.1,° C           ,WCMP,9/24/2012,Actual,,,
,,,,,,Total Total Ammonia,ND,mg N/L        ,WCMP,9/24/2012,Actual,,,
,,,,,,Total Total Sodium,46,mg/L          ,WCMP,9/24/2012,Actual,,,
,,,,,,Total Total Sulfate,76,mg/L          ,WCMP,9/24/2012,Actual,,,
,,,,,,Total Total Sulfate,64,mg/L,WCMP,9/14/2006,Actual,,,
,,,,,,Total Conductivity (Lab),703,umhos/cm,WCMP,9/14/2006,Actual,,,
,,,,,,Total Dissolved Oxygen (Field),7.5,mg/L,WCMP,9/14/2006,Actual,,,
,,,,,,Total Hardness Ca2CO3,298,mg/L,WCMP,9/14/2006,Actual,,,
,,,,,,Total Total Alkalinity,216,mg CaCO3/L,WCMP,9/14/2006,Actual,,,
,,,,,,Total Total Ammonia,0.012,mg/L,WCMP,9/14/2006,Actual,,,
,,,,,,Total Total Kjeldahl Nitrogen,0.73,mg/L,WCMP,9/14/2006,Actual,,,
,,,,,,Total Conductivity (Field),703,umhos/cm,WCMP,9/14/2006,Actual,,,
,,,,,,Total pH (Field),8.2,pH,WCMP,9/14/2006,Actual,,,
,,,,,,Total pH (Lab),8.22,pH,WCMP,9/14/2006,Actual,,,
,,,,,,Total Total Calcium,75.4,mg/L,WCMP,9/14/2006,Actual,,,
,,,,,,Total Total Dissolved Solids,460,mg/L,WCMP,9/14/2006,Actual,,,
,,,,,,Total Total Magnesium,26.5,mg/L,WCMP,9/14/2006,Actual,,,
,,,,,,Total Total Nitrite,0.005,mg/L,WCMP,9/14/2006,Actual,,,
,,,,,,Total Total Organic Carbon,9.6,mg/L,WCMP,9/14/2006,Actual,,,
,,,,,,Total Total Phosphorus,0.071,mg/L,WCMP,9/14/2006,Actual,,,
,,,,,,Total Turbidity,30,NTU,WCMP,9/14/2006,Actual,,,
,,,,,,Total Temperature of Water,19.3,C,WCMP,9/14/2006,Actual,,,
,,,,,,Total Total Nitrate,0.166,mg/L,WCMP,9/14/2006,Actual,,,
,,,,,,Total Total Ortho Phosphate,0.01,mg/L,WCMP,9/14/2006,Actual,,,
,,,,,,Total Total Potassium,4.8,mg/L,WCMP,9/14/2006,Actual,,,
,,,,,,Total Total Sodium,26.6,mg/L,WCMP,9/14/2006,Actual,,,
,,,,,,Total Total Suspended Solids,29,mg/L,WCMP,9/14/2006,Actual,,,
,,,,,,Total Chloride                                ,53,mg/L          ,WCMP,9/11/2012,Actual,,,
,,,,,,Total pH (Lab),8.21,pH            ,WCMP,9/11/2012,Actual,,,
,,,,,,Total Temperature of Water,22.4,° C           ,WCMP,9/11/2012,Actual,,,
,,,,,,Total Total Kjeldahl Nitrogen                 ,0.54,mg N/L        ,WCMP,9/11/2012,Actual,,,
,,,,,,Total Total Magnesium,28,mg/L          ,WCMP,9/11/2012,Actual,,,
,,,,,,Total Total Ortho Phosphate,0.016,mg P/L        ,WCMP,9/11/2012,Actual,,,
,,,,,,Total Total Phosphorus                        ,0.046,mg P/L        ,WCMP,9/11/2012,Actual,,,
,,,,,,Total Total Suspended Solids,13,mg/L          ,WCMP,9/11/2012,Actual,,,
,,,,,,Total Turbidity,12.8,NTU           ,WCMP,9/11/2012,Actual,,,
,,,,,,Total Hardness Ca2CO3,278,mg/L          ,WCMP,9/11/2012,Actual,,,
,,,,,,Total pH (Field),8.2,pH            ,WCMP,9/11/2012,Actual,,,
,,,,,,Total Total Alkalinity,180,mg/L          ,WCMP,9/11/2012,Actual,,,
,,,,,,Total Conductivity (Field),625,umhos/cm      ,WCMP,9/11/2012,Actual,,,
,,,,,,Total Conductivity (Lab),639,umhos/cm      ,WCMP,9/11/2012,Actual,,,
,,,,,,Total Nitrate + Nitrite                       ,ND,mg N/L        ,WCMP,9/11/2012,Actual,,,
,,,,,,Total Total Ammonia,ND,mg N/L        ,WCMP,9/11/2012,Actual,,,
,,,,,,Total Total Dissolved Solids,420,mg/L          ,WCMP,9/11/2012,Actual,,,
