Description,Type,Water Depth,Latitude,Longitude,USGS HUC Code,Characteristic,Result Value,Units,Project Name,Sample Date,Value Type
CLINTON RIVER AT NO. BOUND GRATIOT AVENUE IN MT. CLEMENS,River/Stream,0,42.584171,-82.882781,4090003,,,,,,
,,,,,,Total Copper,3.518,ug/l,WCTMP,9/8/1998,Actual
,,,,,,Total Nickel,5.887,ug/l,WCTMP,9/8/1998,Actual
,,,,,,Total Nitrogen, ammonia (NH3) as NH3,0.174,mg/l,WCTMP,9/8/1998
,,,,,,Total Nitrogen, Kjeldahl,1.03,mg/l,WCTMP,9/8/1998
,,,,,,Total pH,7.72,,WCTMP,9/8/1998,Actual
,,,,,,Dissolved Dissolved Solids,411,mg/l,WCTMP,9/8/1998,Calculated
,,,,,,Total Chromium,2.823,ug/l,WCTMP,9/8/1998,Actual
,,,,,,Total Total Suspended Solids (TSS),20,mg/l,WCTMP,9/8/1998,Actual
,,,,,,Total Zinc,11.692,ug/l,WCTMP,9/8/1998,Actual
,,,,,,Total Dissolved oxygen (DO),5.6,mg/l,WCTMP,9/8/1998,Actual
,,,,,,Total Magnesium,12.7,mg/l,WCTMP,9/8/1998,Actual
,,,,,,Total Nitrogen, Nitrate (NO3) as NO3,1.73,mg/l,WCTMP,9/8/1998
,,,,,,Total Phosphorus,0.167,mg/l,WCTMP,9/8/1998,Actual
,,,,,,Total Sulfate (SO4) as SO4,26,mg/l,WCTMP,9/8/1998,Actual
,,,,,,Total Total Organic Carbon (TOC),7.1,mg/l,WCTMP,9/8/1998,Actual
,,,,,, Temperature, water,19.5,deg C,WCTMP,9/8/1998
,,,,,,Total Cadmium,0.065,ug/l,WCTMP,9/8/1998,Actual
,,,,,,Total Calcium,46.6,mg/l,WCTMP,9/8/1998,Actual
,,,,,,Total Chloride,97,mg/l,WCTMP,9/8/1998,Actual
,,,,,,Total Hardness, carbonate,169,mg/l,WCTMP,9/8/1998
,,,,,,Total Lead,2.306,ug/l,WCTMP,9/8/1998,Actual
,,,,,,Total Mercury,5.799,ng/l,WCTMP,9/8/1998,Actual
,,,,,,Total Nitrogen, Nitrite (NO2) as NO2,0.047,mg/l,WCTMP,9/8/1998
,,,,,,Total Phosphorus, orthophosphate as P,0.079,mg/l,WCTMP,9/8/1998
,,,,,,Total Specific conductivity,632,umho/cm,WCTMP,9/8/1998,Actual
,,,,,,Total Cadmium,0.152,ug/l,WCTMP,9/7/2004,Actual
,,,,,,Total Lead,4.84,ug/l,WCTMP,9/7/2004,Actual
,,,,,,Total Nitrogen, Nitrite (NO2) as NO2,0.069,mg/l,WCTMP,9/7/2004
,,,,,,Total Phosphorus,0.35,mg/l,WCTMP,9/7/2004,Actual
,,,,,,Total Potassium,5.4,mg/l,WCTMP,9/7/2004,Actual
,,,,,,Total Sodium,78.6,mg/l,WCTMP,9/7/2004,Actual
,,,,,,Total Alkalinity, Total - carbonate, bicarbonate, & hydroxide mix,106,mg/l
,,,,,,Total Chromium,3.39,ug/l,WCTMP,9/7/2004,Actual
,,,,,,Total Magnesium,11.5,mg/l,WCTMP,9/7/2004,Actual
,,,,,,Total Specific conductivity,752,umho/cm,WCTMP,9/7/2004,Actual
,,,,,,Total Sulfate (SO4) as SO4,37,mg/l,WCTMP,9/7/2004,Actual
,,,,,,Total Zinc,29.7,ug/l,WCTMP,9/7/2004,Actual
,,,,,, Temperature, water,22,deg C,WCTMP,9/7/2004
,,,,,,Dissolved Dissolved Solids,490,mg/l,WCTMP,9/7/2004,Calculated
,,,,,,Total Calcium,48.7,mg/l,WCTMP,9/7/2004,Actual
,,,,,,Total Hardness, carbonate,169,mg/l,WCTMP,9/7/2004
,,,,,,Total Nickel,6.48,ug/l,WCTMP,9/7/2004,Actual
,,,,,,Total Nitrogen, Kjeldahl,1.5,mg/l,WCTMP,9/7/2004
,,,,,,Total pH,7.61,,WCTMP,9/7/2004,Actual
,,,,,,Total Chloride,143,mg/l,WCTMP,9/7/2004,Actual
,,,,,,Total Copper,7.05,ug/l,WCTMP,9/7/2004,Actual
,,,,,,Total Mercury,8.04,ng/l,WCTMP,9/7/2004,Actual
,,,,,,Total Nitrogen, ammonia (NH3) as NH3,0.176,mg/l,WCTMP,9/7/2004
,,,,,,Total Nitrogen, Nitrate (NO3) as NO3,1.65,mg/l,WCTMP,9/7/2004
,,,,,,Total Phosphorus, orthophosphate as P,0.195,mg/l,WCTMP,9/7/2004
,,,,,,Total Total Organic Carbon (TOC),8.5,mg/l,WCTMP,9/7/2004,Actual
,,,,,,Total Total Suspended Solids (TSS),64,mg/l,WCTMP,9/7/2004,Actual
,,,,,,Total Turbidity,47,mg/l,WCTMP,9/7/2004,Actual
,,,,,,Total Lead,1.76,ug/l,WCTMP,9/3/2003,Actual
,,,,,,Total Nickel,5.68,ug/l,WCTMP,9/3/2003,Actual
,,,,,,Total Nitrogen, Nitrite (NO2) as NO2,0.061,mg/l,WCTMP,9/3/2003
,,,,,,Total Potassium,6.3,mg/l,WCTMP,9/3/2003,Actual
,,,,,,Total Zinc,11.3,ug/l,WCTMP,9/3/2003,Actual
,,,,,,Total Alkalinity, Total - carbonate, bicarbonate, & hydroxide mix,150,mg/l
,,,,,,Total Cadmium,0.049,ug/l,WCTMP,9/3/2003,Actual
,,,,,,Total Magnesium,17.8,mg/l,WCTMP,9/3/2003,Actual
,,,,,,Total Nitrogen, Nitrate (NO3) as NO3,1.87,mg/l,WCTMP,9/3/2003
,,,,,,Total pH,8.04,,WCTMP,9/3/2003,Actual
,,,,,,Total Total Suspended Solids (TSS),21,mg/l,WCTMP,9/3/2003,Actual
,,,,,,Dissolved Dissolved Solids,600,mg/l,WCTMP,9/3/2003,Calculated
,,,,,,Total Calcium,60.3,mg/l,WCTMP,9/3/2003,Actual
,,,,,,Total Chromium,1.39,ug/l,WCTMP,9/3/2003,Actual
,,,,,,Total Hardness, carbonate,224,mg/l,WCTMP,9/3/2003
