Description,Type,Water Depth,Latitude,Longitude,USGS HUC Code,Characteristic,Result Value,Units,Project Name,Sample Date,Value Type
ROUGE RIVERAT WEST JEFFERSON AVENUE IN RIVER ROUGE,River/Stream,0,42.28056,-83.128893,4090004,,,,,,
,,,,,,Dissolved Dissolved Solids,420,mg/l,WCTMP,9/8/2004,Calculated
,,,,,,Total Alkalinity, Total - carbonate, bicarbonate, & hydroxide mix,109,mg/l
,,,,,,Total Chromium,2.19,ug/l,WCTMP,9/8/2004,Actual
,,,,,,Total Total Suspended Solids (TSS),25,mg/l,WCTMP,9/8/2004,Actual
,,,,,,Total Calcium,47,mg/l,WCTMP,9/8/2004,Actual
,,,,,,Total Copper,4.51,ug/l,WCTMP,9/8/2004,Actual
,,,,,,Total Nitrogen, Nitrite (NO2) as NO2,0.048,mg/l,WCTMP,9/8/2004
,,,,,,Total Sulfate (SO4) as SO4,30,mg/l,WCTMP,9/8/2004,Actual
,,,,,,Total Turbidity,23,mg/l,WCTMP,9/8/2004,Actual
,,,,,, Temperature, water,25.4,deg C,WCTMP,9/8/2004
,,,,,,Total Cadmium,0.085,ug/l,WCTMP,9/8/2004,Actual
,,,,,,Total Chloride,109,mg/l,WCTMP,9/8/2004,Actual
,,,,,,Total Hardness, carbonate,161,mg/l,WCTMP,9/8/2004
,,,,,,Total Magnesium,10.6,mg/l,WCTMP,9/8/2004,Actual
,,,,,,Total Nickel,3.75,ug/l,WCTMP,9/8/2004,Actual
,,,,,,Total Nitrogen, Kjeldahl,1.11,mg/l,WCTMP,9/8/2004
,,,,,,Total Nitrogen, Nitrate (NO3) as NO3,1.03,mg/l,WCTMP,9/8/2004
,,,,,,Total pH,7.57,,WCTMP,9/8/2004,Actual
,,,,,,Total Phosphorus, orthophosphate as P,0.065,mg/l,WCTMP,9/8/2004
,,,,,,Total Sodium,60.6,mg/l,WCTMP,9/8/2004,Actual
,,,,,,Total Total Organic Carbon (TOC),5.2,mg/l,WCTMP,9/8/2004,Actual
,,,,,,Total Lead,3.25,ug/l,WCTMP,9/8/2004,Actual
,,,,,,Total Mercury,8.3,ng/l,WCTMP,9/8/2004,Actual
,,,,,,Total Nitrogen, ammonia (NH3) as NH3,0.3,mg/l,WCTMP,9/8/2004
,,,,,,Total Phosphorus,0.152,mg/l,WCTMP,9/8/2004,Actual
,,,,,,Total Potassium,5.8,mg/l,WCTMP,9/8/2004,Actual
,,,,,,Total Specific conductivity,649,umho/cm,WCTMP,9/8/2004,Actual
,,,,,,Total Zinc,15.9,ug/l,WCTMP,9/8/2004,Actual
,,,,,,Total Calcium,40.4,mg/l,WCTMP,9/8/1998,Actual
,,,,,,Total Copper,3.011,ug/l,WCTMP,9/8/1998,Actual
,,,,,,Total Dissolved oxygen (DO),5.9,mg/l,WCTMP,9/8/1998,Actual
,,,,,,Total Mercury,4.33,ng/l,WCTMP,9/8/1998,Actual
,,,,,,Total Nickel,3.058,ug/l,WCTMP,9/8/1998,Actual
,,,,,,Total Nitrogen, Kjeldahl,0.68,mg/l,WCTMP,9/8/1998
,,,,,,Total Phosphorus,0.112,mg/l,WCTMP,9/8/1998,Actual
,,,,,,Total Specific conductivity,482,umho/cm,WCTMP,9/8/1998,Actual
,,,,,,Total Sulfate (SO4) as SO4,22,mg/l,WCTMP,9/8/1998,Actual
,,,,,,Total Cadmium,0.048,ug/l,WCTMP,9/8/1998,Actual
,,,,,,Total Chromium,2.021,ug/l,WCTMP,9/8/1998,Actual
,,,,,,Total Hardness, carbonate,142,mg/l,WCTMP,9/8/1998
,,,,,,Total Magnesium,10,mg/l,WCTMP,9/8/1998,Actual
,,,,,,Total Nitrogen, Nitrate (NO3) as NO3,0.99,mg/l,WCTMP,9/8/1998
,,,,,,Total Nitrogen, Nitrite (NO2) as NO2,0.024,mg/l,WCTMP,9/8/1998
