,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Huron_OH_R_baseflow,2.9819655903965647,3.306279074791561,4.491503801337565,2.5375711603056286,2.8053029515626284,5.06761157531231,2.5461865886518935,1.7610681491397868,4.275881198417688,2.9633171530166136,2.936275367856275,2.7917164020120637,1.624681178326294,2.173378090593719,2.3810658029824037
Huron_MI_R_baseflow,5.36959623018006,8.701006987497378,8.62934173120167,11.29364771586277,10.870938341254854,12.68860836018871,16.07730508691345,10.19320448873267,16.41460070867101,10.36879157115397,8.764224048766328,12.489941384082794,8.879819804304041,8.586909396431755,11.641900997087628
Cattaraugus_R_baseflow,12.468548525492446,12.896597719526385,10.346910449512894,13.477295533427382,10.272966618907105,11.642310961076884,12.211806966044975,10.860712127197807,13.180104334629506,9.727864558665813,10.18022772542838,9.024406685259994,10.142588555758195,8.936346566255638,13.406304223215491
Clinton_R_baseflow,6.290299069116562,9.105257405275204,8.251082042017057,9.888996269585288,8.660224667211919,11.267371903098404,14.932459163107342,6.629729570849743,14.86507245553419,7.000230326193113,9.600253959495628,11.083077710844119,8.68243849934684,9.132418903307856,9.800223469252764
Sandusky_R_baseflow,10.16526665992931,10.130642457786752,12.808269599637894,10.173519557015752,10.081094899306398,11.377931712870277,5.464387958157046,6.944291189553375,14.18763033251452,8.711279291037146,10.865500587066727,6.991382033842552,6.4337733748595225,7.956724309301038,7.951272927124341
Black_OH_R_baseflow,2.207557123378629,3.2368010191160153,2.728104961861397,2.425805417003955,2.542283755647732,3.815882556224435,1.9275281067207166,1.8607840862489693,3.2073756016121444,2.3270983712748468,2.4131208536303967,2.2291589939256293,1.4978161703626163,1.942802425591497,1.7870023582361212
Grand_OH_R_baseflow,10.210012638915241,10.145391129789836,10.439022512114319,9.54782583128922,10.209898407629659,11.658278146309081,6.02354235270213,7.560864043643937,9.957862629166346,8.182506687209354,10.34492894751213,6.79574090114456,6.8954132874786636,6.783916703446862,7.878863000800846
Cuyahoga_R_baseflow,22.713211924096164,26.961988298030843,19.818815863170347,23.114395413624326,23.586830242107606,26.81045151582526,13.168287579641145,15.420883094021534,26.825147173843522,19.75667897165612,21.42975761977126,20.953754409360727,18.372172875676664,18.834137226122273,22.003170550372303
Conneaut_R_baseflow,2.5155822737007116,3.045742356211322,2.421764074279682,3.1828215023566657,2.358029478478819,3.3416593050421546,2.257896171677982,1.9954999698671791,2.8426263335159425,2.488917002529325,2.650197182339749,2.1358659977518584,2.3253529026599153,2.021087878017448,2.3085451660563545
Buffalo_R_baseflow,6.672816169226307,7.039023237244886,5.634255250212229,6.651870452367215,5.046442920026072,3.7976461090774856,3.4791993813644324,3.277730768839301,4.3980227683396835,3.225474957906635,5.589381392696833,5.586559294563866,6.058441776664406,4.320906700707442,7.432534985006695
Black_R_MI_baseflow,0.5056305843669638,1.2546763438104993,1.076225719176373,1.691804570577329,1.0513209831236607,1.4753647331109305,1.272615499204381,0.6179074533349855,1.5458271873618057,0.8016075492575176,0.7812109791465693,1.3065137330893482,0.7620183653881224,1.064006245091811,1.0535566700117638
Maumee_R_baseflow,46.41232262538806,58.22922679332644,54.47226615822413,61.279151036203174,76.50363711862929,68.32058783546856,46.98860516525594,55.22593828835054,73.0082062129135,33.19780890078855,40.77372018769097,41.50863261107168,56.6781587788206,48.65383930468181,51.827790453970294
Chagrin_R_baseflow,3.4131973226821075,4.435225100865785,4.294921822696494,3.9995042582081046,3.6230574391957,5.030486274239332,3.0414696780705897,3.640727459862315,5.674864839232911,3.8517520038319293,4.330925177404982,3.9220762293139178,3.6097188335409798,3.786863436845388,4.301304127698482
Portage_R_baseflow,3.0206133432664513,2.7667931902250578,3.458762940084351,3.4948337401064653,3.6775987485194865,4.644141254661606,1.9324699002909218,2.098494492683583,5.3599044366279,3.017629737874496,2.767669117051455,2.3856958408304174,2.588497951672716,3.270289820943436,2.8002493186790716
Raisin_R_baseflow,8.096917726767668,9.318917726577594,8.836319293312638,14.961854767290795,13.826551195737498,15.269715445765756,14.500436855770923,13.4262390297725,17.91828458150409,10.118049659194774,8.738542019792453,11.321987025078736,10.695946087867275,10.379709703884071,11.861191315079788
Vermilion_R_baseflow,1.5941767782588558,2.5020846684173104,2.1659807012189893,1.7037476035462518,2.1168694104819368,3.169687421711874,1.1911427611609904,1.262889441787886,2.48257143466852,1.6959847008828548,1.7734115913571336,1.5641934488931164,0.9772824511269366,1.3686374752034893,1.355480999796631
Detroit_R_baseflow,4670.100733447785,5064.395891340687,4943.52992165706,4991.445062320681,4724.941314567899,4897.276203212157,5344.949531880456,5068.168973621805,4829.050781723955,4799.220117837128,4747.438739815823,5181.980775353698,5529.432343469543,5914.120258396421,5787.681096477019
Belle_R_baseflow,0.6630898272640261,1.3131447289561313,1.090567510332836,1.6423456935041336,1.2160009774707523,1.4382685139182099,1.6385722025715925,0.7269497994236704,1.6022480758441715,0.9474833372215127,1.1693437157822126,1.4285434761359652,0.8698605666471546,1.0557810295826793,1.12964279365414
Rouge_R_baseflow,1.2438290491777877,1.8460550274748915,1.764692805610243,2.0372949257574073,2.0684511331939124,2.126604384817426,1.9430793952642873,1.4373494549114911,2.3879298853825843,1.5943208834826634,1.7436996211888645,2.2027977101811635,1.8497107562401187,1.8446265322392987,1.9441837674934104
