#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2013 04 30 23 50 228  1.2  2.9  0.00 99.00  4.25 999 1010.4  22.2 999.0 999.0 99.0 99.00
2013 05 01 00 50 227  0.9  3.5  0.00 99.00  4.22 999 1011.0  21.2 999.0 999.0 99.0 99.00
2013 05 01 01 50 228  0.8  2.3  0.01 99.00  7.03 999 1012.0  20.6 999.0 999.0 99.0 99.00
2013 05 01 02 50 228  0.9  2.4  0.00 99.00  4.85 999 1012.5  20.2 999.0 999.0 99.0 99.00
2013 05 01 03 50 230  1.3  3.1  0.00 99.00  4.59 999 1012.4  20.0 999.0 999.0 99.0 99.00
2013 05 01 04 50 229  1.3  3.1  0.00 99.00  4.31 999 1012.3  19.8 999.0 999.0 99.0 99.00
2013 05 01 05 50 231  1.3  3.2  0.00 99.00  3.88 999 1012.8  19.6 999.0 999.0 99.0 99.00
2013 05 01 06 50 231  1.2  2.7  0.01 99.00  6.10 999 1013.7  18.9 999.0 999.0 99.0 99.00
2013 05 01 07 50 233  0.9  2.7  0.01 99.00  6.17 999 1014.3  19.1 999.0 999.0 99.0 99.00
2013 05 01 08 50  18  3.0  5.2  0.00 99.00  3.92 999 1015.8  13.2 999.0 999.0 99.0 99.00
2013 05 01 09 50   1  0.7  3.0  0.00 99.00  3.53 999 1016.7   9.1 999.0 999.0 99.0 99.00
2013 05 01 10 50 163  0.3  0.9  0.00 99.00  4.13 999 1017.4   8.9 999.0 999.0 99.0 99.00
2013 05 01 11 50 180  0.0  0.1  0.00 99.00  4.28 999 1018.2  10.7 999.0 999.0 99.0 99.00
2013 05 01 12 50 209  0.4  1.2  0.00 99.00  4.45 999 1018.4  15.0 999.0 999.0 99.0 99.00
2013 05 01 13 50 152  0.6  1.0  0.00 99.00  4.13 999 1019.0  14.6 999.0 999.0 99.0 99.00
2013 05 01 14 50 166  0.7  1.4  0.00 99.00  4.79 999 1019.4  11.8 999.0 999.0 99.0 99.00
2013 05 01 15 50  63  1.8  4.3  0.00 99.00  4.72 999 1020.1  12.4 999.0 999.0 99.0 99.00
2013 05 01 16 50  84  0.9  1.5  0.00 99.00  4.76 999 1021.0  10.4 999.0 999.0 99.0 99.00
2013 05 01 17 50  91  0.7  1.6  0.00 99.00  5.30 999 1021.0  12.7 999.0 999.0 99.0 99.00
2013 05 01 18 50  99  0.5  1.4  0.00 99.00  4.49 999 1021.5  11.4 999.0 999.0 99.0 99.00
2013 05 01 19 50  80  0.7  1.4  0.00 99.00  4.57 999 1021.8  11.0 999.0 999.0 99.0 99.00
2013 05 01 20 50 121  0.6  1.5  0.00 99.00  4.36 999 1021.9  10.9 999.0 999.0 99.0 99.00
2013 05 01 21 50  27  1.3  2.5  0.00 99.00  4.15 999 1022.3  11.5 999.0 999.0 99.0 99.00
2013 05 01 22 50  65  0.3  0.9 99.00 99.00 99.00 999 1022.9  10.7 999.0 999.0 99.0 99.00
2013 05 01 23 50  17  1.5  2.8  0.00 99.00  4.38 999 1023.6  12.3 999.0 999.0 99.0 99.00
2013 05 02 00 50  15  1.4  3.4  0.00 99.00  4.39 999 1024.7  10.7 999.0 999.0 99.0 99.00
2013 05 02 01 50  20  2.6  4.6  0.00 99.00  4.09 999 1025.6   9.2 999.0 999.0 99.0 99.00
2013 05 02 02 50  17  1.8  3.8  0.00 99.00  4.86 999 1026.4   8.3 999.0 999.0 99.0 99.00
2013 05 02 03 50  20  1.4  3.6  0.01 99.00  5.45 999 1026.2   7.5 999.0 999.0 99.0 99.00
2013 05 02 04 50   9  1.0  3.8 99.00 99.00 99.00 999 1026.4   6.9 999.0 999.0 99.0 99.00
2013 05 02 05 50  16  1.9  3.9  0.00 99.00  3.99 999 1026.0   6.4 999.0 999.0 99.0 99.00
2013 05 02 06 50  22  1.7  3.2  0.00 99.00  4.52 999 1025.9   6.2 999.0 999.0 99.0 99.00
2013 05 02 07 50  12  0.9  2.2  0.00 99.00  4.05 999 1025.5   5.9 999.0 999.0 99.0 99.00
2013 05 02 08 50  14  0.5  1.6  0.00 99.00  4.23 999 1025.4   5.7 999.0 999.0 99.0 99.00
