YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2003 04 14 06 163  6.3  7.0  0.18  2.50  2.65 999 1024.0   1.6   0.1 999.0 99.0 99.00
2003 04 14 07 169  8.0  9.2  0.44  2.86  2.85 999 1022.7   2.4   0.1 999.0 99.0 99.00
2003 04 14 08 180  8.7 10.2  0.65  3.45  3.23 999 1022.0   2.6   0.1 999.0 99.0 99.00
2003 04 14 09 178  7.8  9.0  0.77  3.85  3.51 999 1021.8   2.3   0.1 999.0 99.0 99.00
2003 04 14 10 174  8.5  9.9  0.84  4.00  3.64 999 1021.3   2.6   0.1 999.0 99.0 99.00
2003 04 14 11 175  7.1  8.4  0.94  4.17  3.76 999 1021.7   2.9   0.1 999.0 99.0 99.00
2003 04 14 12 170  8.0  9.0  0.89  4.35  3.83 999 1021.7   2.9   0.1 999.0 99.0 99.00
2003 04 14 13 172  9.3 10.6  1.01  4.35  3.88 999 1020.8   2.7   0.1 999.0 99.0 99.00
2003 04 14 14 168  9.3 10.6  1.12  4.55  3.98 999 1020.3   2.9   0.1 999.0 99.0 99.00
2003 04 14 15 168  8.6  9.7  1.15  4.55  4.01 999 1019.9   2.9   0.1 999.0 99.0 99.00
2003 04 14 16 167  9.8 11.1  1.17  4.55  4.05 999 1018.9   3.1   0.1 999.0 99.0 99.00
2003 04 14 17 167  8.9 10.0  1.22  4.76  4.14 999 1018.2   3.7   0.1 999.0 99.0 99.00
2003 04 14 18 164  8.7  9.8  1.14  4.55  4.03 999 1016.8   4.0   0.1 999.0 99.0 99.00
2003 04 14 19 170  6.9  7.7  1.11  5.00  4.08 999 1016.5   4.4   0.1 999.0 99.0 99.00
2003 04 14 20 165  7.5  8.4  1.05  4.76  4.11 999 1014.9   4.3   0.1 999.0 99.0 99.00
2003 04 14 21 168  7.3  8.1  0.99  4.35  3.93 999 1013.7   4.6   0.1 999.0 99.0 99.00
2003 04 14 22 168  7.1  8.0  0.94  4.35  3.97 999 1013.1   4.6   0.2 999.0 99.0 99.00
2003 04 14 23 165  7.1  7.9  1.06  4.76  4.13 999 1012.8   4.8   0.1 999.0 99.0 99.00
2003 04 15 00 170  7.4  8.5  1.11  4.35  4.04 999 1012.2   5.3   0.1 999.0 99.0 99.00
2003 04 15 01 174  9.1 10.1  0.96  5.00  3.86 999 1011.6   6.2   0.2 999.0 99.0 99.00
2003 04 15 02 174  8.1  9.0  1.04  4.76  4.03 999 1011.7   5.9   0.2 999.0 99.0 99.00
2003 04 15 03 178  8.8  9.9  1.11  4.76  4.00 999 1011.2   6.9   0.2 999.0 99.0 99.00
2003 04 15 04 175  9.0 10.0  1.10  4.76  3.99 999 1010.4   6.1   0.2 999.0 99.0 99.00
2003 04 15 05 183  9.0 10.0  1.05  5.00  4.04 999 1010.1   5.9   0.2 999.0 99.0 99.00
2003 04 15 06 190  8.8  9.9  1.14  5.00  4.09 999 1009.9   6.6   0.2 999.0 99.0 99.00
2003 04 15 07 177  5.9  6.7  1.19  4.35  4.14 999 1010.5   5.0   0.2 999.0 99.0 99.00
2003 04 15 08 181  5.2  6.1  1.11  4.76  4.12 999 1010.3   7.2   0.2 999.0 99.0 99.00
2003 04 15 09 194  4.5  4.8  1.13  4.76  4.09 999 1009.8   5.9   0.2 999.0 99.0 99.00
2003 04 15 10 204  5.2  5.7  1.08  4.55  4.15 999 1009.2   6.7   0.2 999.0 99.0 99.00
2003 04 15 11 169  5.3  6.0  0.87  4.17  3.86 999 1009.3   5.7   0.2 999.0 99.0 99.00
2003 04 15 12 183  7.0  8.1  0.83  4.17  3.79 999 1008.9   8.1   0.2 999.0 99.0 99.00
2003 04 15 13 194  7.0  7.7  0.93  4.17  3.84 999 1008.5   7.0   0.3 999.0 99.0 99.00
2003 04 15 14 194  5.7  6.2  0.86  4.00  3.82 999 1008.1   5.9   0.3 999.0 99.0 99.00
2003 04 15 15 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2003 04 15 16 224  6.0  6.9  0.88  4.17  3.82 999 1007.7   7.7   0.4 999.0 99.0 99.00
2003 04 15 17 211  3.3  4.3  0.90  4.00  3.87 999 1007.5   8.2   0.4 999.0 99.0 99.00
2003 04 15 18 219  6.3  6.7  0.91  4.35  3.98 999 1006.4   8.7   0.4 999.0 99.0 99.00
2003 04 15 19 227  6.2  6.7  0.87  4.76  3.91 999 1006.1   9.3   0.4 999.0 99.0 99.00
2003 04 15 20 227  6.5  7.0  0.81  4.55  3.98 999 1005.5   9.8   0.5 999.0 99.0 99.00
2003 04 15 21 230  7.3  8.1  0.79  4.35  3.79 999 1004.9  10.2   0.5 999.0 99.0 99.00
2003 04 15 22 237  6.9  7.6  0.93  4.35  3.74 999 1005.0  10.2   0.5 999.0 99.0 99.00
2003 04 15 23 312  5.3  6.2  0.75  4.35  3.71 999 1006.2   5.6   0.5 999.0 99.0 99.00
2003 04 16 00 338  9.3 12.3  0.67  4.17  3.69 999 1006.9   7.4   0.5 999.0 99.0 99.00
2003 04 16 01  26  7.4  8.5  0.59  2.70  3.22 999 1008.9   3.8   0.5 999.0 99.0 99.00
2003 04 16 02  38  5.0  7.4  0.64  3.13  3.19 999 1009.4   3.0   0.4 999.0 99.0 99.00
2003 04 16 03  27  7.6  9.1  0.74  3.70  3.41 999 1009.8   2.7   0.4 999.0 99.0 99.00
2003 04 16 04  41  4.9  6.4  0.76  3.85  3.55 999 1010.8   2.4   0.5 999.0 99.0 99.00
2003 04 16 05  34  5.3  6.1  0.74  3.85  3.64 999 1010.3   1.8   0.5 999.0 99.0 99.00
2003 04 16 06  25  7.5  9.1  0.70  4.17  3.65 999 1010.8   1.9   0.5 999.0 99.0 99.00
2003 04 16 07  24  6.6  7.6  0.82  4.35  3.80 999 1011.0   1.6   0.5 999.0 99.0 99.00
2003 04 16 08  16  7.1  8.2  0.92  4.76  3.95 999 1011.6   1.5   0.5 999.0 99.0 99.00
2003 04 16 09  30  8.9 10.5  0.94  4.55  3.89 999 1011.9   1.7   0.5 999.0 99.0 99.00
2003 04 16 10  33  9.5 11.2  1.12  4.55  4.00 999 1011.7   1.5   0.5 999.0 99.0 99.00
2003 04 16 11  31 10.7 12.7  1.30  5.00  4.18 999 1012.8   1.4   0.5 999.0 99.0 99.00
2003 04 16 12  34 12.6 15.2  1.58  5.26  4.41 999 1013.6   0.8   0.5 999.0 99.0 99.00
2003 04 16 13  39 14.2 17.4  2.24  6.25  4.97 999 1014.3   0.1   0.4 999.0 99.0 99.00
2003 04 16 14  32 12.2 15.4  2.59  7.14  5.36 999 1018.5   0.0   0.4 999.0 99.0 99.00
2003 04 16 15  44 12.6 15.1  2.86  7.14  5.58 999 1017.1  -0.7   0.4 999.0 99.0 99.00
2003 04 16 16  40 11.4 13.7  3.10  7.14  5.84 999 1018.8  -0.9   0.4 999.0 99.0 99.00
2003 04 16 17  39 13.0 15.4  2.88  7.14  5.57 999 1019.5  -1.2   0.4 999.0 99.0 99.00
2003 04 16 18  28 11.1 13.7  2.72  7.14  5.52 999 1022.2  -1.2   0.4 999.0 99.0 99.00
2003 04 16 19  40 13.8 16.5  2.95  7.14  5.64 999 1021.1  -1.4   0.4 999.0 99.0 99.00
2003 04 16 20  46 13.9 16.0  2.60  7.14  5.46 999 1021.0  -1.0   0.4 999.0 99.0 99.00
2003 04 16 21  50 12.1 14.9  2.58  6.67  5.36 999 1021.3  -0.7   0.4 999.0 99.0 99.00
2003 04 16 22  50 12.8 15.3  2.43  6.67  5.37 999 1021.6  -0.4   0.4 999.0 99.0 99.00
2003 04 16 23  47 13.0 15.6  2.32  6.67  5.27 999 1022.1  -0.4   0.4 999.0 99.0 99.00
2003 04 17 00  47 12.1 14.7  2.25  6.67  5.12 999 1022.3   0.0   0.4 999.0 99.0 99.00
2003 04 17 01  51 12.3 14.5  2.41  6.67  5.25 999 1023.1   0.0   0.4 999.0 99.0 99.00
2003 04 17 02  53 12.6 14.9  2.31  6.67  5.28 999 1023.0   0.0   0.4 999.0 99.0 99.00
2003 04 17 03  53 11.9 14.3  2.41  6.67  5.19 999 1023.9   0.0   0.4 999.0 99.0 99.00
2003 04 17 04  54 12.3 14.7  2.17  6.67  5.13 999 1023.7   0.1   0.4 999.0 99.0 99.00
2003 04 17 05  58 11.5 13.9  2.14  6.25  5.07 999 1024.0   0.2   0.4 999.0 99.0 99.00
2003 04 17 06  61 11.0 13.8  2.01  6.25  4.85 999 1023.8   0.0   0.4 999.0 99.0 99.00
2003 04 17 07  69 12.2 14.5  2.13  6.25  5.05 999 1023.2   0.0   0.4 999.0 99.0 99.00
2003 04 17 08  72 12.2 14.6  2.14  6.25  4.97 999 1023.0   0.0   0.4 999.0 99.0 99.00
2003 04 17 09  72 12.5 15.3  2.10  5.56  4.90 999 1022.5  -0.2   0.4 999.0 99.0 99.00
2003 04 17 10  75 12.5 15.0  2.25  6.25  5.05 999 1022.5  -0.5   0.4 999.0 99.0 99.00
2003 04 17 11  75 11.8 14.3  2.28  6.25  5.08 999 1022.7  -0.7   0.4 999.0 99.0 99.00
2003 04 17 12  68 12.3 14.4  2.06  6.67  5.12 999 1022.8  -1.0   0.4 999.0 99.0 99.00
2003 04 17 13  72 11.6 13.5  2.16  6.67  5.11 999 1022.9  -1.1   0.4 999.0 99.0 99.00
2003 04 17 14  87 10.1 13.0  2.10  6.67  5.11 999 1023.4  -0.8   0.4 999.0 99.0 99.00
2003 04 17 15  83 10.4 12.0  2.01  6.67  4.93 999 1023.2  -0.8   0.4 999.0 99.0 99.00
2003 04 17 16  72 10.2 12.0  1.85  6.67  4.90 999 1022.5  -0.4   0.4 999.0 99.0 99.00
2003 04 17 17  80 10.3 12.2  1.65  6.25  4.68 999 1022.4   0.0   0.4 999.0 99.0 99.00
2003 04 17 18  76 10.4 12.4  1.55  5.88  4.61 999 1021.6   0.5   0.4 999.0 99.0 99.00
2003 04 17 19  72  8.6 10.1  1.43  5.00  4.39 999 1021.4   0.9   0.4 999.0 99.0 99.00
2003 04 17 20  69  7.0  8.1  1.37  5.88  4.52 999 1020.5   1.3   0.4 999.0 99.0 99.00
2003 04 17 21  80  6.6  7.6  1.28  5.00  4.41 999 1019.4   1.5   0.4 999.0 99.0 99.00
2003 04 17 22  80  4.1  5.1  1.21  5.26  4.45 999 1019.6   2.1   0.4 999.0 99.0 99.00
2003 04 17 23  96  6.0  7.1  1.04  5.88  4.23 999 1019.0   2.3   0.4 999.0 99.0 99.00
2003 04 18 00  85  4.3  5.2  0.92  4.76  4.09 999 1018.6   2.1   0.5 999.0 99.0 99.00
2003 04 18 01  90  3.7  4.3  0.88  4.55  4.05 999 1018.5   1.9   0.5 999.0 99.0 99.00
2003 04 18 02  85  2.1  2.5  0.80  4.35  3.97 999 1019.0   1.8   0.5 999.0 99.0 99.00
2003 04 18 03  60  1.8  2.2  0.83  4.76  4.00 999 1018.9   1.6   0.5 999.0 99.0 99.00
2003 04 18 04  53  2.5  2.7  0.76  4.55  3.95 999 1018.4   1.5   0.5 999.0 99.0 99.00
2003 04 18 05  45  1.9  2.2  0.68  4.00  3.86 999 1018.3   1.4   0.5 999.0 99.0 99.00
2003 04 18 06  61  3.1  3.4  0.78  4.17  3.88 999 1017.8   1.5   0.5 999.0 99.0 99.00
2003 04 18 07  55  2.6  3.1  0.65  4.00  3.77 999 1017.5   1.5   0.5 999.0 99.0 99.00
2003 04 18 08  56  3.3  3.6  0.55  4.35  3.76 999 1017.3   1.5   0.5 999.0 99.0 99.00
2003 04 18 09  51  3.0  3.5  0.45  3.45  3.53 999 1017.5   1.7   0.5 999.0 99.0 99.00
2003 04 18 10  65  3.2  3.4  0.39  4.35  3.49 999 1017.6   1.7   0.5 999.0 99.0 99.00
2003 04 18 11  54  2.6  3.2  0.34  3.23  3.32 999 1018.4   1.6   0.5 999.0 99.0 99.00
2003 04 18 12  57  3.3  3.7  0.31  3.57  3.33 999 1019.2   1.5   0.5 999.0 99.0 99.00
2003 04 18 13  58  3.4  3.7  0.30  3.70  3.35 999 1019.6   1.5   0.5 999.0 99.0 99.00
2003 04 18 14  61  3.9  4.4  0.30  3.70  3.41 999 1019.9   1.5   0.4 999.0 99.0 99.00
2003 04 18 15  69  3.3  3.8  0.33  3.85  3.49 999 1020.2   1.7   0.4 999.0 99.0 99.00
2003 04 18 16  77  3.8  4.2  0.31  3.85  3.49 999 1020.2   2.1   0.4 999.0 99.0 99.00
2003 04 18 17  73  3.5  3.9  0.33  3.85  3.50 999 1020.3   2.1   0.4 999.0 99.0 99.00
2003 04 18 18  75  4.9  5.4  0.31  3.85  3.44 999 1020.1   2.0   0.4 999.0 99.0 99.00
2003 04 18 19  85  5.7  6.3  0.28  3.70  3.30 999 1019.8   2.4   0.4 999.0 99.0 99.00
2003 04 18 20  82  4.2  4.6  0.29  3.57  3.11 999 1020.1   2.7   0.3 999.0 99.0 99.00
2003 04 18 21  66  2.8  3.5  0.29  3.33  3.04 999 1020.5   2.4   0.3 999.0 99.0 99.00
2003 04 18 22  49  3.4  3.7  0.27  2.70  2.99 999 1020.7   2.5   0.4 999.0 99.0 99.00
2003 04 18 23  40  3.0  3.1  0.27  2.78  3.04 999 1020.9   3.6   0.4 999.0 99.0 99.00
2003 04 19 00  57  4.2  4.7  0.27  3.57  3.09 999 1021.2   2.7   0.4 999.0 99.0 99.00
2003 04 19 01  62  3.9  4.5  0.26  3.57  3.06 999 1021.4   2.5   0.4 999.0 99.0 99.00
2003 04 19 02  79  4.5  5.1  0.22  2.86  2.98 999 1021.5   2.4   0.4 999.0 99.0 99.00
2003 04 19 03  76  3.2  3.7  0.21  2.86  2.92 999 1021.7   2.1   0.4 999.0 99.0 99.00
2003 04 19 04  95  4.7  5.9  0.22  3.03  2.90 999 1021.5   3.2   0.4 999.0 99.0 99.00
2003 04 19 05 104  3.4  3.8  0.23  2.94  2.90 999 1021.7   3.3   0.4 999.0 99.0 99.00
2003 04 19 06 116  4.5  5.1  0.21  3.03  2.94 999 1021.9   3.8   0.4 999.0 99.0 99.00
2003 04 19 07 131  4.1  5.2  0.21  3.03  2.97 999 1021.9   3.7   0.4 999.0 99.0 99.00
2003 04 19 08 131  4.4  4.9  0.20  3.03  2.91 999 1021.5   3.9   0.4 999.0 99.0 99.00
2003 04 19 09 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2003 04 19 10 152  6.7  7.5  0.22  2.70  2.79 999 1022.3   4.3   0.4 999.0 99.0 99.00
2003 04 19 11 146  6.9  8.1  0.55  3.33  3.18 999 1022.8   3.9   0.4 999.0 99.0 99.00
2003 04 19 12 146  7.5  8.7  0.58  3.57  3.27 999 1023.0   3.8   0.4 999.0 99.0 99.00
2003 04 19 13 143  7.0  8.0  0.63  3.57  3.37 999 1022.9   3.5   0.4 999.0 99.0 99.00
2003 04 19 14 149  6.7  7.5  0.60  3.70  3.38 999 1023.1   3.4   0.4 999.0 99.0 99.00
2003 04 19 15 149  6.6  7.4  0.50  3.57  3.33 999 1023.1   3.5   0.4 999.0 99.0 99.00
2003 04 19 16 155  5.5  6.3  0.51  3.45  3.25 999 1023.2   3.7   0.4 999.0 99.0 99.00
2003 04 19 17 155  4.4  5.1  0.43  3.45  3.30 999 1022.7   3.5   0.5 999.0 99.0 99.00
2003 04 19 18 153  4.6  5.2  0.40  3.45  3.25 999 1022.1   3.6   0.5 999.0 99.0 99.00
2003 04 19 19 140  5.0  5.3  0.36  3.45  3.18 999 1020.6   4.7   0.5 999.0 99.0 99.00
2003 04 19 20 146  4.4  4.8  0.32  3.23  3.07 999 1020.2   4.2   0.5 999.0 99.0 99.00
2003 04 19 21 147  3.5  3.9  0.27  3.13  3.01 999 1020.1   5.4   0.5 999.0 99.0 99.00
2003 04 19 22 128  2.9  3.2  0.21  3.13  2.96 999 1019.9   5.2   0.5 999.0 99.0 99.00
2003 04 19 23 125  4.4  4.9  0.19  2.94  2.93 999 1019.9   5.6   0.5 999.0 99.0 99.00
2003 04 20 00 129  4.8  5.0  0.00  0.00  0.00 999 1019.5   5.5   0.5 999.0 99.0 99.00
2003 04 20 01 133  4.9  5.4  0.00  0.00  0.00 999 1019.4   5.2   0.5 999.0 99.0 99.00
2003 04 20 02 130  6.3  6.9  0.00  0.00  0.00 999 1018.7   5.5   0.5 999.0 99.0 99.00
2003 04 20 03 126  5.5  6.2  0.00  0.00  0.00 999 1018.4   5.1   0.5 999.0 99.0 99.00
2003 04 20 04 124  5.1  5.6  0.00  0.00  0.00 999 1018.0   4.0   0.5 999.0 99.0 99.00
2003 04 20 05 149  5.4  6.0  0.23  2.86  2.77 999 1017.6   4.5   0.6 999.0 99.0 99.00
2003 04 20 06 157  3.4  4.0  0.32  2.86  2.87 999 1017.2   3.2   0.6 999.0 99.0 99.00
2003 04 20 07 259  4.7  6.4  0.30  3.03  2.92 999 1017.3   4.2   0.6 999.0 99.0 99.00
2003 04 20 08 157  3.6  4.3  0.31  3.23  3.01 999 1016.1   6.7   0.6 999.0 99.0 99.00
2003 04 20 09 148  6.1  7.1  0.31  3.23  3.07 999 1015.0   4.1   0.7 999.0 99.0 99.00
2003 04 20 10 152  8.8 10.3  0.58  3.23  3.20 999 1014.1   5.3   0.7 999.0 99.0 99.00
2003 04 20 11 152  8.9 10.0  0.82  4.00  3.59 999 1014.2   5.2   0.7 999.0 99.0 99.00
2003 04 20 12 151 10.7 13.3  0.93  4.55  3.83 999 1013.7   6.0   0.7 999.0 99.0 99.00
2003 04 20 13 150  7.4  8.4  0.99  4.35  3.92 999 1013.4   4.6   0.6 999.0 99.0 99.00
2003 04 20 14 149  9.6 11.2  0.89  4.35  3.85 999 1012.1   4.7   0.6 999.0 99.0 99.00
2003 04 20 15 152 10.8 12.7  1.18  4.76  4.08 999 1011.5   5.9   0.5 999.0 99.0 99.00
2003 04 20 16 149 10.0 11.6  1.25  4.76  4.13 999 1011.0   5.9   0.5 999.0 99.0 99.00
2003 04 20 17 160  8.3 10.0  1.25  5.00  4.18 999 1010.9   6.0   0.5 999.0 99.0 99.00
2003 04 20 18 158  7.2  8.1  1.06  5.00  4.18 999 1011.0   5.7   0.5 999.0 99.0 99.00
2003 04 20 19 158  7.7  8.8  0.97  4.76  4.08 999 1010.0   6.2   0.5 999.0 99.0 99.00
2003 04 20 20 159  6.4  7.9  0.82  4.55  3.88 999 1008.8   6.0   0.5 999.0 99.0 99.00
2003 04 20 21 150  7.5  9.0  0.79  4.55  3.85 999 1007.6   6.1   0.5 999.0 99.0 99.00
2003 04 20 22 224  4.3  5.9  0.75  4.17  3.71 999 1007.7   6.1   0.5 999.0 99.0 99.00
2003 04 20 23 163  5.9  6.7  0.71  3.85  3.62 999 1007.0   5.4   0.5 999.0 99.0 99.00
2003 04 21 00 212  8.2 13.8  0.58  4.00  3.44 999 1006.9   9.3   0.6 999.0 99.0 99.00
2003 04 21 01 187  4.5  4.8  0.54  3.85  3.45 999 1006.7   7.1   0.5 999.0 99.0 99.00
2003 04 21 02 164  5.4  5.7  0.52  3.85  3.51 999 1006.7   5.4   0.5 999.0 99.0 99.00
2003 04 21 03 174  5.9  6.5  0.46  3.70  3.38 999 1006.7   4.4   0.5 999.0 99.0 99.00
2003 04 21 04 173  5.2  6.2  0.47  3.85  3.51 999 1006.7   4.1   0.5 999.0 99.0 99.00
2003 04 21 05 179  5.4  6.0  0.46  3.57  3.45 999 1006.4   4.0   0.5 999.0 99.0 99.00
2003 04 21 06 186  5.8  6.2  0.42  3.85  3.39 999 1006.0   4.8   0.5 999.0 99.0 99.00
2003 04 21 07 197  5.5  6.2  0.39  3.57  3.31 999 1005.9   5.5   0.6 999.0 99.0 99.00
2003 04 21 08 204  5.0  6.0  0.35  3.85  3.31 999 1005.8   4.8   0.5 999.0 99.0 99.00
2003 04 21 09 198  4.5  5.1  0.32  3.70  3.31 999 1005.7   4.7   0.5 999.0 99.0 99.00
2003 04 21 10 184  4.8  5.6  0.28  3.57  3.23 999 1005.6   4.3   0.5 999.0 99.0 99.00
2003 04 21 11 192  4.9  5.5  0.25  3.57  3.10 999 1005.8   4.0   0.5 999.0 99.0 99.00
2003 04 21 12 200  4.7  5.3  0.28  3.13  2.97 999 1005.8   4.1   0.5 999.0 99.0 99.00
2003 04 21 13 186  3.8  4.5  0.24  3.13  3.00 999 1005.6   4.1   0.5 999.0 99.0 99.00
2003 04 21 14 206  5.4  6.0  0.27  2.78  2.99 999 1005.3   4.7   0.6 999.0 99.0 99.00
2003 04 21 15 179  4.0  4.5  0.25  2.94  2.95 999 1005.1   3.3   0.6 999.0 99.0 99.00
2003 04 21 16 185  4.0  4.4  0.21  2.78  2.91 999 1005.0   3.9   0.6 999.0 99.0 99.00
2003 04 21 17 179  4.0  4.4  0.17  2.94  2.85 999 1004.8   3.4   0.6 999.0 99.0 99.00
2003 04 21 18 161  4.4  5.3  0.15  2.70  2.88 999 1004.6   3.1   0.6 999.0 99.0 99.00
2003 04 21 19 181  1.9  2.3  0.20  2.56  2.92 999 1004.5   3.5   0.7 999.0 99.0 99.00
2003 04 21 20 196  3.2  3.6  0.23  2.78  2.85 999 1004.4   3.1   0.7 999.0 99.0 99.00
2003 04 21 21 234  4.5  5.0  0.25  2.78  2.87 999 1004.4   4.0   0.7 999.0 99.0 99.00
