#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2009 05 09 07 50 347  2.7  3.1  0.04 99.00  4.96 999 1004.3   3.7   2.7 999.0 99.0 99.00
2009 05 09 08 50 353  3.3  3.9  0.13 99.00  3.43 999 1003.5   3.5   2.7 999.0 99.0 99.00
2009 05 09 09 50 360  5.9  7.2  0.01 99.00  4.41 999 1001.9   3.6   2.7 999.0 99.0 99.00
2009 05 09 10 50 344  3.6  4.2  0.21 99.00  5.35 999 1002.2   3.8   2.7 999.0 99.0 99.00
2009 05 09 11 50 345  4.4  5.1  0.18 99.00  4.29 999 1002.8   3.9   2.7 999.0 99.0 99.00
2009 05 09 12 50  25  9.1 10.2  0.32  6.67  4.03 107 1000.5   4.9   2.7 999.0 99.0 99.00
2009 05 09 13 50  31  8.0  9.1  0.38  5.56  3.72 230 1000.7   4.7   2.7 999.0 99.0 99.00
2009 05 09 14 50  14  8.5 10.4  0.50  3.45  3.40  23 1000.7   4.3   2.7 999.0 99.0 99.00
2009 05 09 15 50 344 10.2 12.1  0.63  4.55  4.13  44 1002.3   4.1   2.7 999.0 99.0 99.00
2009 05 09 16 50 342  9.5 11.3  0.64  4.76  4.18  60 1003.7   4.2   2.7 999.0 99.0 99.00
2009 05 09 17 50 327  9.5 11.0  0.71  4.76  4.28  51 1004.7   3.9   2.7 999.0 99.0 99.00
2009 05 09 18 50 321 10.4 12.4  0.77  5.00  4.43  57 1006.1   4.2   2.7 999.0 99.0 99.00
2009 05 09 19 50 318  9.6 11.7  0.75  4.76  4.36  29 1007.6   4.7   2.8 999.0 99.0 99.00
2009 05 09 20 50 327  6.8  8.7  0.92  5.00  4.31  21 1009.2   5.0   2.8 999.0 99.0 99.00
2009 05 09 21 50 289  3.2  3.7  0.54  5.00  4.33  27 1010.4   4.8   2.8 999.0 99.0 99.00
2009 05 09 22 50 292  3.2  3.6  0.54  4.76  4.02  28 1010.8   4.9   2.8 999.0 99.0 99.00
2009 05 09 23 50 276  3.7  4.9  0.37  4.76  4.27  38 1011.4   4.7   2.8 999.0 99.0 99.00
