#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2009 12 31 23 50 999 99.0 99.0 99.00 99.00 99.00 999 9999.0   0.9   0.5 999.0 99.0 99.00
2010 01 01 02 50 999 99.0 99.0 99.00 99.00 99.00 999 9999.0   1.0   0.2 999.0 99.0 99.00
2010 01 01 05 50 999 99.0 99.0 99.00 99.00 99.00 999 9999.0  -2.3 999.0 999.0 99.0 99.00
2010 01 01 08 50 999 99.0 99.0 99.00 99.00 99.00 999 9999.0  -4.9 999.0 999.0 99.0 99.00
2010 01 01 11 50 999 99.0 99.0 99.00 99.00 99.00 999 9999.0  -5.1 999.0 999.0 99.0 99.00
2010 01 01 14 50 999 99.0 99.0 99.00 99.00 99.00 999 9999.0  -4.2 999.0 999.0 99.0 99.00
2010 01 01 17 50 999 99.0 99.0 99.00 99.00 99.00 999 9999.0  -4.5 999.0 999.0 99.0 99.00
2010 01 01 20 50 999 99.0 99.0 99.00 99.00 99.00 999 9999.0  -6.1 999.0 999.0 99.0 99.00
2010 01 01 23 50 999 99.0 99.0 99.00 99.00 99.00 999 9999.0  -7.7 999.0 999.0 99.0 99.00
2010 01 02 02 50 999 99.0 99.0 99.00 99.00 99.00 999 9999.0  -8.3 999.0 999.0 99.0 99.00
2010 01 02 05 50 999 99.0 99.0 99.00 99.00 99.00 999 9999.0  -9.2 999.0 999.0 99.0 99.00
2010 01 02 08 50 999 99.0 99.0 99.00 99.00 99.00 999 9999.0  -9.9 999.0 999.0 99.0 99.00
2010 01 02 11 50 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 -11.2 999.0 999.0 99.0 99.00
2010 01 02 14 50 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 -13.0 999.0 999.0 99.0 99.00
2010 01 02 17 50 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 -12.0 999.0 999.0 99.0 99.00
2010 01 02 20 50 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 -12.7 999.0 999.0 99.0 99.00
2010 01 02 23 50 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 -14.1 999.0 999.0 99.0 99.00
2010 01 03 02 50 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 -14.3 999.0 999.0 99.0 99.00
2010 01 03 05 50 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 -14.7 999.0 999.0 99.0 99.00
2010 01 03 08 50 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 -14.0 999.0 999.0 99.0 99.00
